# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.069707040064e-10       3.381472484684e-15       4.447715512766e-13       0.000000000000e+00       1.175695645286e-08      -2.437137784528e-10      -1.816122153576e-12 
    3       1.027142052199e-10       4.979777525442e-15       4.591095203670e-13       0.000000000000e+00       7.170921501783e-09      -1.366019001719e-10      -1.454350499877e-12 
    4       1.003274273623e-10       5.184338149511e-15       4.220751187325e-13       0.000000000000e+00       4.962024411790e-09      -8.823529401481e-11      -1.076072293927e-12 
    5       9.894430512950e-11       4.256695023296e-15       3.635096258777e-13       0.000000000000e+00       3.687368201394e-09      -6.216246183126e-11      -7.340820260831e-13 
    6       9.824453107052e-11       2.896562679179e-15       2.994850573339e-13       0.000000000000e+00       2.867577312957e-09      -4.630466339381e-11      -4.483948329522e-13 
    7       9.805496927300e-11       1.711838161212e-15       2.402333087461e-13       0.000000000000e+00       2.305581577622e-09      -3.590873197227e-11      -2.284020961248e-13 
    8       9.829194037266e-11       9.646409404671e-16       1.908262395121e-13       0.000000000000e+00       1.900490374019e-09      -2.869350913272e-11      -7.381450622528e-14 
    9       9.882274811655e-11       6.172443348329e-16       1.532335566993e-13       0.000000000000e+00       1.596997089535e-09      -2.343671411786e-11       2.186170578200e-14 
   10       9.962097346049e-11       4.992062450581e-16       1.274377157868e-13       0.000000000000e+00       1.363395406131e-09      -1.945906114863e-11       6.891517774195e-14 
   11       1.005973678015e-10       4.549632777489e-16       1.121889792320e-13       0.000000000000e+00       1.107722923466e-09      -1.510621249127e-11       7.926537093830e-14 
   12       1.017178862131e-10       4.086341930421e-16       1.055531567204e-13       0.000000000000e+00       9.647671417485e-10      -1.287473989012e-11       6.617050201421e-14 
   13       1.029755861510e-10       3.542518167768e-16       1.052967530134e-13       0.000000000000e+00       8.478731080775e-10      -1.097878505310e-11       4.073005464352e-14 
   14       1.043277285442e-10       3.137618737142e-16       1.092907784674e-13       0.000000000000e+00       7.509835366480e-10      -9.417271330229e-12       1.217913962698e-14 
   15       1.057499982807e-10       3.022944028166e-16       1.157279198787e-13       0.000000000000e+00       6.697078295943e-10      -8.128174159563e-12      -1.275503851961e-14 
   16       1.072280823666e-10       3.174424760986e-16       1.233145152156e-13       0.000000000000e+00       6.008253658385e-10      -7.014403526536e-12      -3.012711438484e-14 
   17       1.087833319050e-10       3.472111800232e-16       1.312312833051e-13       0.000000000000e+00       5.419119230064e-10      -6.132726773664e-12      -3.882877424836e-14 
   18       1.103774219081e-10       3.817430680956e-16       1.389985258119e-13       0.000000000000e+00       4.909025184996e-10      -5.371490031709e-12      -3.964093874904e-14 
   19       1.120224372426e-10       4.220000462312e-16       1.465294084071e-13       0.000000000000e+00       4.469863219258e-10      -4.705018219727e-12      -3.438525511289e-14 
   20       1.137049332994e-10       4.726884694206e-16       1.538659198744e-13       0.000000000000e+00       4.083916316514e-10      -4.136635635104e-12      -2.589007473419e-14 
   21       1.154252286445e-10       5.386946377556e-16       1.611948366574e-13       0.000000000000e+00       3.744860687703e-10      -3.661659618107e-12      -1.649733128207e-14 
   22       1.171635788909e-10       6.243291786122e-16       1.687629803129e-13       0.000000000000e+00       3.444455592649e-10      -3.259580584693e-12      -8.559541285571e-15 
   23       1.189369543364e-10       7.285972766091e-16       1.767160638979e-13       0.000000000000e+00       3.178400597593e-10      -2.896110054347e-12      -3.190183458203e-15 
   24       1.207522728293e-10       8.484363434761e-16       1.851295503900e-13       0.000000000000e+00       2.940335387380e-10      -2.535688392189e-12      -9.428110133873e-16 
