# Matter power spectrum P(k) at redshift z=0
# for k=1.86049e-05 to 1.34094 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.152703045669e-02       5.495270187886e+03 
       3.178650996393e-02       5.497337076111e+03 
       3.204606033682e-02       5.499068103551e+03 
       3.230568285508e-02       5.500421287218e+03 
       3.256537883084e-02       5.501435937292e+03 
       3.282514960923e-02       5.502014877191e+03 
       3.308499656888e-02       5.502277193389e+03 
       3.334492112248e-02       5.502228777796e+03 
       3.360492471743e-02       5.501740912394e+03 
       3.386500883639e-02       5.500949891340e+03 
       3.412517499793e-02       5.499830674439e+03 
       3.438542475720e-02       5.498370192754e+03 
       3.464575970660e-02       5.496617558883e+03 
       3.490618147648e-02       5.494467261977e+03 
       3.516669173585e-02       5.492034537449e+03 
       3.542729219315e-02       5.489324921409e+03 
       3.568798459703e-02       5.486252028118e+03 
       3.594877073709e-02       5.482858159786e+03 
       3.620965244477e-02       5.479181937300e+03 
       3.647063159416e-02       5.475251360735e+03 
       3.673171010287e-02       5.471000982861e+03 
       3.699288993293e-02       5.466419973978e+03 
       3.725417309172e-02       5.461588519889e+03 
       3.751556163294e-02       5.456482853392e+03 
       3.777705765754e-02       5.451137110375e+03 
       3.803866331477e-02       5.445471841329e+03 
       3.830038080322e-02       5.439513426266e+03 
       3.856221237185e-02       5.433372094639e+03 
       3.882416032113e-02       5.426883316999e+03 
       3.908622700414e-02       5.420191260730e+03 
       3.934841482776e-02       5.413242511401e+03 
       3.961072625384e-02       5.406088028958e+03 
       3.987316380044e-02       5.398643453003e+03 
       4.013573004310e-02       5.390973246985e+03 
       4.039842761615e-02       5.383059643435e+03 
       4.066125921401e-02       5.374896359613e+03 
       4.092422759261e-02       5.366536035260e+03 
       4.118733557079e-02       5.357952495054e+03 
       4.145058603174e-02       5.349182062798e+03 
       4.171398192452e-02       5.340145655115e+03 
       4.197752626558e-02       5.330942632073e+03 
       4.224122214037e-02       5.321496282213e+03 
       4.250507270495e-02       5.311874757593e+03 
       4.276908118767e-02       5.302010809062e+03 
       4.303325089090e-02       5.292003506716e+03 
       4.329758519279e-02       5.281784215181e+03 
       4.356208754912e-02       5.271373403026e+03 
       4.382676149516e-02       5.260779253967e+03 
       4.409161064763e-02       5.249996118408e+03 
       4.435663870664e-02       5.239035022209e+03 
       4.462184945779e-02       5.227918758076e+03 
       4.488724677426e-02       5.216623111077e+03 
       4.515283461898e-02       5.205134982170e+03 
       4.541861704687e-02       5.193524034522e+03 
       4.568459820713e-02       5.181717386295e+03 
       4.595078234563e-02       5.169795164012e+03 
       4.621717380736e-02       5.157668767735e+03 
       4.648377703892e-02       5.145429360752e+03 
       4.675059659111e-02       5.133017374223e+03 
       4.701763712166e-02       5.120494284509e+03 
       4.728490339792e-02       5.107809730188e+03 
       4.755240029972e-02       5.094971070738e+03 
       4.782013282232e-02       5.082023983536e+03 
       4.808810607939e-02       5.068944220157e+03 
       4.835632530616e-02       5.055722073047e+03 
       4.862479586262e-02       5.042367928338e+03 
       4.889352323680e-02       5.028912406383e+03 
       4.916251304825e-02       5.015319618402e+03 
       4.943177105151e-02       5.001619063006e+03 
       4.970130313979e-02       4.987786492650e+03 
       4.997111534871e-02       4.973878491610e+03 
       5.024121386020e-02       4.959837888876e+03 
       5.051160500646e-02       4.945713810363e+03 
       5.078229527419e-02       4.931458667543e+03 
       5.105329130878e-02       4.917108701008e+03 
       5.132459991879e-02       4.902681421923e+03 
       5.159622808048e-02       4.888150429215e+03 
       5.186818294257e-02       4.873508992884e+03 
       5.214047183112e-02       4.858794252259e+03 
       5.241310225456e-02       4.843982884953e+03 
       5.268608190893e-02       4.829098256935e+03 
       5.295941868333e-02       4.814130315812e+03 
       5.323312066545e-02       4.799093331681e+03 
       5.350719614740e-02       4.783946791540e+03 
       5.378165363175e-02       4.768754376741e+03 
       5.405650183766e-02       4.753482834559e+03 
       5.433174970742e-02       4.738129072744e+03 
       5.460740641305e-02       4.722719537067e+03 
       5.488348136324e-02       4.707251192701e+03 
       5.515998421055e-02       4.691706160647e+03 
       5.543692485879e-02       4.676105795400e+03 
       5.571431347080e-02       4.660432630725e+03 
       5.599216047642e-02       4.644724013622e+03 
       5.627047658078e-02       4.628949362906e+03 
       5.654927277300e-02       4.613124664994e+03 
       5.682856033505e-02       4.597245442257e+03 
       5.710835085114e-02       4.581314670394e+03 
       5.738865621735e-02       4.565348102510e+03 
       5.766948865168e-02       4.549340473865e+03 
       5.795086070451e-02       4.533274467582e+03 
       5.823278526947e-02       4.517165095585e+03 
       5.851527559475e-02       4.501041484844e+03 
       5.879834529484e-02       4.484850303159e+03 
       5.908200836282e-02       4.468648489908e+03 
       5.936627918309e-02       4.452398611952e+03 
       5.965117254466e-02       4.436127708866e+03 
       5.993670365503e-02       4.419818715130e+03 
       6.022288815457e-02       4.403484171019e+03 
       6.050974213163e-02       4.387116430858e+03 
       6.079728213820e-02       4.370728528462e+03 
       6.108552520634e-02       4.354314577681e+03 
       6.137448886524e-02       4.337871173452e+03 
