# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.425384647137e-10       1.188441986281e-15       1.831912700103e-13       0.000000000000e+00       8.046171090662e-09       4.785145559528e-10      -9.719501404091e-13 
    3       1.348519721796e-10       1.520962697457e-15       2.090925836151e-13       0.000000000000e+00       4.945174538173e-09       3.368859436847e-10      -7.317640571818e-13 
    4       1.278738762311e-10       1.315674452746e-15       1.989630940397e-13       0.000000000000e+00       3.444331956556e-09       2.541452709607e-10      -4.725171712116e-13 
    5       1.227339730261e-10       8.900372211244e-16       1.745383105941e-13       0.000000000000e+00       2.575485396466e-09       2.003247419445e-10      -2.556332618046e-13 
    6       1.191825729799e-10       5.247213070936e-16       1.478831374097e-13       0.000000000000e+00       2.014563517158e-09       1.628212011965e-10      -9.772831042495e-14 
    7       1.168802410257e-10       3.200891842304e-16       1.254963400379e-13       0.000000000000e+00       1.626866435723e-09       1.354511078770e-10       9.151825047208e-16 
    8       1.154778633635e-10       2.392601687034e-16       1.098217380922e-13       0.000000000000e+00       1.345439363673e-09       1.147916796787e-10       4.903441051650e-14 
    9       1.147468090007e-10       2.114639432337e-16       1.011096840271e-13       0.000000000000e+00       1.133547673238e-09       9.873918956928e-11       5.988818877868e-14 
   10       1.145167397409e-10       1.952192072148e-16       9.852626606574e-14       0.000000000000e+00       9.694866768300e-10       8.593716314169e-11       4.791015453018e-14 
   11       1.146694809529e-10       1.843756049552e-16       1.008113488457e-13       0.000000000000e+00       8.171508505958e-10       7.578618000223e-11       2.641662128634e-14 
   12       1.151111315352e-10       1.867567058402e-16       1.066835763174e-13       0.000000000000e+00       7.144633420561e-10       6.706750941486e-11       4.475924831007e-15 
   13       1.158467526987e-10       2.068956164130e-16       1.149726499132e-13       0.000000000000e+00       6.301378563939e-10       5.992354413843e-11      -1.161589553484e-14 
   14       1.167284631892e-10       2.432826958638e-16       1.247286823499e-13       0.000000000000e+00       5.599490652231e-10       5.376075015219e-11      -1.996775080866e-14 
   15       1.177343708612e-10       2.933515348700e-16       1.353780766783e-13       0.000000000000e+00       5.008504710223e-10       4.853175996718e-11      -2.098836285698e-14 
   16       1.189135683679e-10       3.570219552678e-16       1.465272910386e-13       0.000000000000e+00       4.505877686268e-10       4.404432236839e-11      -1.712353022279e-14 
   17       1.202010858296e-10       4.361095640782e-16       1.578989936701e-13       0.000000000000e+00       4.074567144817e-10       4.011648043016e-11      -1.147689993283e-14 
   18       1.215688494018e-10       5.321662945818e-16       1.694446295976e-13       0.000000000000e+00       3.700074281083e-10       3.669886819727e-11      -6.489837642084e-15 
   19       1.230273850114e-10       6.456773587930e-16       1.811075443175e-13       0.000000000000e+00       3.376508474736e-10       3.372912342899e-11      -3.352516015557e-15 
   20       1.245370792910e-10       7.766214148865e-16       1.927885448892e-13       0.000000000000e+00       3.091440782006e-10       3.105844388351e-11      -2.775310405141e-15 
   21       1.261149132176e-10       9.259317245923e-16       2.044158567290e-13       0.000000000000e+00       2.840419126197e-10       2.868089886168e-11      -4.318794307609e-15 
   22       1.277610072265e-10       1.094797440651e-15       2.158990792202e-13       0.000000000000e+00       2.617456509086e-10       2.659556902399e-11      -6.935346305881e-15 
   23       1.294636515458e-10       1.284341581457e-15       2.270724315947e-13       0.000000000000e+00       2.419503208149e-10       2.476153301300e-11      -9.651427200567e-15 
   24       1.311882201399e-10       1.495621663011e-15       2.377350714727e-13       0.000000000000e+00       2.241997475103e-10       2.310130335817e-11      -1.149387374489e-14 
   25       1.329480446990e-10       1.729689777701e-15       2.477561612797e-13       0.000000000000e+00       2.082862047873e-10       2.158757553376e-11      -1.218331343144e-14 
   26       1.347537180944e-10       1.987626866663e-15       2.570266504630e-13       0.000000000000e+00       1.939227339906e-10       2.019632047980e-11      -1.175965194655e-14 
   27       1.365990767639e-10       2.270824613377e-15       2.654620442580e-13       0.000000000000e+00       1.809385951301e-10       1.892407730371e-11      -1.064203944913e-14 
   28       1.384637656779e-10       2.580740042956e-15       2.729923542725e-13       0.000000000000e+00       1.691115839110e-10       1.776481935270e-11      -9.401690713962e-15 
   29       1.403552570721e-10       2.918553204644e-15       2.795741155254e-13       0.000000000000e+00       1.583817846194e-10       1.671427007477e-11      -8.334230380980e-15 
   30       1.422777551501e-10       3.285319186509e-15       2.851807011622e-13       0.000000000000e+00       1.486340030558e-10       1.575780852594e-11      -7.690159828357e-15 
   31       1.442246163344e-10       3.682075978860e-15       2.897906667453e-13       0.000000000000e+00       1.396695074296e-10       1.487301141022e-11      -7.681149363846e-15 
   32       1.461996006221e-10       4.110009263163e-15       2.933598698927e-13       0.000000000000e+00       1.314426485797e-10       1.405815188682e-11      -8.161569001426e-15 
   33       1.482008037804e-10       4.570345385244e-15       2.958392268284e-13       0.000000000000e+00       1.238961387403e-10       1.331280645685e-11      -8.819440230842e-15 
   34       1.502190762543e-10       5.064265223506e-15       2.971738159126e-13       0.000000000000e+00       1.169252906966e-10       1.263094622156e-11      -9.325793405228e-15 
   35       1.522567848426e-10       5.592757164442e-15       2.972747882326e-13       0.000000000000e+00       1.104947332864e-10       1.200504745311e-11      -9.592132765409e-15 
   36       1.543138009065e-10       6.156705383041e-15       2.960366077641e-13       0.000000000000e+00       1.045529869990e-10       1.142235053341e-11      -9.600542434050e-15 
   37       1.563854140847e-10       6.756940416718e-15       2.933611400947e-13       0.000000000000e+00       9.902286815245e-11       1.086814656367e-11      -9.353887858194e-15 
   38       1.584753113005e-10       7.394298125675e-15       2.892176842082e-13       0.000000000000e+00       9.389034532597e-11       1.034281801734e-11      -8.936331533159e-15 
   39       1.605856736020e-10       8.069572828517e-15       2.836030625490e-13       0.000000000000e+00       8.913944113866e-11       9.849886408424e-12      -8.475089281014e-15 
   40       1.627129314743e-10       8.783496606994e-15       2.765264254160e-13       0.000000000000e+00       8.472520507529e-11       9.391229559821e-12      -8.126608496373e-15 
   41       1.648510230999e-10       9.536741642201e-15       2.679952813281e-13       0.000000000000e+00       8.058944366040e-11       8.966970598179e-12      -8.032588019808e-15 
   42       1.670038917717e-10       1.032993739051e-14       2.579664820849e-13       0.000000000000e+00       7.672015170838e-11       8.575516811963e-12      -8.166385707916e-15 
   43       1.691760436865e-10       1.116365252056e-14       2.463804276539e-13       0.000000000000e+00       7.310716944394e-11       8.213242638929e-12      -8.439715277630e-15 
   44       1.713687084893e-10       1.203838584928e-14       2.331740190946e-13       0.000000000000e+00       6.972434056659e-11       7.874263532781e-12      -8.742872715853e-15 
   45       1.735811662812e-10       1.295457278269e-14       2.182890607609e-13       0.000000000000e+00       6.653889572207e-11       7.552177298922e-12      -8.970828254485e-15 
   46       1.758159960238e-10       1.391261503038e-14       2.017012306376e-13       0.000000000000e+00       6.354595165316e-11       7.246306118670e-12      -9.113883150523e-15 
   47       1.780748228406e-10       1.491285393039e-14       1.833992163994e-13       0.000000000000e+00       6.074215788183e-11       6.957033911161e-12      -9.191893199720e-15 
   48       1.803565551961e-10       1.595555855159e-14       1.633769111382e-13       0.000000000000e+00       5.811529050867e-11       6.684001392444e-12      -9.229487458723e-15 
   49       1.826571436663e-10       1.704092282687e-14       1.416335899994e-13       0.000000000000e+00       5.564359147272e-11       6.426047505068e-12      -9.256339594603e-15 
   50       1.849717162287e-10       1.816907193362e-14       1.181669242491e-13       0.000000000000e+00       5.330235011551e-11       6.181644621700e-12      -9.300692142769e-15 
   51       1.873022270748e-10       1.934009012814e-14       9.294937818285e-14       0.000000000000e+00       5.108728689026e-11       5.950479304505e-12      -9.367227512331e-15 
   52       1.896514670022e-10       2.055399551110e-14       6.594571075103e-14       0.000000000000e+00       4.899637476644e-11       5.732199382487e-12      -9.453659359589e-15 
   53       1.920207420324e-10       2.181072906656e-14       3.711942154844e-14       0.000000000000e+00       4.702283934362e-11       5.525923183566e-12      -9.556909627181e-15 
   54       1.944097440180e-10       2.311015223029e-14       6.432590388439e-15       0.000000000000e+00       4.515483892571e-11       5.330204200596e-12      -9.673062383417e-15 
   55       1.968175642444e-10       2.445204944175e-14      -2.614627211564e-14       0.000000000000e+00       4.337909428200e-11       5.143469643752e-12      -9.797485864688e-15 
   56       1.992463255265e-10       2.583614211294e-14      -6.061602147891e-14       0.000000000000e+00       4.169356678176e-11       4.965544623543e-12      -9.925339855802e-15 
   57       2.016982257610e-10       2.726207387043e-14      -9.696285400986e-14       0.000000000000e+00       4.009736940540e-11       4.796444717329e-12      -1.005111349979e-14 
   58       2.041743909718e-10       2.872940368706e-14      -1.351675991140e-13       0.000000000000e+00       3.858693057143e-11       4.635918753371e-12      -1.016842939284e-14 
   59       2.066747904489e-10       3.023760364441e-14      -1.752055676025e-13       0.000000000000e+00       3.715582809467e-11       4.483431939945e-12      -1.027000397699e-14 
   60       2.091981518880e-10       3.178605669534e-14      -2.170464000017e-13       0.000000000000e+00       3.579462314433e-11       4.338148994469e-12      -1.034760793284e-14 
   61       2.117429451966e-10       3.337405833754e-14      -2.606595694789e-13       0.000000000000e+00       3.449349281189e-11       4.199177951937e-12      -1.039405920732e-14 
   62       2.143107839400e-10       3.500082713520e-14      -3.060326771821e-13       0.000000000000e+00       3.325119395989e-11       4.066403706907e-12      -1.040981446172e-14 
   63       2.169036402741e-10       3.666549259930e-14      -3.531570129965e-13       0.000000000000e+00       3.206782591767e-11       3.939812482765e-12      -1.039779359438e-14 
   64       2.195227937071e-10       3.836708941344e-14      -4.020222904763e-13       0.000000000000e+00       3.094213370312e-11       3.819239232840e-12      -1.036150205509e-14 
   65       2.221687801472e-10       4.010455532042e-14      -4.526166745699e-13       0.000000000000e+00       2.987143077852e-11       3.704359040684e-12      -1.030505573184e-14 
   66       2.248413409494e-10       4.187672900886e-14      -5.049268093461e-13       0.000000000000e+00       2.885152180648e-11       3.594678520349e-12      -1.023320583744e-14 
   67       2.275393719634e-10       4.368234799979e-14      -5.589378457195e-13       0.000000000000e+00       2.787662540585e-11       3.489527216661e-12      -1.015136379622e-14 
   68       2.302616801141e-10       4.552009924205e-14      -6.146316393640e-13       0.000000000000e+00       2.694092556136e-11       3.388238815029e-12      -1.006458248557e-14 
   69       2.330095450585e-10       4.738878752740e-14      -6.719808584587e-13       0.000000000000e+00       2.604376355350e-11       3.290756631371e-12      -9.974204623526e-15 
   70       2.357845874393e-10       4.928719756094e-14      -7.309537263384e-13       0.000000000000e+00       2.518536411937e-11       3.197135925175e-12      -9.880576843444e-15 
   71       2.385879775211e-10       5.121404352006e-14      -7.915157269365e-13       0.000000000000e+00       2.436526492881e-11       3.107361267260e-12      -9.784031477855e-15 
   72       2.414204048906e-10       5.316796828917e-14      -8.536295857127e-13       0.000000000000e+00       2.358228099391e-11       3.021342794511e-12      -9.684884753442e-15 
   73       2.442820481572e-10       5.514754269427e-14      -9.172552505802e-13       0.000000000000e+00       2.283446907839e-11       2.938912464625e-12      -9.583434986033e-15 
   74       2.471725446531e-10       5.715126473763e-14      -9.823498728330e-13       0.000000000000e+00       2.211909210714e-11       2.859820310844e-12      -9.479960775583e-15 
   75       2.500909601339e-10       5.917755883249e-14      -1.048867788074e-12       0.000000000000e+00       2.143258357561e-11       2.783730696701e-12      -9.374719201164e-15 
   76       2.530363522968e-10       6.122478068704e-14      -1.116761935398e-12       0.000000000000e+00       2.077143726693e-11       2.710310349037e-12      -9.268098086798e-15 
   77       2.560096469476e-10       6.329123467656e-14      -1.185988455889e-12       0.000000000000e+00       2.013514238601e-11       2.639519269327e-12      -9.161108844932e-15 
   78       2.590120505031e-10       6.537515826346e-14      -1.256502901923e-12       0.000000000000e+00       1.952372148715e-11       2.571366313522e-12      -9.054980643552e-15 
   79       2.620444686952e-10       6.747471598990e-14      -1.328258883559e-12       0.000000000000e+00       1.893683630173e-11       2.505820286835e-12      -8.951015640699e-15 
