# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.566120398049e-10       5.465711527312e-15       3.775147016566e-13       0.000000000000e+00       7.426367693768e-09       5.403201525970e-10      -2.072580264668e-12 
    3       1.443655032231e-10       6.755538237369e-15       4.313532369550e-13       0.000000000000e+00       4.569407773723e-09       3.771556939501e-10      -1.538453196053e-12 
    4       1.339776951537e-10       5.585240719059e-15       4.034535989378e-13       0.000000000000e+00       3.172367302430e-09       2.822907549934e-10      -9.699406987011e-13 
    5       1.263865472744e-10       3.546229840927e-15       3.407620931084e-13       0.000000000000e+00       2.362249713531e-09       2.209015436001e-10      -5.030764152322e-13 
    6       1.211336585199e-10       1.902306824452e-15       2.705634547269e-13       0.000000000000e+00       1.840512397029e-09       1.783057579624e-10      -1.715256392669e-13 
    7       1.176468805288e-10       1.025525657716e-15       2.085718641715e-13       0.000000000000e+00       1.480456735850e-09       1.473560112587e-10       2.776234933303e-14 
    8       1.154615912072e-10       6.876511217629e-16       1.614658274563e-13       0.000000000000e+00       1.219305996157e-09       1.241114580083e-10       1.174852410384e-13 
    9       1.142295872085e-10       5.574495416945e-16       1.304655568550e-13       0.000000000000e+00       1.023104876425e-09       1.061705227031e-10       1.294452705502e-13 
   10       1.136499990879e-10       4.604185282747e-16       1.136348647452e-13       0.000000000000e+00       8.718388451218e-10       9.197480483264e-11       9.673059306214e-14 
   11       1.136501626029e-10       3.733784930870e-16       1.075005472539e-13       0.000000000000e+00       7.404549438163e-10       8.096620306395e-11       4.825545059965e-14 
   12       1.140381303125e-10       3.193667791404e-16       1.083638296505e-13       0.000000000000e+00       6.457642110912e-10       7.141876041235e-11       3.453084535750e-15 
   13       1.147140443199e-10       3.018697513949e-16       1.131152748031e-13       0.000000000000e+00       5.681138111958e-10       6.349348281598e-11      -2.648825581510e-14 
   14       1.156928235707e-10       3.051941453163e-16       1.195387664803e-13       0.000000000000e+00       5.035687202969e-10       5.680930567069e-11      -3.880338025427e-14 
   15       1.168658547158e-10       3.179812057758e-16       1.263733884621e-13       0.000000000000e+00       4.493025796108e-10       5.116496063674e-11      -3.642454064175e-14 
   16       1.181830011339e-10       3.424169758782e-16       1.331199672136e-13       0.000000000000e+00       4.032134103254e-10       4.613500416695e-11      -2.577780506393e-14 
   17       1.196870222883e-10       3.862024420876e-16       1.398966972347e-13       0.000000000000e+00       3.637164481243e-10       4.185558173230e-11      -1.297235232482e-14 
   18       1.213161779763e-10       4.525805677837e-16       1.470959690509e-13       0.000000000000e+00       3.294746419751e-10       3.818349684937e-11      -3.124892017047e-15 
   19       1.230653589091e-10       5.401166343660e-16       1.549820885737e-13       0.000000000000e+00       2.999289056124e-10       3.499478179243e-11       1.811334409354e-15 
   20       1.249018210564e-10       6.454160940822e-16       1.636985681744e-13       0.000000000000e+00       2.739373009748e-10       3.213600891190e-11       1.322294958985e-15 
   21       1.268308131447e-10       7.679188788115e-16       1.731046372775e-13       0.000000000000e+00       2.510843718003e-10       2.959499802757e-11      -3.010521554635e-15 
   22       1.288374667798e-10       9.075566009980e-16       1.828585281979e-13       0.000000000000e+00       2.308146879279e-10       2.736104410331e-11      -8.494542101116e-15 
   23       1.309209403230e-10       1.063628524985e-15       1.924935806312e-13       0.000000000000e+00       2.128444833203e-10       2.538785668411e-11      -1.325755407436e-14 
