# Matter power spectrum P(k) at redshift z=0
# for k=7.54956e-06 to 1.10558 h/Mpc,
# number of wavenumbers equal to 642
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.549556747094e-06       1.186738104441e+02 
       1.611205481648e-05       2.468326317749e+02 
       2.468859348984e-05       3.727754177075e+02 
       3.328935715086e-05       4.975509875640e+02 
       4.192460782924e-05       6.217064850739e+02 
       5.060472571747e-05       7.456142343183e+02 
       5.934025029205e-05       8.695650330435e+02 
       6.814192229096e-05       9.938060355231e+02 
       7.702072680120e-05       1.118558877706e+03 
       8.598793771229e-05       1.244030029398e+03 
       9.505516379492e-05       1.370416926395e+03 
       1.042343966669e-04       1.497912208870e+03 
       1.135380609117e-04       1.626706612427e+03 
       1.229790666160e-04       1.756991231606e+03 
       1.325708645953e-04       1.888959324897e+03 
       1.423275045728e-04       2.022807784109e+03 
       1.522636965728e-04       2.158738502531e+03 
       1.623948757813e-04       2.296959545906e+03 
       1.727372711088e-04       2.437686309528e+03 
       1.833079776676e-04       2.581142597779e+03 
       1.941250333424e-04       2.727561691054e+03 
       2.052074995827e-04       2.877187374667e+03 
       2.165755464849e-04       3.030275005317e+03 
       2.282505421423e-04       3.187092517149e+03 
       2.402551461352e-04       3.347921518785e+03 
       2.526134068867e-04       3.513058272854e+03 
       2.653508624345e-04       3.682814742491e+03 
       2.784946439420e-04       3.857519637647e+03 
       2.920735809987e-04       4.037519275433e+03 
       3.061183074225e-04       4.223178670734e+03 
       3.206613658716e-04       4.414882099420e+03 
       3.357373090968e-04       4.613034083085e+03 
       3.513827951005e-04       4.818059730356e+03 
       3.676366728270e-04       5.030405202831e+03 
       3.845400542781e-04       5.250537753417e+03 
       4.021363681491e-04       5.478945448497e+03 
       4.204713892242e-04       5.716136642838e+03 
       4.395932368878e-04       5.962638607688e+03 
       4.595523352579e-04       6.218996132387e+03 
       4.804013266805e-04       6.485768690250e+03 
       5.021949297505e-04       6.763527657950e+03 
       5.249897327459e-04       7.052851979269e+03 
       5.488439135224e-04       7.354323118373e+03 
       5.738168776756e-04       7.668519145053e+03 
       5.999688082866e-04       7.996007121297e+03 
       6.273601229882e-04       8.337335129512e+03 
       6.560508375159e-04       8.693022720862e+03 
       6.860998393899e-04       9.063550546379e+03 
       7.175640808276e-04       9.449349302557e+03 
       7.504977061998e-04       9.850788066009e+03 
       7.849511359356e-04       1.026816311800e+04 
       8.209701351926e-04       1.070168555016e+04 
       8.585949011640e-04       1.115147206593e+04 
       8.978592068273e-04       1.161752137207e+04 
       9.387896405301e-04       1.209969500852e+04 
       9.814049794924e-04       1.259782791799e+04 
       1.025715730807e-03       1.311158710188e+04 
       1.071723865940e-03       1.364052343211e+04 
       1.119422764598e-03       1.418407443099e+04 
       1.168797372055e-03       1.474157277925e+04 
       1.219824561762e-03       1.531225375612e+04 
       1.272473683570e-03       1.589526811007e+04 
       1.326707268301e-03       1.648969517284e+04 
       1.382481852599e-03       1.709455665524e+04 
       1.439748884319e-03       1.770883282208e+04 
       1.498455668392e-03       1.833147537283e+04 
       1.558546315539e-03       1.896142495389e+04 
       1.619962660951e-03       1.959762127422e+04 
       1.682645126244e-03       2.023901655260e+04 
       1.746533504848e-03       2.088458619750e+04 
       1.811567657807e-03       2.153333620420e+04 
       1.877688113283e-03       2.218431081952e+04 
       1.944836568367e-03       2.283659677948e+04 
       2.012956296114e-03       2.348932949716e+04 
       2.081992463833e-03       2.414169248804e+04 
       2.151892370761e-03       2.479292293577e+04 
       2.222605614443e-03       2.544230623364e+04 
       2.294084195559e-03       2.608918211998e+04 
       2.366282570839e-03       2.673293730926e+04 
       2.439157663176e-03       2.737301385694e+04 
       2.512668837282e-03       2.800889039528e+04 
       2.586777848326e-03       2.864010384273e+04 
       2.661448770022e-03       2.926622118753e+04 
       2.736647907682e-03       2.988685435000e+04 
       2.812343700864e-03       3.050166039048e+04 
       2.888506619409e-03       3.111031533638e+04 
       2.965109055925e-03       3.171254946622e+04 
       3.042125217176e-03       3.230810523136e+04 
       3.119531016247e-03       3.289675907453e+04 
       3.197303966924e-03       3.347832319210e+04 
       3.275423081358e-03       3.405261218345e+04 
       3.353868771755e-03       3.461948882085e+04 
       3.432622756594e-03       3.517862746548e+04 
       3.511667971686e-03       3.572935905957e+04 
       3.590988486218e-03       3.627314101236e+04 
       3.670569423817e-03       3.680919087367e+04 
       3.750396888576e-03       3.733721155345e+04 
       3.830457895922e-03       3.785745542206e+04 
       3.910740308147e-03       3.836977378603e+04 
       3.991232774410e-03       3.887401145601e+04 
       4.071924674971e-03       3.937018135556e+04 
       4.152806069436e-03       3.985863300638e+04 
       4.233867648769e-03       4.033886214091e+04 
       4.315100690825e-03       4.081085668779e+04 
       4.396497019179e-03       4.127466180711e+04 
       4.478048965023e-03       4.173059706325e+04 
       4.559749331903e-03       4.217857257354e+04 
       4.641591363110e-03       4.261826441373e+04 
       4.723568711510e-03       4.304990646315e+04 
       4.805675411638e-03       4.347395201579e+04 
       4.887905853885e-03       4.389008100362e+04 
       4.970254760620e-03       4.429837679384e+04 
       5.052717164089e-03       4.469888807264e+04 
       5.135288385960e-03       4.509274273135e+04 
       5.217964018386e-03       4.547781882337e+04 
       5.300739906468e-03       4.585526700438e+04 
       5.383612132001e-03       4.622512406481e+04 
       5.466576998416e-03       4.658741538889e+04 
       5.549631016808e-03       4.694229574700e+04 
       5.632770892989e-03       4.728972418768e+04 
       5.715993515456e-03       4.762981530732e+04 
       5.799295944232e-03       4.796264230464e+04 
       5.882675400496e-03       4.828830330869e+04 
       5.966129256939e-03       4.860674695883e+04 
       6.049655028811e-03       4.891798781324e+04 
       6.133250365574e-03       4.922226346127e+04 
       6.216913043151e-03       4.951960408483e+04 
       6.300640956696e-03       4.981002986711e+04 
       6.384432113860e-03       5.009176312335e+04 
       6.468284628521e-03       5.037035874745e+04 
       6.552196714931e-03       5.064039278884e+04 
       6.636166682255e-03       5.090382287006e+04 
       6.720192929474e-03       5.116064219058e+04 
       6.804273940633e-03       5.141097727637e+04 
       6.888408280387e-03       5.165472009442e+04 
       6.972594589850e-03       5.189222294076e+04 
       7.056831582710e-03       5.212339250533e+04 
       7.141118041593e-03       5.234828837102e+04 
       7.225452814662e-03       5.256710295189e+04 
       7.309834812433e-03       5.277943226388e+04 
       7.394263004794e-03       5.298590613936e+04 
       7.478736418212e-03       5.318659659585e+04 
       7.563254133113e-03       5.338090545891e+04 
       7.647815281432e-03       5.356961041894e+04 
       7.732419044311e-03       5.375236949043e+04 
       7.817064649940e-03       5.392945506569e+04 
       7.901751371537e-03       5.410107923692e+04 
       7.986478525443e-03       5.426660472734e+04 
       8.071245469346e-03       5.442703425526e+04 
       8.156051600608e-03       5.458148239653e+04 
       8.240896354691e-03       5.473079655896e+04 
       8.325779203688e-03       5.487462091014e+04 
       8.410699654940e-03       5.501331798839e+04 
       8.495657249734e-03       5.514636160881e+04 
       8.580651562090e-03       5.527440586193e+04 
       8.665682197614e-03       5.539731220835e+04 
       8.750748792428e-03       5.551540146955e+04 
       8.835851012162e-03       5.562815786675e+04 
       8.920988551009e-03       5.573594347336e+04 
       9.006161130846e-03       5.583893248050e+04 
       9.091368500401e-03       5.593687438873e+04 
       9.176610434478e-03       5.603029252104e+04 
       9.261886733232e-03       5.611852668736e+04 
       9.347197221489e-03       5.620263343295e+04 
       9.432541748113e-03       5.628165741961e+04 
       9.517920185414e-03       5.635635082505e+04 
       9.603332428596e-03       5.642642550934e+04 
       9.688778395245e-03       5.649204229469e+04 
       9.774258024848e-03       5.655320934665e+04 
       9.859771278357e-03       5.661002610750e+04 
       9.945318137774e-03       5.666277250410e+04 
       1.003089860577e-02       5.671085590901e+04 
       1.011651270536e-02       5.675502866300e+04 
       1.020216047953e-02       5.679511602202e+04 
       1.028784199101e-02       5.682890547642e+04 
       1.037355732197e-02       5.686279185481e+04 
       1.045930657378e-02       5.688846502912e+04 
       1.054508986680e-02       5.691437528742e+04 
       1.063090734020e-02       5.693433464091e+04 
       1.071675915175e-02       5.695056236297e+04 
       1.080264547771e-02       5.696302609598e+04 
       1.088856651270e-02       5.697168315589e+04 
       1.097452246956e-02       5.697640367547e+04 
       1.106051357929e-02       5.697792103947e+04 
       1.114654009096e-02       5.697542501243e+04 
       1.123260227167e-02       5.696963244937e+04 
       1.131870040652e-02       5.696034102124e+04 
       1.140483479860e-02       5.694756177757e+04 
       1.149100576895e-02       5.693147437441e+04 
       1.157721365662e-02       5.691181785687e+04 
       1.166345881869e-02       5.688906160462e+04 
       1.174974163033e-02       5.686301197022e+04 
       1.183606248483e-02       5.683381711971e+04 
       1.192242179372e-02       5.680124880068e+04 
       1.200881998686e-02       5.676399363478e+04 
       1.209525751252e-02       5.672521019876e+04 
       1.218173483755e-02       5.668318125527e+04 
       1.226825244747e-02       5.664073782143e+04 
       1.235481084668e-02       5.659298292454e+04 
       1.244141055859e-02       5.654241928949e+04 
       1.252805212583e-02       5.648927555063e+04 
       1.261473611041e-02       5.643282505480e+04 
       1.270146309399e-02       5.637393032887e+04 
       1.278823367805e-02       5.631228664683e+04 
       1.287504848418e-02       5.624531860594e+04 
       1.296190815429e-02       5.617823385527e+04 
       1.304881335092e-02       5.611150333142e+04 
       1.313576475752e-02       5.603916851560e+04 
       1.322276307873e-02       5.596457729395e+04 
       1.330980904069e-02       5.588484209924e+04 
       1.339690339142e-02       5.580530259173e+04 
       1.348404690112e-02       5.572579692094e+04 
       1.357124036253e-02       5.564160610058e+04 
       1.365848459133e-02       5.555473675566e+04 
       1.374578042652e-02       5.546595648261e+04 
       1.383312873085e-02       5.537236091849e+04 
       1.392053039119e-02       5.527928510804e+04 
       1.400798631904e-02       5.518359649409e+04 
       1.409549745094e-02       5.508589991583e+04 
       1.418306474897e-02       5.498633264622e+04 
       1.427068920123e-02       5.488462772152e+04 
       1.435837182238e-02       5.478084133656e+04 
       1.444611365412e-02       5.467518316970e+04 
       1.453391576579e-02       5.456981472442e+04 
       1.462177925491e-02       5.446040005819e+04 
       1.470970524779e-02       5.434663667197e+04 
       1.479769490012e-02       5.423603361857e+04 
       1.488574939760e-02       5.411843822467e+04 
       1.497386995662e-02       5.400203299543e+04 
       1.506205782491e-02       5.388563613310e+04 
       1.515031428223e-02       5.376300871671e+04 
       1.523864064111e-02       5.364358314133e+04 
       1.532703824761e-02       5.352021545923e+04 
       1.541550848204e-02       5.339447032590e+04 
       1.550405275981e-02       5.326656275555e+04 
       1.559267253221e-02       5.314091283696e+04 
       1.568136928728e-02       5.300839409796e+04 
       1.577014455070e-02       5.287798418063e+04 
       1.585899988668e-02       5.274596884771e+04 
       1.594793689888e-02       5.261368150951e+04 
       1.603695723142e-02       5.247867734176e+04 
       1.612606256987e-02       5.234223000255e+04 
       1.621525464224e-02       5.220185068224e+04 
       1.630453522012e-02       5.206454436525e+04 
       1.639390611973e-02       5.192289945244e+04 
       1.648336920308e-02       5.178108210211e+04 
       1.657292637917e-02       5.164088215624e+04 
       1.666257960516e-02       5.149437064446e+04 
       1.675233088768e-02       5.134953053057e+04 
       1.684218228413e-02       5.120386108317e+04 
       1.693213590400e-02       5.105873294028e+04 
       1.702219391026e-02       5.090826330755e+04 
       1.711235852087e-02       5.075903203458e+04 
       1.720263201019e-02       5.060909367369e+04 
       1.729301671058e-02       5.045814122890e+04 
       1.738351501396e-02       5.030580687707e+04 
       1.747412937349e-02       5.015469184414e+04 
       1.756486230530e-02       4.999927714590e+04 
       1.765571639019e-02       4.984484129835e+04 
       1.774669427557e-02       4.969024809247e+04 
       1.783779867728e-02       4.953329158400e+04 
       1.792903238157e-02       4.937736287442e+04 
       1.802039824720e-02       4.921848532431e+04 
       1.811189920749e-02       4.906099417819e+04 
       1.820353827255e-02       4.890177036473e+04 
       1.829531853155e-02       4.874148360015e+04 
       1.838724315506e-02       4.858289890238e+04 
       1.847931539753e-02       4.841987863966e+04 
       1.857153859981e-02       4.825809337927e+04 
       1.866391619178e-02       4.809745224183e+04 
       1.875645169512e-02       4.793286168468e+04 
       1.884914872610e-02       4.776931882541e+04 
       1.894201099858e-02       4.760529009949e+04 
       1.903504232705e-02       4.744094649271e+04 
       1.912824662984e-02       4.727608926043e+04 
       1.922162793241e-02       4.711041775707e+04 
       1.931519037080e-02       4.694447389024e+04 
       1.940893819523e-02       4.677830940506e+04 
       1.950287577384e-02       4.661171215196e+04 
       1.959700759651e-02       4.644440193011e+04 
       1.969133827898e-02       4.627707505248e+04 
       1.978587256703e-02       4.611088111321e+04 
       1.988061534082e-02       4.594268335505e+04 
       1.997557161955e-02       4.577257334820e+04 
       2.007074656614e-02       4.560379245190e+04 
       2.016614549225e-02       4.543476391091e+04 
       2.026177386345e-02       4.526657270352e+04 
       2.035763730462e-02       4.509750707828e+04 
       2.045374160561e-02       4.492625214153e+04 
       2.055009272714e-02       4.475749636782e+04 
       2.064669680694e-02       4.458745939482e+04 
       2.074356016622e-02       4.441675368949e+04 
       2.084068931638e-02       4.424622126974e+04 
       2.093809096607e-02       4.407368998673e+04 
       2.103577202855e-02       4.390397174900e+04 
       2.113373962942e-02       4.373176435710e+04 
       2.123200111466e-02       4.356066214480e+04 
       2.133056405914e-02       4.338995372203e+04 
       2.142943627549e-02       4.321778417474e+04 
       2.152862582336e-02       4.304748575836e+04 
       2.162814101922e-02       4.287570332055e+04 
       2.172799044662e-02       4.270383955856e+04 
       2.182818296689e-02       4.253160586892e+04 
       2.192872773048e-02       4.235955442166e+04 
       2.202963418886e-02       4.218870140255e+04 
       2.213091210697e-02       4.201632134740e+04 
       2.223257157637e-02       4.184427724753e+04 
       2.233462302910e-02       4.167228063016e+04 
       2.243707725224e-02       4.150071107017e+04 
       2.253994540324e-02       4.132884412291e+04 
       2.264323902616e-02       4.115736680070e+04 
       2.274697006871e-02       4.098548417139e+04 
       2.285115090030e-02       4.081335517397e+04 
       2.295579433107e-02       4.064157028041e+04 
       2.306091363201e-02       4.047021232814e+04 
       2.316652255625e-02       4.029809957713e+04 
       2.327263536157e-02       4.012651482624e+04 
       2.337926683424e-02       3.995454684672e+04 
       2.348643231426e-02       3.978344921955e+04 
       2.359414772213e-02       3.961185582971e+04 
       2.370242958728e-02       3.944061252073e+04 
       2.381129507818e-02       3.926925747655e+04 
