# Matter power spectrum P(k) at redshift z=0
# for k=1.07376e-05 to 1.07542 h/Mpc,
# number of wavenumbers equal to 594
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.073762037756e-05       4.428678589340e+01 
       2.436766252954e-05       9.774453580243e+01 
       3.805040532490e-05       1.503345715765e+02 
       5.182707814038e-05       2.026228826727e+02 
       6.573966370935e-05       2.549397939287e+02 
       7.983131708105e-05       3.075391408853e+02 
       9.414679936141e-05       3.606426614434e+02 
       1.087329326392e-04       4.144582876786e+02 
       1.236390825444e-04       4.691897278371e+02 
       1.389176749195e-04       5.250424425560e+02 
       1.546247530529e-04       5.822280024284e+02 
       1.708205817589e-04       6.409675282077e+02 
       1.875703041726e-04       7.014948812692e+02 
       2.049446563351e-04       7.640595804456e+02 
       2.230207432553e-04       8.289296927887e+02 
       2.418828779109e-04       8.963947709197e+02 
       2.616234812236e-04       9.667687711004e+02 
       2.823440359914e-04       1.040393062725e+03 
       3.041560805302e-04       1.117639350196e+03 
       3.271822177362e-04       1.198912435547e+03 
       3.515571017381e-04       1.284652906013e+03 
       3.774283466181e-04       1.375339094934e+03 
       4.049572794082e-04       1.471488492794e+03 
       4.343194327796e-04       1.573657796015e+03 
       4.657046425922e-04       1.682441603880e+03 
       4.993165843420e-04       1.798468651013e+03 
       5.353715554442e-04       1.922395566160e+03 
       5.740962950257e-04       2.054896832304e+03 
       6.157246404225e-04       2.196650957804e+03 
       6.604928631175e-04       2.348322258723e+03 
       7.086336193568e-04       2.510537958493e+03 
       7.603685999790e-04       2.683862104700e+03 
       8.159001660388e-04       2.868765647909e+03 
       8.754024889573e-04       3.065598120798e+03 
       9.390129319108e-04       3.274559114234e+03 
       1.006824552492e-03       3.495676482244e+03 
       1.078880614888e-03       3.728786833020e+03 
       1.155171836685e-03       3.973482719229e+03 
       1.235636770913e-03       4.229293817997e+03 
       1.320165300629e-03       4.495528226792e+03 
       1.408604800158e-03       4.771359557940e+03 
       1.500768194361e-03       5.055860989583e+03 
       1.596442990846e-03       5.348040370791e+03 
       1.695400381731e-03       5.646875083105e+03 
       1.797403673683e-03       5.951341818841e+03 
       1.902215542703e-03       6.260442475143e+03 
       2.009603858326e-03       6.573223455403e+03 
       2.119346032868e-03       6.888789229013e+03 
       2.231232002088e-03       7.206310509055e+03 
       2.345066031419e-03       7.525030168280e+03 
       2.460667577279e-03       7.844263070472e+03 
       2.577871431185e-03       8.163392284588e+03 
       2.696527350575e-03       8.481873005537e+03 
       2.816499346275e-03       8.799212893251e+03 
       2.937664760547e-03       9.114989318847e+03 
       3.059913236352e-03       9.428824727860e+03 
       3.183145650153e-03       9.740389366730e+03 
       3.307273057775e-03       1.004939711224e+04 
       3.432215685430e-03       1.035559839019e+04 
       3.557901985031e-03       1.065877663690e+04 
       3.684267763735e-03       1.095874676910e+04 
       3.811255391259e-03       1.125534906112e+04 
       3.938813084328e-03       1.154844677001e+04 
       4.066894264946e-03       1.183792371446e+04 
       4.195456987652e-03       1.212368370891e+04 
       4.324463430135e-03       1.240564000660e+04 
       4.453879441354e-03       1.268373039204e+04 
       4.583674141332e-03       1.295789626089e+04 
       4.713819567105e-03       1.322810302582e+04 
       4.844290359666e-03       1.349430700853e+04 
       4.975063487205e-03       1.375646572504e+04 
       5.106118000377e-03       1.401460640814e+04 
       5.237434815803e-03       1.426867427975e+04 
       5.368996524414e-03       1.451867541251e+04 
       5.500787221637e-03       1.476466705482e+04 
       5.632792356793e-03       1.500661294980e+04 
