# Matter power spectrum P(k) at redshift z=0
# for k=9.49637e-06 to 1.14372 h/Mpc,
# number of wavenumbers equal to 598
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.496374074792e-06       6.343178675443e+01 
       2.162910482730e-05       1.404898618505e+02 
       3.379887760336e-05       2.162299449093e+02 
       4.603473293162e-05       2.914254579906e+02 
       5.836613147973e-05       3.665068384741e+02 
       7.082318721387e-05       4.417919240528e+02 
       8.343690712942e-05       5.175493506349e+02 
       9.623944040907e-05       5.940241036344e+02 
       1.092643398881e-04       6.714503967515e+02 
       1.225468387332e-04       7.500593134570e+02 
       1.361241452597e-04       8.300838698109e+02 
       1.500357588008e-04       9.117629512649e+02 
       1.643238094783e-04       9.953444251624e+02 
       1.790334245735e-04       1.081088074351e+03 
       1.942131239076e-04       1.169268127971e+03 
       2.099152461612e-04       1.260175887138e+03 
       2.261964073058e-04       1.354122257647e+03 
       2.431179911874e-04       1.451440278681e+03 
       2.607466706635e-04       1.552487556417e+03 
       2.791549553935e-04       1.657649107131e+03 
       2.984217592306e-04       1.767339469514e+03 
       3.186329759372e-04       1.882005175173e+03 
       3.398820464365e-04       2.002126865337e+03 
       3.622704937746e-04       2.128220877885e+03 
       3.859083932684e-04       2.260840411968e+03 
       4.109147348998e-04       2.400575608641e+03 
       4.374176231099e-04       2.548052701598e+03 
       4.655542463326e-04       2.703931448096e+03 
       4.954705360537e-04       2.868900633457e+03 
       5.273204248168e-04       3.043671152629e+03 
       5.612646072608e-04       3.228966161713e+03 
       5.974687117304e-04       3.425508158189e+03 
       6.361008066870e-04       3.634001956300e+03 
       6.773282004345e-04       3.855114916002e+03 
       7.213135476762e-04       4.089453173322e+03 
       7.682103521810e-04       4.337535943822e+03 
       8.181580464461e-04       4.599768254877e+03 
       8.712769254322e-04       4.876414576316e+03 
       9.276632947483e-04       5.167574393980e+03 
       9.873852430798e-04       5.473164784540e+03 
       1.050479444866e-03       5.792907972527e+03 
       1.116949331437e-03       6.126329670448e+03 
       1.186764840434e-03       6.472766556018e+03 
       1.259863783745e-03       6.831369725621e+03 
       1.336154695025e-03       7.201146315170e+03 
       1.415520863790e-03       7.581021434047e+03 
       1.497825162066e-03       7.969815733503e+03 
       1.582915234681e-03       8.366301959997e+03 
       1.670628652291e-03       8.769237065720e+03 
       1.760797700786e-03       9.177390545114e+03 
       1.853253579664e-03       9.589567866783e+03 
       1.947829883837e-03       1.000463014166e+04 
       2.044365332437e-03       1.042150685769e+04 
       2.142705775939e-03       1.083920505927e+04 
       2.242705557197e-03       1.125681357982e+04 
       2.344228325219e-03       1.167350492274e+04 
       2.447147407305e-03       1.208853334138e+04 
       2.551345840761e-03       1.250123159537e+04 
       2.656716154319e-03       1.291100740652e+04 
       2.763159975349e-03       1.331733761933e+04 
       2.870587524325e-03       1.371976336799e+04 
       2.978917044342e-03       1.411788423048e+04 
       3.088074201546e-03       1.451135326066e+04 
       3.197991482457e-03       1.489986980570e+04 
       3.308607606185e-03       1.528317795832e+04 
       3.419866963430e-03       1.566105981117e+04 
       3.531719089502e-03       1.603333375127e+04 
       3.644118175186e-03       1.639984555941e+04 
       3.757022616889e-03       1.676047355946e+04 
       3.870394605789e-03       1.711511570026e+04 
       3.984199754649e-03       1.746369669243e+04 
       4.098406760230e-03       1.780615460545e+04 
       4.212987098867e-03       1.814244983099e+04 
       4.327914752605e-03       1.847249086341e+04 
       4.443165963226e-03       1.879626600743e+04 
       4.558719011604e-03       1.911395574692e+04 
       4.674554019924e-03       1.942541638146e+04 
       4.790652774457e-03       1.973060896385e+04 
       4.906998566785e-03       2.002977749652e+04 
       5.023576051534e-03       2.032285788176e+04 
       5.140371118847e-03       2.060980233685e+04 
       5.257370780035e-03       2.089067353732e+04 
       5.374563064960e-03       2.116553200193e+04 
       5.491936929894e-03       2.143434228303e+04 
       5.609482174710e-03       2.169642323377e+04 
       5.727189368398e-03       2.195421201473e+04 
       5.845049782006e-03       2.220533150856e+04 
       5.963055328197e-03       2.245081866158e+04 
       6.081198506734e-03       2.269052062579e+04 
       6.199472355233e-03       2.292469849677e+04 
       6.317870404654e-03       2.315334219893e+04 
       6.436386639010e-03       2.337649241280e+04 
       6.555015458867e-03       2.359396989240e+04 
       6.673751648237e-03       2.380636029646e+04 
       6.792590344518e-03       2.401396652334e+04 
       6.911527011168e-03       2.421571000627e+04 
       7.030557412841e-03       2.441226056376e+04 
       7.149677592738e-03       2.460368583082e+04 
       7.268883851952e-03       2.479009835445e+04 
       7.388172730610e-03       2.497156429395e+04 
       7.507540990652e-03       2.514810938093e+04 
       7.626985600062e-03       2.531975667040e+04 
       7.746503718445e-03       2.548662240352e+04 
       7.866092683798e-03       2.564876681876e+04 
       7.985750000378e-03       2.580621330135e+04 
       8.105473327563e-03       2.595908339660e+04 
       8.225260469607e-03       2.610741532426e+04 
       8.345109366225e-03       2.625128262703e+04 
       8.465018083919e-03       2.639070230888e+04 
       8.584984807984e-03       2.652579278556e+04 
       8.705007835140e-03       2.665657358449e+04 
       8.825085566727e-03       2.678310091164e+04 
       8.945216502423e-03       2.690545381004e+04 
       9.065399234432e-03       2.702367481314e+04 
       9.185632442114e-03       2.713781821889e+04 
       9.305914887010e-03       2.724794672226e+04 
       9.426245408232e-03       2.735420629633e+04 
       9.546622918196e-03       2.745638677628e+04 
       9.667046398658e-03       2.755488458469e+04 
       9.787514897040e-03       2.764939061908e+04 
       9.908027523017e-03       2.774029365522e+04 
       1.002858344535e-02       2.782745528243e+04 
       1.014918188893e-02       2.791107935105e+04 
       1.026982213206e-02       2.799089847721e+04 
       1.039050350387e-02       2.806728004868e+04 
       1.051122538199e-02       2.814021884913e+04 
       1.063198719031e-02       2.820963247352e+04 
       1.075278839694e-02       2.827572301383e+04 
       1.087362851232e-02       2.833839185838e+04 
       1.099450708736e-02       2.839782107456e+04 
       1.111542371190e-02       2.845399347341e+04 
       1.123637801304e-02       2.850687909010e+04 
       1.135736965382e-02       2.855665205116e+04 
       1.147839833176e-02       2.860327657347e+04 
       1.159946377772e-02       2.864688989291e+04 
       1.172056575467e-02       2.868759562968e+04 
       1.184170405662e-02       2.872506697019e+04 
       1.196287850764e-02       2.875978808749e+04 
       1.208408896092e-02       2.879142195221e+04 
       1.220533529785e-02       2.882028563496e+04 
       1.232661742729e-02       2.884639182093e+04 
       1.244793528477e-02       2.886965655937e+04 
       1.256928883183e-02       2.889011740595e+04 
       1.269067805535e-02       2.890803913551e+04 
       1.281210296697e-02       2.892311133856e+04 
       1.293356360257e-02       2.893572578080e+04 
       1.305506002173e-02       2.894565188707e+04 
       1.317659230730e-02       2.895308081036e+04 
       1.329816056495e-02       2.895809362423e+04 
       1.341976492283e-02       2.896044339198e+04 
       1.354140553117e-02       2.896059409969e+04 
       1.366308256203e-02       2.895820474855e+04 
       1.378479620894e-02       2.895345018530e+04 
       1.390654668672e-02       2.894641262623e+04 
       1.402833423122e-02       2.893710363118e+04 
       1.415015909913e-02       2.892556507160e+04 
       1.427202156782e-02       2.891177746863e+04 
       1.439392193520e-02       2.889589021927e+04 
       1.451586051960e-02       2.887767881510e+04 
       1.463783765967e-02       2.885751598194e+04 
       1.475985371432e-02       2.883528733422e+04 
       1.488190906268e-02       2.881093510411e+04 
       1.500400410404e-02       2.878457310228e+04 
       1.512613925788e-02       2.875624436756e+04 
       1.524831496389e-02       2.872607236511e+04 
       1.537053168195e-02       2.869388552766e+04 
       1.549278989226e-02       2.865976258328e+04 
