# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509147e-26       4.634785000235e-09       2.157256292805e+22       1.373403690173e+04       1.373403690173e-10       1.373403690173e+18       2.676317464528e-09       2.751560535470e+44       3.735633551196e+33       1.336376166075e+34       3.405778251745e-08       1.902194177205e+44       4.653754712846e+44       4.653754712846e+44       1.551251570892e+44      -1.338578885212e+53       4.956232451488e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208814e-26       4.685716703534e-09       2.111374631027e+22       1.373403690173e+04       1.388246006072e-10       1.358720059652e+18       2.705240316107e-09       2.635761930281e+44       3.617092366466e+33       1.293969540318e+34       3.405778251745e-08       1.822140902098e+44       4.457902832545e+44       4.457902832545e+44       1.485967610793e+44      -1.268536174645e+53       5.062781339412e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675370e-26       4.736648406833e-09       2.066468804571e+22       1.373403690173e+04       1.403248722254e-10       1.344193417936e+18       2.734475734719e-09       2.524836674885e+44       3.502312796008e+33       1.252908585004e+34       3.405778251745e-08       1.745456645219e+44       4.270293320264e+44       4.270293320264e+44       1.423431106701e+44      -1.202158531082e+53       5.169330227325e-06       1.917553041712e+00 
       9.682674483178e+13       8.063126489061e-26       4.787580110133e-09       2.022518058857e+22       1.373403690173e+04       1.418413572158e-10       1.329822086594e+18       2.764027098836e-09       2.418579675807e+44       3.391175474202e+33       1.213150598578e+34       3.405778251745e-08       1.671999622440e+44       4.090579298401e+44       4.090579298401e+44       1.363526432749e+44      -1.139254175591e+53       5.275879115230e-06       1.878827146122e+00 
       9.579152979933e+13       8.238343922790e-26       4.838511813432e-09       1.979502080725e+22       1.373403690173e+04       1.433742307958e-10       1.315604405137e+18       2.793897823449e-09       2.316794470871e+44       3.283564823203e+33       1.174654234510e+34       3.405778251745e-08       1.601634016574e+44       3.918428487595e+44       3.918428487595e+44       1.306142829148e+44      -1.079641364300e+53       5.382428003137e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954557e-26       4.891262506135e-09       1.937400989047e+22       1.373403690173e+04       1.449236700760e-10       1.301538730831e+18       2.824091359690e-09       2.219292865953e+44       3.179368932749e+33       1.137379458305e+34       3.405778251745e-08       1.534229726263e+44       3.753522592361e+44       3.753522592361e+44       1.251174197405e+44      -1.023147863296e+53       5.488976891041e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325747e-26       4.944013198838e-09       1.896195325537e+22       1.373403690173e+04       1.464898540814e-10       1.287623438503e+18       2.854611196171e-09       2.125894587024e+44       3.078479443774e+33       1.101287505862e+34       3.405778251745e-08       1.469662125423e+44       3.595556712588e+44       3.595556712588e+44       1.198518904149e+44      -9.696104510096e+52       5.595525778945e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577790e-26       4.998582880944e-09       1.855866045757e+22       1.373403690173e+04       1.480729637714e-10       1.273856920358e+18       2.885460859264e-09       2.036426946831e+44       2.980791435721e+33       1.066340843165e+34       3.405778251745e-08       1.407811832824e+44       3.444238779792e+44       3.444238779792e+44       1.148079593218e+44      -9.188744466301e+52       5.702074666849e-06       1.738396194400e+00 
       9.176017181296e+13       8.978126094995e-26       5.051333573647e-09       1.816394510316e+22       1.373403690173e+04       1.496731820612e-10       1.260237585788e+18       2.916643913468e-09       1.950724525616e+44       2.886203317433e+33       1.032503127248e+34       3.405778251745e-08       1.348564491358e+44       3.299289017106e+44       3.299289017106e+44       1.099763005658e+44      -8.707932632024e+52       5.808623554752e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129459e-26       5.105903255753e-09       1.777762476257e+22       1.373403690173e+04       1.512906938428e-10       1.246763861194e+18       2.948163961682e-09       1.868628865258e+44       2.794616721498e+33       9.997391684009e+33       3.405778251745e-08       1.291810556602e+44       3.160439421988e+44       3.160439421988e+44       1.053479807287e+44      -8.252279841056e+52       5.915172442652e-06       1.675769387306e+00 
       8.980856820338e+13       9.372567846657e-26       5.162291927263e-09       1.739952088623e+22       1.373403690173e+04       1.529256860061e-10       1.233434189797e+18       2.980024645714e-09       1.789988176302e+44       2.705936401951e+33       9.680148935709e+33       3.405778251745e-08       1.237445094279e+44       3.027433270705e+44       3.027433270705e+44       1.009144423527e+44      -7.820469616939e+52       6.021721330548e-06       1.646118170433e+00 
       8.884838741853e+13       9.576240376601e-26       5.216861609370e-09       1.702945872206e+22       1.373403690173e+04       1.545783474610e-10       1.220247031465e+18       3.012229646794e-09       1.714657057307e+44       2.620070135227e+33       9.372973109315e+33       3.405778251745e-08       1.185367586236e+44       2.900024643663e+44       2.900024643663e+44       9.666748811811e+43      -7.411254369392e+52       6.128270218439e-06       1.617498012609e+00 
       8.789847232612e+13       9.784338856383e-26       5.273250280879e-09       1.666726723468e+22       1.373403690173e+04       1.562488691587e-10       1.207200862533e+18       3.044782685983e-09       1.642496226007e+44       2.536928624250e+33       9.075544755708e+33       3.405778251745e-08       1.135481744601e+44       2.777977970724e+44       2.777977970724e+44       9.259926568692e+43      -7.023451789757e+52       6.234819106327e-06       1.589856053482e+00 
       8.695871317136e+13       9.996959462954e-26       5.331457941793e-09       1.631277902641e+22       1.373403690173e+04       1.579374441140e-10       1.194294175623e+18       3.077687524497e-09       1.573372261788e+44       2.456425405567e+33       8.787554562703e+33       3.405778251745e-08       1.087695333746e+44       2.661067595646e+44       2.661067595646e+44       8.870225318445e+43      -6.655941435065e+52       6.341367994210e-06       1.563142985412e+00 
