# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509152e-26       4.634785000235e-09       2.157256292803e+22       1.393770353203e+04       1.393770353203e-10       1.393770353203e+18       2.676317464530e-09       2.751560535470e+44       3.113027959330e+33       1.336376166075e+34       3.468038810932e-08       1.902194177205e+44       4.653754712840e+44       4.653754712840e+44       1.551251570892e+44      -1.338578885211e+53       5.178823442230e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208818e-26       4.685716703534e-09       2.111374631026e+22       1.393770353203e+04       1.408832770772e-10       1.378868974210e+18       2.705240316108e-09       2.635761930281e+44       3.014243638722e+33       1.293969540318e+34       3.468038810932e-08       1.822140902098e+44       4.457902832539e+44       4.457902832539e+44       1.485967610793e+44      -1.268536174644e+53       5.290157582411e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675375e-26       4.736648406833e-09       2.066468804569e+22       1.393770353203e+04       1.424057967254e-10       1.364126912062e+18       2.734475734721e-09       2.524836674885e+44       2.918593996673e+33       1.252908585004e+34       3.468038810932e-08       1.745456645219e+44       4.270293320258e+44       4.270293320258e+44       1.423431106701e+44      -1.202158531081e+53       5.401491722580e-06       1.917553041713e+00 
       9.682674483178e+13       8.063126489065e-26       4.787580110133e-09       2.022518058855e+22       1.393770353203e+04       1.439447701794e-10       1.349542463437e+18       2.764027098837e-09       2.418579675807e+44       2.825979561835e+33       1.213150598578e+34       3.468038810932e-08       1.671999622440e+44       4.090579298396e+44       4.090579298396e+44       1.363526432749e+44      -1.139254175590e+53       5.512825862741e-06       1.878827146123e+00 
       9.579152979933e+13       8.238343922795e-26       4.838511813432e-09       1.979502080724e+22       1.393770353203e+04       1.455003752548e-10       1.335113943223e+18       2.793897823450e-09       2.316794470871e+44       2.736304019336e+33       1.174654234510e+34       3.468038810932e-08       1.601634016574e+44       3.918428487589e+44       3.918428487589e+44       1.306142829148e+44      -1.079641364299e+53       5.624160002905e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954562e-26       4.891262506135e-09       1.937400989046e+22       1.393770353203e+04       1.470727916887e-10       1.320839684324e+18       2.824091359691e-09       2.219292865953e+44       2.649474110624e+33       1.137379458305e+34       3.468038810932e-08       1.534229726263e+44       3.753522592356e+44       3.753522592356e+44       1.251174197405e+44      -1.023147863295e+53       5.735494143066e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325752e-26       4.944013198838e-09       1.896195325536e+22       1.393770353203e+04       1.486622011609e-10       1.306718037469e+18       2.854611196172e-09       2.125894587024e+44       2.565399536478e+33       1.101287505862e+34       3.468038810932e-08       1.469662125423e+44       3.595556712583e+44       3.595556712583e+44       1.198518904149e+44      -9.696104510089e+52       5.846828283226e-06       1.771498388656e+00 
       9.275182012925e+13       8.787174577795e-26       4.998582880944e-09       1.855866045755e+22       1.393770353203e+04       1.502687873144e-10       1.292747371018e+18       2.885460859266e-09       2.036426946831e+44       2.483992863101e+33       1.066340843165e+34       3.468038810932e-08       1.407811832824e+44       3.444238779787e+44       3.444238779787e+44       1.148079593218e+44      -9.188744466295e+52       5.958162423386e-06       1.738396194401e+00 
       9.176017181296e+13       8.978126095000e-26       5.051333573647e-09       1.816394510315e+22       1.393770353203e+04       1.518927357769e-10       1.278926070777e+18       2.916643913470e-09       1.950724525616e+44       2.405169431194e+33       1.032503127248e+34       3.468038810932e-08       1.348564491358e+44       3.299289017101e+44       3.299289017101e+44       1.099763005658e+44      -8.707932632018e+52       6.069496563545e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129464e-26       5.105903255753e-09       1.777762476256e+22       1.393770353203e+04       1.535342341821e-10       1.265252539810e+18       2.948163961684e-09       1.868628865258e+44       2.328847267915e+33       9.997391684009e+33       3.468038810932e-08       1.291810556602e+44       3.160439421984e+44       3.160439421984e+44       1.053479807287e+44      -8.252279841050e+52       6.180830703701e-06       1.675769387306e+00 
