# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.343633157580e-10       8.429830991477e-15       5.117582348104e-13       0.000000000000e+00       8.359201298225e-09       4.294173570003e-10      -2.641085107141e-12 
    3       1.270641292269e-10       1.086341999426e-14       5.708941252929e-13       0.000000000000e+00       5.186327895502e-09       3.074136104190e-10      -2.011348869051e-12 
    4       1.199397951700e-10       9.466937217253e-15       5.307483925340e-13       0.000000000000e+00       3.612358001828e-09       2.338654510949e-10      -1.333894470648e-12 
    5       1.145464988292e-10       6.342532758732e-15       4.473224627096e-13       0.000000000000e+00       2.697201878545e-09       1.851492192053e-10      -7.607162299474e-13 
    6       1.108542009944e-10       3.505555375907e-15       3.527940675841e-13       0.000000000000e+00       2.104825400782e-09       1.508204288069e-10      -3.343029319879e-13 
    7       1.084946171400e-10       1.799254696467e-15       2.669125552632e-13       0.000000000000e+00       1.696198890454e-09       1.255551326059e-10      -5.781445511424e-14 
    8       1.071392663599e-10       1.064727844401e-15       1.992491682260e-13       0.000000000000e+00       1.401527268828e-09       1.063418836080e-10       8.822408767278e-14 
    9       1.065390397580e-10       8.090510160537e-16       1.525974123750e-13       0.000000000000e+00       1.180723337557e-09       9.140563694040e-11       1.350154888591e-13 
   10       1.064979278777e-10       6.791026852400e-16       1.253737314826e-13       0.000000000000e+00       1.009721733297e-09       7.960339292111e-11       1.176474341312e-13 
   11       1.068845014806e-10       5.638072071364e-16       1.135199335304e-13       0.000000000000e+00       8.509682175389e-10       7.036096394362e-11       6.919523262463e-14 
