# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.747926051940e-10       4.479067937261e-15       3.223911233156e-13       0.000000000000e+00       7.250995117401e-09       6.265100781642e-10      -1.846045659945e-12 
    3       1.581910514383e-10       5.361412665098e-15       3.774357907279e-13       0.000000000000e+00       4.494739466273e-09       4.362397686646e-10      -1.343148168285e-12 
    4       1.449398166888e-10       4.260484893518e-15       3.560086695541e-13       0.000000000000e+00       3.142775817951e-09       3.266077692594e-10      -8.157127336574e-13 
    5       1.354065441694e-10       2.605047429415e-15       3.020527068421e-13       0.000000000000e+00       2.354477951394e-09       2.559894453846e-10      -3.936791560648e-13 
    6       1.287881604860e-10       1.375811985972e-15       2.412703746679e-13       0.000000000000e+00       1.843496377090e-09       2.070937594789e-10      -1.060547341581e-13 
    7       1.242733585119e-10       7.671629954637e-16       1.881974012399e-13       0.000000000000e+00       1.489240662920e-09       1.715700203551e-10       5.490856057198e-14 
    8       1.212829839549e-10       5.394063600035e-16       1.488242935533e-13       0.000000000000e+00       1.231812546790e-09       1.448620836440e-10       1.156592573360e-13 
    9       1.194081285704e-10       4.391307656857e-16       1.240207145088e-13       0.000000000000e+00       1.038161062821e-09       1.242073760579e-10       1.100867719223e-13 
   10       1.183120651299e-10       3.615413912549e-16       1.118399000968e-13       0.000000000000e+00       8.884183613594e-10       1.078252146236e-10       7.119394683863e-14 
   11       1.178368171179e-10       3.043391130812e-16       1.091218051202e-13       0.000000000000e+00       7.564974070432e-10       9.489388677805e-11       2.581575036118e-14 
   12       1.178459036791e-10       2.803014013051e-16       1.125299577746e-13       0.000000000000e+00       6.618710729852e-10       8.392105287309e-11      -1.031717201740e-14 
   13       1.182090606332e-10       2.838059600413e-16       1.192693185886e-13       0.000000000000e+00       5.840639274382e-10       7.474333822887e-11      -2.989039883507e-14 
   14       1.188394663650e-10       3.031718422077e-16       1.274884416242e-13       0.000000000000e+00       5.192210441330e-10       6.691273876674e-11      -3.352979903662e-14 
