# Matter power spectrum P(k) at redshift z=0
# for k=1.19938e-05 to 1.09719 h/Mpc,
# number of wavenumbers equal to 609
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.199380664584e-05       3.208872210883e+01 
       2.612405427697e-05       6.806986117286e+01 
       4.031577766970e-05       1.035109989324e+02 
       5.461495449830e-05       1.387839514299e+02 
       6.906849397289e-05       1.741146931433e+02 
       8.372473978422e-05       2.096809024765e+02 
       9.863399251110e-05       2.456402709198e+02 
       1.138490597016e-04       2.821424628325e+02 
       1.294258418882e-04       3.193355918052e+02 
       1.454239628174e-04       3.573703276090e+02 
       1.619074520808e-04       3.964030583755e+02 
       1.789454880147e-04       4.365984875396e+02 
       1.966132080154e-04       4.781319386672e+02 
       2.149925920766e-04       5.211918436223e+02 
       2.341734230712e-04       5.659818800732e+02 
       2.542543236615e-04       6.127233622944e+02 
       2.753438641716e-04       6.616577161910e+02 
       2.975617276043e-04       7.130486656532e+02 
       3.210399063935e-04       7.671848099777e+02 
       3.459238894970e-04       8.243818278979e+02 
       3.723737771165e-04       8.849842572600e+02 
       4.005652329151e-04       9.493670828211e+02 
       4.306901499500e-04       1.017936239734e+03 
       4.629568676581e-04       1.091128251568e+03 
       4.975897362056e-04       1.169407871148e+03 
       5.348277874886e-04       1.253264003117e+03 
       5.749222493073e-04       1.343202619315e+03 
       6.181326455445e-04       1.439736666063e+03 
       6.647212788832e-04       1.543372263233e+03 
       7.149460120023e-04       1.654591538126e+03 
       7.690514594964e-04       1.773832246741e+03 
       8.272589701168e-04       1.901465083310e+03 
       8.897560843526e-04       2.037770862499e+03 
       9.566864317967e-04       2.182919404131e+03 
       1.028141200234e-03       2.336952658857e+03 
       1.104153282102e-03       2.499774906876e+03 
       1.184694942733e-03       2.671151046686e+03 
       1.269679388025e-03       2.850714027719e+03 
       1.358966039927e-03       3.037980108049e+03 
       1.452368800551e-03       3.232371973770e+03 
       1.549666230104e-03       3.433230688090e+03 
       1.650612448131e-03       3.639846159804e+03 
       1.754947680211e-03       3.851542313110e+03 
       1.862407640492e-03       4.067617505489e+03 
       1.972731269169e-03       4.287391651159e+03 
       2.085666651173e-03       4.510218481807e+03 
       2.200975178448e-03       4.735494640387e+03 
       2.318434167539e-03       4.962663746721e+03 
       2.437838215045e-03       5.191218862265e+03 
       2.558999585809e-03       5.420701840220e+03 
       2.681747904521e-03       5.650702057379e+03 
       2.805929379072e-03       5.880853129018e+03 
       2.931405736409e-03       6.110829933715e+03 
       3.058053006684e-03       6.340344578159e+03 
       3.185760252864e-03       6.569143855009e+03 
       3.314428311940e-03       6.797003694996e+03 
       3.443968590151e-03       7.023728904367e+03 
       3.574301937243e-03       7.249147663820e+03 
       3.705357612458e-03       7.473109525254e+03 
       3.837072346588e-03       7.695483163847e+03 
       3.969389498966e-03       7.916153506546e+03 
       4.102258304916e-03       8.135020852814e+03 
       4.235633207272e-03       8.351999289596e+03 
       4.369473264704e-03       8.567013365361e+03 
       4.503741629320e-03       8.779996981721e+03 
       4.638405086188e-03       8.990895801345e+03 
       4.773433647840e-03       9.199660447373e+03 
       4.908800197344e-03       9.406251938633e+03 
