# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509103e-26       4.634785000235e-09       2.157256292817e+22       1.229558545146e+04       1.229558545146e-10       1.229558545146e+18       2.676317464512e-09       2.751560535470e+44       2.490422367464e+33       2.004564249112e+34       2.862111287081e-08       1.902194177205e+44       4.653754712900e+44       4.653754712900e+44       1.551251570892e+44      -1.338578885219e+53       3.580210472113e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208768e-26       4.685716703534e-09       2.111374631040e+22       1.229558545146e+04       1.242846332614e-10       1.216412822945e+18       2.705240316091e-09       2.635761930281e+44       2.411394910978e+33       1.940954310477e+34       2.862111287081e-08       1.822140902098e+44       4.457902832598e+44       4.457902832598e+44       1.485967610793e+44      -1.268536174653e+53       3.657177694307e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675323e-26       4.736648406833e-09       2.066468804583e+22       1.229558545146e+04       1.256277720642e-10       1.203407647132e+18       2.734475734703e-09       2.524836674885e+44       2.334875197339e+33       1.879362877507e+34       2.862111287081e-08       1.745456645219e+44       4.270293320315e+44       4.270293320315e+44       1.423431106701e+44      -1.202158531089e+53       3.734144916492e-06       1.917553041713e+00 
       9.682674483178e+13       8.063126489012e-26       4.787580110133e-09       2.022518058869e+22       1.229558545146e+04       1.269854261116e-10       1.190541515066e+18       2.764027098820e-09       2.418579675807e+44       2.260783649468e+33       1.819725897867e+34       2.862111287081e-08       1.671999622440e+44       4.090579298451e+44       4.090579298451e+44       1.363526432749e+44      -1.139254175598e+53       3.811112138672e-06       1.878827146123e+00 
       9.579152979933e+13       8.238343922741e-26       4.838511813432e-09       1.979502080737e+22       1.229558545146e+04       1.283577522691e-10       1.177812940174e+18       2.793897823432e-09       2.316794470871e+44       2.189043215469e+33       1.761981351765e+34       2.862111287081e-08       1.601634016574e+44       3.918428487643e+44       3.918428487643e+44       1.306142829148e+44      -1.079641364306e+53       3.888079360854e-06       1.841634462245e+00 
       9.476738268169e+13       8.417368954507e-26       4.891262506135e-09       1.937400989059e+22       1.229558545146e+04       1.297449090977e-10       1.165220451774e+18       2.824091359673e-09       2.219292865953e+44       2.119579288499e+33       1.706069187457e+34       2.862111287081e-08       1.534229726263e+44       3.753522592408e+44       3.753522592408e+44       1.251174197405e+44      -1.023147863302e+53       3.965046583034e-06       1.805885704714e+00 
       9.375418514718e+13       8.600284325696e-26       4.944013198838e-09       1.896195325549e+22       1.229558545146e+04       1.311470568717e-10       1.152762594909e+18       2.854611196154e-09       2.125894587024e+44       2.052319629182e+33       1.651931258793e+34       2.862111287081e-08       1.469662125423e+44       3.595556712633e+44       3.595556712633e+44       1.198518904149e+44      -9.696104510156e+52       4.042013805213e-06       1.771498388656e+00 
       9.275182012925e+13       8.787174577738e-26       4.998582880944e-09       1.855866045768e+22       1.229558545146e+04       1.325643575978e-10       1.140437930178e+18       2.885460859247e-09       2.036426946831e+44       1.987194290481e+33       1.599511264747e+34       2.862111287081e-08       1.407811832824e+44       3.444238779835e+44       3.444238779835e+44       1.148079593218e+44      -9.188744466359e+52       4.118981027392e-06       1.738396194401e+00 
       9.176017181296e+13       8.978126094941e-26       5.051333573647e-09       1.816394510327e+22       1.229558545146e+04       1.339969750332e-10       1.128245033567e+18       2.916643913451e-09       1.950724525616e+44       1.924135544956e+33       1.548754690873e+34       2.862111287081e-08       1.348564491358e+44       3.299289017148e+44       3.299289017148e+44       1.099763005658e+44      -8.707932632080e+52       4.195948249571e-06       1.706508402068e+00 
       9.077912562158e+13       9.173227129404e-26       5.105903255753e-09       1.777762476269e+22       1.229558545146e+04       1.354450747049e-10       1.116182496289e+18       2.948163961665e-09       1.868628865258e+44       1.863077814332e+33       1.499608752601e+34       2.862111287081e-08       1.291810556602e+44       3.160439422029e+44       3.160439422029e+44       1.053479807287e+44      -8.252279841109e+52       4.272915471747e-06       1.675769387307e+00 
