# Matter power spectrum P(k) at redshift z=0
# for k=1.0257e-05 to 1.08628 h/Mpc,
# number of wavenumbers equal to 607
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.025698909361e-05       5.062201939081e+01 
       2.272708910333e-05       1.091762242786e+02 
       3.523864658502e-05       1.667739884407e+02 
       4.782320808485e-05       2.239922996074e+02 
       6.051281234780e-05       2.811613644187e+02 
       7.334025812939e-05       3.385291016444e+02 
       8.633938009187e-05       3.963075559652e+02 
       9.954533624006e-05       4.546918938263e+02 
       1.129949103792e-04       5.138701296684e+02 
       1.267268331078e-04       5.740289536339e+02 
       1.407821248725e-04       6.353577859302e+02 
       1.552044645835e-04       6.980518658301e+02 
       1.700405871815e-04       7.623148322990e+02 
       1.853407133139e-04       8.283612263432e+02 
       2.011590138492e-04       8.964185456277e+02 
       2.175541112527e-04       9.667296776189e+02 
       2.345896187477e-04       1.039554960105e+03 
       2.523347165472e-04       1.115174528044e+03 
       2.708647620815e-04       1.193890421638e+03 
       2.902619278451e-04       1.276028985300e+03 
       3.106158559730e-04       1.361943099430e+03 
       3.320243126502e-04       1.452013919001e+03 
       3.545938176572e-04       1.546652997498e+03 
       3.784402145120e-04       1.646303425734e+03 
       4.036891346582e-04       1.751440654771e+03 
       4.304762950999e-04       1.862572415476e+03 
       4.589475533536e-04       1.980237220199e+03 
       4.892586278164e-04       2.105001636701e+03 
       5.215743777818e-04       2.237455280107e+03 
       5.560675287221e-04       2.378203591325e+03 
       5.929167296609e-04       2.527857686926e+03 
       6.323038460816e-04       2.687021356211e+03 
       6.744104296599e-04       2.856274403321e+03 
       7.194133696292e-04       3.036153927371e+03 
       7.674798206679e-04       3.227132232454e+03 
       8.187616134288e-04       3.429593996727e+03 
       8.733894725587e-04       3.643813548132e+03 
       9.314674712401e-04       3.869934050539e+03 
       9.930682138464e-04       4.107950973986e+03 
       1.058229234069e-03       4.357701609321e+03 
       1.126951010764e-03       4.618862086138e+03 
       1.199196842640e-03       4.890952869331e+03 
       1.274894611737e-03       5.173352521212e+03 
       1.353940246041e-03       5.465317231252e+03 
       1.436202508230e-03       5.766007849378e+03 
       1.521528624594e-03       6.074515940391e+03 
       1.609750239581e-03       6.389883570951e+03 
       1.700689229373e-03       6.711138841649e+03 
       1.794163009209e-03       7.037343725431e+03 
       1.889989094385e-03       7.367569761506e+03 
       1.987988797735e-03       7.700931599792e+03 
       2.087990049051e-03       8.036594877889e+03 
       2.189829395801e-03       8.373785092610e+03 
       2.293353289347e-03       8.711790310969e+03 
       2.398418780941e-03       9.049961859819e+03 
       2.504893753691e-03       9.387712966304e+03 
       2.612656806996e-03       9.724517249944e+03 
       2.721596894054e-03       1.005990477341e+04 
       2.831612795059e-03       1.039345743540e+04 
       2.942612491026e-03       1.072480653938e+04 
       3.054512487449e-03       1.105362766431e+04 
       3.167237123621e-03       1.137963459289e+04 
       3.280717892714e-03       1.170258024830e+04 
       3.394892789309e-03       1.202224804943e+04 
       3.509705694753e-03       1.233845018131e+04 
       3.625105806018e-03       1.265102754133e+04 
       3.741047110500e-03       1.295984091432e+04 
       3.857487906831e-03       1.326477578730e+04 
       3.974390370318e-03       1.356572897250e+04 
       4.091720160666e-03       1.386262443184e+04 
       4.209446069077e-03       1.415539312231e+04 
       4.327539701613e-03       1.444398001391e+04 
       4.445975195604e-03       1.472834436827e+04 
       4.564728965993e-03       1.500845207712e+04 
       4.683779478629e-03       1.528424377431e+04 
       4.803107047747e-03       1.555575414943e+04 
       4.922693655058e-03       1.582298419644e+04 
       5.042522788134e-03       1.608589877350e+04 
       5.162579295974e-03       1.634445431324e+04 
       5.282849259860e-03       1.659884776157e+04 
       5.403319877797e-03       1.684894321536e+04 
       5.523979361046e-03       1.709475249367e+04 
       5.644816841386e-03       1.733631266525e+04 
       5.765822287925e-03       1.757290622077e+04 
       5.886986432395e-03       1.780602534897e+04 
       6.008300701999e-03       1.803491892035e+04 
       6.129757158981e-03       1.825979494936e+04 
       6.251348446181e-03       1.848067428681e+04 
       6.373067737931e-03       1.869774433473e+04 
       6.494908695715e-03       1.891010398241e+04 
       6.616865428085e-03       1.911871614019e+04 
       6.738932454386e-03       1.932328387606e+04 
       6.861104671881e-03       1.952398013032e+04 
       6.983377325935e-03       1.972076683575e+04 
       7.105745982933e-03       1.991361180060e+04 
       7.228206505660e-03       2.010271963682e+04 
       7.350755030892e-03       2.028788236429e+04 
       7.473387948970e-03       2.046945237265e+04 
       7.596101885179e-03       2.064788164868e+04 
       7.718893682735e-03       2.082206153315e+04 
       7.841760387235e-03       2.099260481095e+04 
       7.964699232429e-03       2.115953983556e+04 
       8.087707627191e-03       2.132300446479e+04 
       8.210783143564e-03       2.148292009998e+04 
       8.333923505797e-03       2.163936097748e+04 
       8.457126580271e-03       2.179237122192e+04 
       8.580390366234e-03       2.194199149282e+04 
       8.703712987279e-03       2.208826693536e+04 
       8.827092683494e-03       2.223116708031e+04 
       8.950527804221e-03       2.237083447423e+04 
       9.074016801381e-03       2.250724762575e+04 
       9.197558223313e-03       2.264049666158e+04 
       9.321150709069e-03       2.277055601728e+04 
       9.444792983156e-03       2.289749715148e+04 
       9.568483850657e-03       2.302132834693e+04 
       9.692222192718e-03       2.314211682173e+04 
       9.816006962371e-03       2.325995817603e+04 
       9.939837180655e-03       2.337466081267e+04 
       1.006371193302e-02       2.348649034269e+04 
       1.018763036600e-02       2.359542032204e+04 
       1.031159168408e-02       2.370142435519e+04 
       1.043559514689e-02       2.380472050584e+04 
       1.055964006643e-02       2.390503827516e+04 
       1.068372580468e-02       2.400263828663e+04 
       1.080785177121e-02       2.409748692773e+04 
       1.093201742109e-02       2.418964296345e+04 
       1.105622225285e-02       2.427920690039e+04 
       1.118046580662e-02       2.436592922082e+04 
       1.130474766240e-02       2.445017583236e+04 
       1.142906743845e-02       2.453177737531e+04 
       1.155342478981e-02       2.461086143784e+04 
       1.167781940683e-02       2.468742459510e+04 
       1.180225101394e-02       2.476149808920e+04 
       1.192671936841e-02       2.483314458738e+04 
       1.205122425923e-02       2.490230274072e+04 
       1.217576550604e-02       2.496908788945e+04 
       1.230034295819e-02       2.503353411339e+04 
       1.242495649382e-02       2.509558402391e+04 
       1.254960601901e-02       2.515540974439e+04 
       1.267429146702e-02       2.521285063972e+04 
       1.279901279758e-02       2.526812197437e+04 
       1.292376999617e-02       2.532114188900e+04 
       1.304856307347e-02       2.537199692767e+04 
       1.317339206477e-02       2.542064283163e+04 
       1.329825702943e-02       2.546724702408e+04 
       1.342315805042e-02       2.551163671116e+04 
       1.354809523388e-02       2.555388622339e+04 
       1.367306870872e-02       2.559412181958e+04 
