# Matter power spectrum P(k) at redshift z=0
# for k=1.12443e-05 to 1.01478 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.124425765842e-05       3.871773525639e+01 
       2.475553875765e-05       8.298731907169e+01 
       3.831991898183e-05       1.265654509368e+02 
       5.197756575480e-05       1.699034713049e+02 
       6.576938489383e-05       2.132689033994e+02 
       7.973742177080e-05       2.568683856244e+02 
       9.392527664087e-05       3.008827841305e+02 
       1.083785401631e-04       3.454818128868e+02 
       1.231452551792e-04       3.908317441465e+02 
       1.382764108495e-04       4.371002424570e+02 
       1.538264752203e-04       4.844598766264e+02 
       1.698539721463e-04       5.330909158170e+02 
       1.864221081149e-04       5.831838967350e+02 
       2.035994537973e-04       6.349419963399e+02 
       2.214606838880e-04       6.885833614650e+02 
       2.400873767694e-04       7.443435327931e+02 
       2.595688724243e-04       8.024777579456e+02 
       2.800031824317e-04       8.632634746015e+02 
       3.014979393117e-04       9.270026883443e+02 
       3.241713633755e-04       9.940243923903e+02 
       3.481532129362e-04       1.064686647221e+03 
       3.735856676487e-04       1.139378422344e+03 
       4.006240744385e-04       1.218520880645e+03 
       4.294374609418e-04       1.302567850078e+03 
       4.602086934233e-04       1.392004866618e+03 
       4.931341269332e-04       1.487346933620e+03 
       5.284225691567e-04       1.589133906951e+03 
       5.662933627607e-04       1.697923252109e+03 
       6.069733936751e-04       1.814279717772e+03 
       6.506928666030e-04       1.938761616352e+03 
       6.976797663480e-04       2.071903337366e+03 
       7.481530527978e-04       2.214194941784e+03 
       8.023148175124e-04       2.366059035762e+03 
       8.603418438401e-04       2.527827243979e+03 
       9.223772236463e-04       2.699716871248e+03 
       9.885228387180e-04       2.881812485388e+03 
       1.058833556274e-03       3.074051872245e+03 
       1.133313875125e-03       3.276220401282e+03 
       1.211917489523e-03       3.487955134110e+03 
       1.294549857733e-03       3.708756067043e+03 
       1.381073456916e-03       3.938006795040e+03 
       1.471315070420e-03       4.174980364403e+03 
       1.565074260184e-03       4.418898117859e+03 
       1.662132150789e-03       4.668973738190e+03 
       1.762259769828e-03       4.924389189040e+03 
       1.865225396751e-03       5.184336670700e+03 
       1.970800606982e-03       5.448036903249e+03 
       2.078764910024e-03       5.714751398367e+03 
       2.188909040782e-03       5.983790709713e+03 
       2.301037064756e-03       6.254519324062e+03 
       2.414967506269e-03       6.526357476664e+03 
       2.530533717923e-03       6.798781260396e+03 
       2.647583693284e-03       7.071320185457e+03 
       2.765979495510e-03       7.343553229050e+03 
       2.885596441093e-03       7.615107453166e+03 
       3.006322145420e-03       7.885652509384e+03 
       3.128055508440e-03       8.154896621794e+03 
       3.250705695298e-03       8.422583626691e+03 
       3.374191148554e-03       8.688489369996e+03 
       3.498438654762e-03       8.952416378992e+03 
       3.623382478213e-03       9.214193999594e+03 
       3.748963567589e-03       9.473672127800e+03 
       3.875128836516e-03       9.730722506045e+03 
       4.001830515915e-03       9.985231734194e+03 
       4.129025574174e-03       1.023710468751e+04 
       4.256675200146e-03       1.048625746609e+04 
       4.384744343496e-03       1.073262100834e+04 
       4.513201306887e-03       1.097613412263e+04 
       4.642017384641e-03       1.121675029059e+04 
       4.771166542824e-03       1.145442531091e+04 
       4.900625136109e-03       1.168912542069e+04 
       5.030371657183e-03       1.192082644367e+04 
       5.160386514881e-03       1.214950332882e+04 
       5.290651837651e-03       1.237515876564e+04 
       5.421151299325e-03       1.259774602225e+04 
       5.551869964531e-03       1.281724063187e+04 
       5.682794151381e-03       1.303373903828e+04 
       5.813911309388e-03       1.324683553145e+04 
       5.945209910772e-03       1.345708096483e+04 
       6.076679353580e-03       1.366426259973e+04 
       6.208309875227e-03       1.386850291572e+04 
       6.340092475217e-03       1.406973360415e+04 
       6.472018846003e-03       1.426793385452e+04 
       6.604081311020e-03       1.446309289316e+04 
       6.736272769087e-03       1.465531298050e+04 
       6.868586644449e-03       1.484476223239e+04 
       7.001016841832e-03       1.503108625543e+04 
       7.133557705942e-03       1.521452332248e+04 
       7.266203984934e-03       1.539487204054e+04 
       7.398950797407e-03       1.557227012868e+04 
       7.531793602553e-03       1.574686436059e+04 
       7.664728173121e-03       1.591856150994e+04 
       7.797750570897e-03       1.608748651964e+04 
       7.930857124451e-03       1.625349424628e+04 
       8.064044408891e-03       1.641651809595e+04 
       8.197309227456e-03       1.657711094176e+04 
       8.330648594728e-03       1.673479943873e+04 
       8.464059721328e-03       1.689014925826e+04 
       8.597539999933e-03       1.704238077223e+04 
       8.731086992495e-03       1.719192921813e+04 
       8.864698418550e-03       1.733882064123e+04 
       8.998372144494e-03       1.748305389615e+04 
       9.132106173759e-03       1.762467115586e+04 
       9.265898637798e-03       1.776368837583e+04 
       9.399747787788e-03       1.790012486501e+04 
       9.533651987014e-03       1.803400832129e+04 
       9.667609703855e-03       1.816537650257e+04 
       9.801619505315e-03       1.829417273996e+04 
       9.935680051072e-03       1.842056875757e+04 
       1.006979008797e-02       1.854447160987e+04 
       1.020394844497e-02       1.866590609529e+04 
       1.033815402841e-02       1.878495540543e+04 
       1.047240581771e-02       1.890160111564e+04 
       1.060670286135e-02       1.901588233431e+04 
       1.074104427315e-02       1.912783981824e+04 
       1.087542922880e-02       1.923748090033e+04 
       1.100985696275e-02       1.934473205242e+04 
       1.114432676514e-02       1.944975422099e+04 
       1.127883797916e-02       1.955251234043e+04 
       1.141338999844e-02       1.965309604517e+04 
       1.154798226469e-02       1.975137341105e+04 
       1.168261426554e-02       1.984751698599e+04 
       1.181728553246e-02       1.994141754835e+04 
       1.195199563889e-02       2.003316589802e+04 
       1.208674419848e-02       2.012283481452e+04 
       1.222153086343e-02       2.021038044544e+04 
       1.235635532299e-02       2.029589890860e+04 
       1.249121730203e-02       2.037920780460e+04 
       1.262611655976e-02       2.046055948677e+04 
       1.276105288847e-02       2.053986390393e+04 
       1.289602611243e-02       2.061723578427e+04 
       1.303103608683e-02       2.069247346000e+04 
       1.316608269679e-02       2.076582189147e+04 
       1.330116585649e-02       2.083729628209e+04 
       1.343628550829e-02       2.090669893588e+04 
       1.357144162202e-02       2.097422224641e+04 
       1.370663419420e-02       2.103990070945e+04 
       1.384186324741e-02       2.110374525530e+04 
       1.397712882972e-02       2.116576900980e+04 
       1.411243101405e-02       2.122589583234e+04 
       1.424776989774e-02       2.128413336654e+04 
       1.438314560204e-02       2.134066661577e+04 
       1.451855827171e-02       2.139541574784e+04 
       1.465400807458e-02       2.144849558880e+04 
       1.478949520128e-02       2.149970008294e+04 
       1.492501986488e-02       2.154927179266e+04 
       1.506058230061e-02       2.159708278492e+04 
       1.519618276561e-02       2.164320147856e+04 
       1.533182153876e-02       2.168777795749e+04 
       1.546749892043e-02       2.173055620671e+04 
       1.560321523235e-02       2.177182303464e+04 
       1.573897081748e-02       2.181135979102e+04 
       1.587476603991e-02       2.184938701347e+04 
       1.601060128475e-02       2.188519475713e+04 
       1.614647695809e-02       2.192079918551e+04 
       1.628239348699e-02       2.195413610091e+04 
       1.641835131942e-02       2.198595502407e+04 
       1.655435092430e-02       2.201619796892e+04 
       1.669039279152e-02       2.204501865031e+04 
       1.682647743201e-02       2.207176870889e+04 
       1.696260537777e-02       2.209747480953e+04 
       1.709877718200e-02       2.212270423725e+04 
       1.723499341920e-02       2.214517138152e+04 
       1.737125468530e-02       2.216738246033e+04 
       1.750756159777e-02       2.218757476241e+04 
       1.764391479584e-02       2.220644086437e+04 
       1.778031494065e-02       2.222405034364e+04 
       1.791676271546e-02       2.224009137091e+04 
       1.805325882585e-02       2.225496835559e+04 
       1.818980399999e-02       2.226844136237e+04 
       1.832639898886e-02       2.228080938807e+04 
       1.846304456650e-02       2.229176077260e+04 
       1.859974153038e-02       2.230077345994e+04 
       1.873649070158e-02       2.230980868886e+04 
       1.887329292524e-02       2.231641181294e+04 
       1.901014907077e-02       2.232213003945e+04 
       1.914706003230e-02       2.232789677311e+04 
       1.928402672900e-02       2.233151553170e+04 
       1.942105010549e-02       2.233394582702e+04 
       1.955813113222e-02       2.233519887535e+04 
       1.969527080591e-02       2.233525545962e+04 
       1.983247015000e-02       2.233426126511e+04 
       1.996973021507e-02       2.233217168214e+04 
       2.010705207935e-02       2.232832753094e+04 
       2.024443684919e-02       2.232398410607e+04 
       2.038188565961e-02       2.231865138743e+04 
       2.051939967476e-02       2.231272715687e+04 
       2.065698008856e-02       2.230514021790e+04 
       2.079462812517e-02       2.229643373373e+04 
       2.093234503968e-02       2.228720571863e+04 
       2.107013211865e-02       2.227709259414e+04 
       2.120799068074e-02       2.226499866709e+04 
       2.134592207741e-02       2.225260136220e+04 
       2.148392769355e-02       2.223914117202e+04 
       2.162200894820e-02       2.222554706594e+04 
       2.176016729523e-02       2.220954248918e+04 
       2.189840422414e-02       2.219337862799e+04 
       2.203672126075e-02       2.217635204876e+04 
       2.217511996806e-02       2.215830205464e+04 
       2.231360194701e-02       2.213948404754e+04 
       2.245216883736e-02       2.211972463964e+04 
       2.259082231852e-02       2.209912954964e+04 
       2.272956411046e-02       2.207781991133e+04 
       2.286839597463e-02       2.205555232801e+04 
       2.300731971490e-02       2.203243875892e+04 
       2.314633717855e-02       2.200853744939e+04 
       2.328545025727e-02       2.198446159469e+04 
       2.342466088822e-02       2.195852415969e+04 
       2.356397105505e-02       2.193237651530e+04 
       2.370338278909e-02       2.190541217123e+04 
       2.384289817039e-02       2.187814285985e+04 
       2.398251932898e-02       2.184974178914e+04 
       2.412224844605e-02       2.182043364175e+04 
       2.426208775517e-02       2.179078404305e+04 
       2.440203954365e-02       2.176023158707e+04 
       2.454210615378e-02       2.172851251501e+04 
       2.468228998429e-02       2.169657069301e+04 
       2.482259349170e-02       2.166420794687e+04 
       2.496301919180e-02       2.163136890711e+04 
       2.510356966117e-02       2.159757280473e+04 
       2.524424753871e-02       2.156260976171e+04 
       2.538505552726e-02       2.152799977156e+04 
       2.552599639524e-02       2.149229735769e+04 
       2.566707297837e-02       2.145560209443e+04 
       2.580828818144e-02       2.141882045549e+04 
       2.594964498008e-02       2.138177808974e+04 
       2.609114642272e-02       2.134346698995e+04 
       2.623279563247e-02       2.130480869132e+04 
       2.637459580913e-02       2.126580484529e+04 
       2.651655023131e-02       2.122611724520e+04 
       2.665866225850e-02       2.118605598790e+04 
       2.680093533333e-02       2.114546039531e+04 
       2.694337298387e-02       2.110432226147e+04 
       2.708597882592e-02       2.106266864739e+04 
       2.722875656556e-02       2.102062963573e+04 
       2.737171000158e-02       2.097789827610e+04 
       2.751484302815e-02       2.093523653243e+04 
       2.765815963754e-02       2.089158153878e+04 
       2.780166392286e-02       2.084775943565e+04 
       2.794536008102e-02       2.080301667223e+04 
       2.808925241570e-02       2.075839062231e+04 
       2.823334534049e-02       2.071308032815e+04 
       2.837764338204e-02       2.066739322247e+04 
       2.852215118350e-02       2.062149256306e+04 
       2.866687350788e-02       2.057506598731e+04 
       2.881181524171e-02       2.052822083289e+04 
       2.895698139869e-02       2.048089916534e+04 
       2.910237712361e-02       2.043339201972e+04 
       2.924800769630e-02       2.038540176068e+04 
       2.939387853578e-02       2.033718196976e+04 
       2.953999520461e-02       2.028847524675e+04 
       2.968636341332e-02       2.023956167489e+04 
       2.983298902505e-02       2.019024983264e+04 
       2.997987806040e-02       2.014066359463e+04 
       3.012703670242e-02       2.009072731710e+04 
       3.027447130183e-02       2.004047352518e+04 
       3.042218838243e-02       1.998999289543e+04 
       3.057019464671e-02       1.993943462416e+04 
       3.071849698176e-02       1.988806797705e+04 
       3.086710246533e-02       1.983672779499e+04 
       3.101601837216e-02       1.978503403929e+04 
       3.116525218063e-02       1.973312637544e+04 
       3.131481157962e-02       1.968098487550e+04 
       3.146470447570e-02       1.962848973317e+04 
       3.161493900057e-02       1.957589755788e+04 
       3.176552351891e-02       1.952297762950e+04 
       3.191646663646e-02       1.946981717794e+04 
       3.206777720855e-02       1.941646945674e+04 
       3.221946434892e-02       1.936279804698e+04 
       3.237153743900e-02       1.930903603113e+04 
       3.252400613755e-02       1.925502147075e+04 
       3.267688039078e-02       1.920082871279e+04 
       3.283017044288e-02       1.914638310991e+04 
       3.298388684708e-02       1.909177082848e+04 
       3.313804047721e-02       1.903707774461e+04 
       3.329264253976e-02       1.898195683200e+04 
       3.344770458657e-02       1.892677789033e+04 
       3.360323852806e-02       1.887137942067e+04 
       3.375925664718e-02       1.881593974582e+04 
       3.391577161395e-02       1.876025732472e+04 
       3.407279650077e-02       1.870435013734e+04 
       3.423034479842e-02       1.864846969674e+04 
       3.438843043299e-02       1.859233941592e+04 
       3.454706778351e-02       1.853594314731e+04 
       3.470627170055e-02       1.847946906013e+04 
       3.486605752585e-02       1.842295330662e+04 
       3.502644111281e-02       1.836621413755e+04 
       3.518743884820e-02       1.830933777408e+04 
       3.534906767493e-02       1.825231345316e+04 
       3.551134511614e-02       1.819498437818e+04 
       3.567428930048e-02       1.813777873823e+04 
       3.583791898884e-02       1.808041451547e+04 
       3.600225360261e-02       1.802301743734e+04 
       3.616731325342e-02       1.796524403636e+04 
       3.633311877462e-02       1.790740216449e+04 
       3.649969175457e-02       1.784954324308e+04 
       3.666705457187e-02       1.779162632895e+04 
       3.683523043261e-02       1.773346941274e+04 
       3.700424340985e-02       1.767545706417e+04 
       3.717411848550e-02       1.761707723020e+04 
       3.734488159471e-02       1.755852570106e+04 
       3.751655967297e-02       1.750002234430e+04 
       3.768918070620e-02       1.744143130373e+04 
       3.786277378393e-02       1.738263325062e+04 
       3.803736915593e-02       1.732377503256e+04 
       3.821299829240e-02       1.726484542845e+04 
       3.838969394823e-02       1.720585185346e+04 
       3.856749023138e-02       1.714661709577e+04 
       3.874642267592e-02       1.708739342863e+04 
       3.892652832002e-02       1.702803746242e+04 
       3.910784578930e-02       1.696862366420e+04 
       3.929041538596e-02       1.690895671613e+04 
       3.947427918430e-02       1.684924637961e+04 
       3.965948113300e-02       1.678956974235e+04 
       3.984606716486e-02       1.672955520877e+04 
       4.003408531464e-02       1.666949412688e+04 
       4.022358584570e-02       1.660935598277e+04 
       4.041462138626e-02       1.654908998904e+04 
       4.060724707610e-02       1.648875891750e+04 
       4.080152072479e-02       1.642823044213e+04 
       4.099750298239e-02       1.636760292591e+04 
       4.119525752395e-02       1.630683773157e+04 
       4.139485124905e-02       1.624588756588e+04 
       4.159635449794e-02       1.618481597413e+04 
       4.179984128591e-02       1.612374399551e+04 
       4.200538955771e-02       1.606233384111e+04 
       4.221308146423e-02       1.600079162489e+04 
       4.242300366361e-02       1.593916495715e+04 
       4.263524764951e-02       1.587724509018e+04 
       4.284991010948e-02       1.581514446591e+04 
       4.306709331677e-02       1.575309938359e+04 
       4.328690555927e-02       1.569066850453e+04 
       4.350946160994e-02       1.562812931365e+04 
       4.373488324358e-02       1.556528134794e+04 
       4.396329980530e-02       1.550221234181e+04 
       4.419484883715e-02       1.543896642108e+04 
       4.442967676999e-02       1.537534575156e+04 
       4.466793968872e-02       1.531159934408e+04 
       4.490980418052e-02       1.524768226300e+04 
       4.515544827672e-02       1.518317474085e+04 
       4.540506250088e-02       1.511860541052e+04 
       4.565885103760e-02       1.505354460624e+04 
       4.591703303882e-02       1.498825616296e+04 
       4.617984408704e-02       1.492255943414e+04 
       4.644753783841e-02       1.485652151326e+04 
       4.672038787216e-02       1.479005917493e+04 
       4.699868977786e-02       1.472330545980e+04 
       4.728276351721e-02       1.465595970532e+04 
       4.757295610401e-02       1.458810518396e+04 
       4.786964465396e-02       1.451961672801e+04 
       4.817323986582e-02       1.445073365927e+04 
       4.848419000728e-02       1.438137493689e+04 
       4.880298549381e-02       1.431142523921e+04 
       4.913016416638e-02       1.424067245864e+04 
       4.946631739636e-02       1.416912396239e+04 
       4.981209717320e-02       1.409670400126e+04 
       5.016822436450e-02       1.402353856282e+04 
       5.053549838075e-02       1.394979745437e+04 
       5.091480853021e-02       1.387465567372e+04 
       5.130714741645e-02       1.379867705033e+04 
       5.171362681574e-02       1.372191563251e+04 
       5.213549657895e-02       1.364309232001e+04 
       5.257416723868e-02       1.356342747993e+04 
       5.303123717650e-02       1.348222294629e+04 
       5.350852542620e-02       1.339945435575e+04 
       5.400811147135e-02       1.331466532573e+04 
       5.453238375369e-02       1.322811067836e+04 
       5.508409906033e-02       1.313959390861e+04 
       5.566645551999e-02       1.304782231617e+04 
       5.628318262093e-02       1.295416958552e+04 
       5.693865245839e-02       1.285696790589e+04 
       5.763801727089e-02       1.275576370741e+04 
       5.838737907629e-02       1.265063159383e+04 
       5.919399750175e-02       1.254055978639e+04 
       6.006654093258e-02       1.242488575706e+04 
       6.101538230443e-02       1.230235929730e+04 
       6.205293121870e-02       1.217133052432e+04 
       6.319397316771e-02       1.203073854340e+04 
       6.445594571370e-02       1.187757622384e+04 
       6.585900862574e-02       1.170865349159e+04 
       6.742565147022e-02       1.152085207270e+04 
       6.917944416289e-02       1.130900565807e+04 
       7.114246464442e-02       1.106749025901e+04 
       7.333116009063e-02       1.079043953468e+04 
       7.575121684610e-02       1.047316932724e+04 
       7.839336971220e-02       1.011210436416e+04 
       8.123287965718e-02       9.709571374689e+03 
       8.423401978020e-02       9.273489438291e+03 
       8.735768186243e-02       8.816403962315e+03 
       9.056829439567e-02       8.352934952664e+03 
       9.383753321131e-02       7.899693170859e+03 
       9.714487120805e-02       7.470488825683e+03 
       1.004763574718e-01       7.076352262676e+03 
       1.038229031596e-01       6.724036648822e+03 
       1.071787452045e-01       6.416421190781e+03 
       1.105402908968e-01       6.152763448265e+03 
       1.139053239053e-01       5.929109030095e+03 
       1.172724856868e-01       5.739403874163e+03 
       1.206409466631e-01       5.575687587825e+03 
       1.240102013652e-01       5.430100137064e+03 
       1.273799421480e-01       5.293980408554e+03 
       1.307499818345e-01       5.160479806417e+03 
       1.341202065121e-01       5.023151153243e+03 
       1.374905467940e-01       4.878555090176e+03 
       1.408609603466e-01       4.724800897752e+03 
       1.442314212751e-01       4.561876383868e+03 
       1.476019136770e-01       4.391823270856e+03 
       1.509724277288e-01       4.217808472963e+03 
       1.543429573093e-01       4.044238321626e+03 
       1.577134985569e-01       3.875000872014e+03 
       1.610840489921e-01       3.713979972798e+03 
       1.644546069853e-01       3.564286517855e+03 
       1.678251714316e-01       3.428207630141e+03 
       1.711957415535e-01       3.306778566267e+03 
       1.745663167802e-01       3.199969863643e+03 
       1.779368966735e-01       3.106884853236e+03 
       1.813074808823e-01       3.025667959013e+03 
       1.846780691143e-01       2.954031973992e+03 
       1.880486611184e-01       2.889456710008e+03 
       1.914192566738e-01       2.829282173656e+03 
       1.947898555825e-01       2.771131157368e+03 
       1.981604576644e-01       2.712892948538e+03 
       2.015310627547e-01       2.652676454496e+03 
       2.049016707008e-01       2.589487219720e+03 
       2.082722813614e-01       2.522791597753e+03 
       2.116428946047e-01       2.453172146462e+03 
       2.150135103078e-01       2.381413891160e+03 
       2.183841283555e-01       2.308750327150e+03 
       2.217547486398e-01       2.236615453238e+03 
       2.251253710595e-01       2.166513339050e+03 
       2.284959955191e-01       2.099492494261e+03 
       2.318666219292e-01       2.036496446009e+03 
       2.352372502052e-01       1.978128479547e+03 
       2.386078802674e-01       1.924571133754e+03 
       2.419785120407e-01       1.875892429832e+03 
       2.453491454541e-01       1.831883213874e+03 
       2.487197804405e-01       1.791972007712e+03 
       2.520904169363e-01       1.755441146660e+03 
       2.554610548814e-01       1.721471482837e+03 
       2.588316942188e-01       1.689203201415e+03 
       2.622023348944e-01       1.657732708237e+03 
       2.655729768571e-01       1.626451944568e+03 
       2.689436200581e-01       1.594726220237e+03 
       2.723142644511e-01       1.562439867688e+03 
       2.756849099921e-01       1.529275886995e+03 
       2.790555566394e-01       1.495489385122e+03 
       2.824262043530e-01       1.461233708133e+03 
       2.857968530950e-01       1.426722269008e+03 
       2.891675028293e-01       1.392473205231e+03 
       2.925381535213e-01       1.358835663111e+03 
       2.959088051381e-01       1.326229329929e+03 
       2.992794576484e-01       1.295096681614e+03 
       3.026501110220e-01       1.265625244087e+03 
       3.060207652304e-01       1.237972016812e+03 
       3.093914202460e-01       1.212190272014e+03 
       3.127620760426e-01       1.188109370299e+03 
       3.161327325952e-01       1.165544881522e+03 
       3.195033898797e-01       1.144268992582e+03 
       3.228740478729e-01       1.124058224465e+03 
       3.262447065530e-01       1.104629137229e+03 
       3.296153658986e-01       1.085741055162e+03 
       3.329860258894e-01       1.067115415741e+03 
       3.363566865061e-01       1.048602965258e+03 
       3.397273477298e-01       1.030115998070e+03 
       3.430980095425e-01       1.011504836102e+03 
       3.464686719270e-01       9.928036529683e+02 
       3.498393348668e-01       9.740423980925e+02 
       3.532099983457e-01       9.554124421052e+02 
       3.565806623485e-01       9.369359178219e+02 
       3.599513268604e-01       9.188268229652e+02 
       3.633219918671e-01       9.011608438730e+02 
       3.666926573549e-01       8.840300010454e+02 
       3.700633233107e-01       8.675328659738e+02 
       3.734339897216e-01       8.516743660100e+02 
       3.768046565755e-01       8.365230836909e+02 
       3.801753238605e-01       8.220615943267e+02 
       3.835459915651e-01       8.082355407297e+02 
       3.869166596784e-01       7.950160907840e+02 
       3.902873281897e-01       7.822666046929e+02 
       3.936579970888e-01       7.699198360026e+02 
       3.970286663657e-01       7.578914326843e+02 
       4.003993360109e-01       7.460420705557e+02 
       4.037700060151e-01       7.343824438429e+02 
       4.071406763693e-01       7.228527510296e+02 
       4.105113470649e-01       7.114179133861e+02 
       4.138820180935e-01       7.000904353476e+02 
       4.172526894470e-01       6.888577983816e+02 
       4.206233611176e-01       6.777225301112e+02 
       4.239940330977e-01       6.667493871314e+02 
       4.273647053799e-01       6.559535199862e+02 
       4.307353779571e-01       6.453634960417e+02 
       4.341060508224e-01       6.350283162534e+02 
       4.374767239691e-01       6.249563403031e+02 
       4.408473973908e-01       6.151708301237e+02 
       4.442180710811e-01       6.056774617649e+02 
       4.475887450340e-01       5.964806217795e+02 
       4.509594192435e-01       5.875553722790e+02 
       4.543300937040e-01       5.788865787038e+02 
       4.577007684098e-01       5.704547521808e+02 
       4.610714433556e-01       5.622419744973e+02 
       4.644421185361e-01       5.542331343862e+02 
       4.678127939462e-01       5.463938642732e+02 
       4.711834695810e-01       5.386950657228e+02 
       4.745541454356e-01       5.311300641293e+02 
       4.779248215055e-01       5.236778866589e+02 
       4.812954977861e-01       5.163205190436e+02 
       4.846661742729e-01       5.090575254426e+02 
       4.880368509616e-01       5.018922845975e+02 
       4.914075278482e-01       4.948319405644e+02 
       4.947782049285e-01       4.878773890419e+02 
       4.981488821986e-01       4.810493944443e+02 
       5.015195596547e-01       4.743439231196e+02 
       5.048902372929e-01       4.677607255272e+02 
       5.082609151098e-01       4.613080974056e+02 
       5.116315931017e-01       4.549973072578e+02 
       5.150022712652e-01       4.488315701160e+02 
       5.183729495969e-01       4.428170843091e+02 
       5.217436280936e-01       4.369497334155e+02 
       5.251143067521e-01       4.312221827432e+02 
       5.284849855693e-01       4.256172705199e+02 
       5.318556645420e-01       4.201245370696e+02 
       5.352263436675e-01       4.147364699258e+02 
       5.385970229428e-01       4.094417024558e+02 
       5.419677023652e-01       4.042350760498e+02 
       5.453383819318e-01       3.991161163986e+02 
       5.487090616400e-01       3.940707723237e+02 
       5.520797414872e-01       3.891059597509e+02 
       5.554504214709e-01       3.842108902871e+02 
       5.588211015886e-01       3.793838892907e+02 
       5.621917818379e-01       3.746326440380e+02 
       5.655624622164e-01       3.699496209837e+02 
       5.689331427218e-01       3.653485164408e+02 
       5.723038233519e-01       3.608263669130e+02 
       5.756745041045e-01       3.563867416316e+02 
       5.790451849773e-01       3.520356573732e+02 
       5.824158659684e-01       3.477615330671e+02 
       5.857865470757e-01       3.435649763821e+02 
       5.891572282972e-01       3.394441213921e+02 
       5.925279096309e-01       3.353980673682e+02 
       5.958985910750e-01       3.314264904789e+02 
       5.992692726275e-01       3.275278042230e+02 
