# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.402737464668e-10       2.497401037949e-15       2.686218003308e-13       0.000000000000e+00       8.138524082520e-09       4.660478201253e-10      -1.417205985804e-12 
    3       1.326793950790e-10       3.193966949543e-15       3.037149465524e-13       0.000000000000e+00       5.009084989258e-09       3.292460745945e-10      -1.069647327780e-12 
    4       1.256436416866e-10       2.755612804971e-15       2.856477847341e-13       0.000000000000e+00       3.484601602168e-09       2.488259588144e-10      -6.950418347202e-13 
    5       1.204234717468e-10       1.841343327007e-15       2.457191062453e-13       0.000000000000e+00       2.603179234831e-09       1.963509939775e-10      -3.807038657884e-13 
    6       1.168314052262e-10       1.045969713202e-15       2.015724475332e-13       0.000000000000e+00       2.035185623357e-09       1.597136890679e-10      -1.504934342845e-13 
    7       1.145052449407e-10       5.907874643467e-16       1.630416383242e-13       0.000000000000e+00       1.643220322844e-09       1.328918626181e-10      -5.184600390430e-15 
    8       1.131005992552e-10       4.046085779665e-16       1.341742169894e-13       0.000000000000e+00       1.358999565014e-09       1.125602023161e-10       6.733610433120e-14 
    9       1.124126561682e-10       3.368978094037e-16       1.156539299568e-13       0.000000000000e+00       1.144976068558e-09       9.675400770621e-11       8.572496015683e-14 
   10       1.122496246557e-10       2.936479356827e-16       1.063604051492e-13       0.000000000000e+00       9.790489870018e-10       8.421339487225e-11       7.046160001915e-14 
   11       1.124579812170e-10       2.551395065510e-16       1.043798047467e-13       0.000000000000e+00       8.250151523636e-10       7.437469429681e-11       4.048953693847e-14 
