# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.124395282744e-10       4.717262215801e-15       2.984865167590e-13       0.000000000000e+00       6.515678756353e-09       7.470679717032e-10      -1.845791840615e-12 
    3       1.859608645327e-10       5.292737223952e-15       3.658854502774e-13       0.000000000000e+00       4.090173906223e-09       5.160806145823e-10      -1.280763315459e-12 
    4       1.662994312416e-10       3.888796149762e-15       3.480838440481e-13       0.000000000000e+00       2.867911240823e-09       3.843130454545e-10      -7.145912857885e-13 
    5       1.524357022827e-10       2.209212918499e-15       2.941736061985e-13       0.000000000000e+00       2.151235090615e-09       3.000487350116e-10      -2.866236685879e-13 
    6       1.427720966186e-10       1.135568830849e-15       2.330012034103e-13       0.000000000000e+00       1.686662979836e-09       2.420723751095e-10      -1.981019634268e-14 
    7       1.361046667050e-10       6.687398291458e-16       1.804880456038e-13       0.000000000000e+00       1.365178344079e-09       2.002071444415e-10       1.061860259887e-13 
    8       1.314959842092e-10       4.935646382472e-16       1.428943933663e-13       0.000000000000e+00       1.131442197556e-09       1.688103901698e-10       1.312520524349e-13 
    9       1.283482228098e-10       3.951048931199e-16       1.207370364047e-13       0.000000000000e+00       9.548565652031e-10       1.445175416937e-10       9.947249384886e-14 
   10       1.262964062158e-10       3.208488781653e-16       1.114356868505e-13       0.000000000000e+00       8.175886033062e-10       1.252725469796e-10       4.859974241330e-14 
   11       1.250678679304e-10       2.796365499670e-16       1.112107069843e-13       0.000000000000e+00       6.990273971883e-10       1.102906114600e-10       4.927126601939e-15 
   12       1.244350709612e-10       2.709326648071e-16       1.164541788758e-13       0.000000000000e+00       6.120892974457e-10       9.725990551053e-11      -2.135459040684e-14 
   13       1.243048967383e-10       2.832745568158e-16       1.243765159919e-13       0.000000000000e+00       5.405091340105e-10       8.650290949676e-11      -2.829491140361e-14 
   14       1.245527295776e-10       3.119058334568e-16       1.331748942298e-13       0.000000000000e+00       4.808017041816e-10       7.742899516552e-11      -2.195981147200e-14 
   15       1.250886509685e-10       3.603578049463e-16       1.421948027362e-13       0.000000000000e+00       4.304237565548e-10       6.955519548651e-11      -1.081022902940e-14 
   16       1.259065020159e-10       4.318705825687e-16       1.514552887722e-13       0.000000000000e+00       3.874928019193e-10       6.286552847565e-11      -1.353215501523e-15 
   17       1.269726304456e-10       5.260539054105e-16       1.611587179056e-13       0.000000000000e+00       3.505883969694e-10       5.711799478115e-11       2.747622405311e-15 
   18       1.281842392154e-10       6.413499004778e-16       1.715342232580e-13       0.000000000000e+00       3.185001003832e-10       5.208685290857e-11       1.237936818729e-15 
   19       1.295545571532e-10       7.776854995892e-16       1.825474890080e-13       0.000000000000e+00       2.907289762850e-10       4.769694759628e-11      -3.863375335925e-15 
   20       1.310709128898e-10       9.349589491696e-16       1.939533664364e-13       0.000000000000e+00       2.662327202325e-10       4.380046513417e-11      -9.459822302365e-15 
