# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.362021092470e-10       6.174944855556e-15       4.331756288503e-13       0.000000000000e+00       8.338434478201e-09       4.412622412979e-10      -2.249278030996e-12 
    3       1.288080279304e-10       7.930532253247e-15       4.845381758192e-13       0.000000000000e+00       5.126678035384e-09       3.143625999405e-10      -1.708500542570e-12 
    4       1.217075791816e-10       6.881333018337e-15       4.514961690317e-13       0.000000000000e+00       3.564528793114e-09       2.386786333566e-10      -1.125681062692e-12 
    5       1.163607527561e-10       4.594782055385e-15       3.820526824209e-13       0.000000000000e+00       2.661080146148e-09       1.887840199387e-10      -6.337501505331e-13 
    6       1.126913401391e-10       2.547802691464e-15       3.039277821627e-13       0.000000000000e+00       2.079039873767e-09       1.537003051547e-10      -2.696086874564e-13 
    7       1.103265710283e-10       1.335866517762e-15       2.336434609755e-13       0.000000000000e+00       1.677812022952e-09       1.279149177067e-10      -3.543772973624e-14 
    8       1.089563051236e-10       8.224796947640e-16       1.788079722489e-13       0.000000000000e+00       1.387221517875e-09       1.083389193604e-10       8.615609059098e-14 
    9       1.083437274062e-10       6.413145677581e-16       1.413962815275e-13       0.000000000000e+00       1.168513818705e-09       9.312208247530e-11       1.227045540721e-13 
   10       1.082397653182e-10       5.405815166634e-16       1.199479441512e-13       0.000000000000e+00       9.988767549378e-10       8.106759529009e-11       1.049290298989e-13 
   11       1.085980324227e-10       4.484700968302e-16       1.110428568661e-13       0.000000000000e+00       8.420712722851e-10       7.164744343358e-11       6.160406414651e-14 
   12       1.092763856184e-10       3.818843307754e-16       1.106702639873e-13       0.000000000000e+00       7.358454977080e-10       6.342603300912e-11       1.426075754958e-14 
   13       1.101672128137e-10       3.552480246438e-16       1.153117195613e-13       0.000000000000e+00       6.486292078421e-10       5.670262002365e-11      -2.256258150046e-14 
   14       1.112660798736e-10       3.564851207972e-16       1.222669375240e-13       0.000000000000e+00       5.760526193752e-10       5.078962689449e-11      -4.317698227901e-14 
   15       1.125616833555e-10       3.678209862915e-16       1.297980590205e-13       0.000000000000e+00       5.149523302307e-10       4.582339833899e-11      -4.747322936784e-14 
   16       1.139618411306e-10       3.852155571427e-16       1.371545323629e-13       0.000000000000e+00       4.629947163443e-10       4.158751694971e-11      -3.990443928366e-14 
   17       1.154959120114e-10       4.172676748784e-16       1.442405332035e-13       0.000000000000e+00       4.184173959205e-10       3.791300732054e-11      -2.656171065048e-14 
   18       1.171077786633e-10       4.734232890396e-16       1.513795714340e-13       0.000000000000e+00       3.797213581820e-10       3.466729978988e-11      -1.336269407316e-14 
   19       1.188100758309e-10       5.549354483452e-16       1.589916473550e-13       0.000000000000e+00       3.462944569729e-10       3.181282101856e-11      -3.641963417657e-15 
   20       1.205952306429e-10       6.592382510843e-16       1.674779844315e-13       0.000000000000e+00       3.168502532676e-10       2.927737528900e-11       2.536863696170e-16 
   21       1.224592947361e-10       7.842860893263e-16       1.768676677965e-13       0.000000000000e+00       2.909274024018e-10       2.704042390131e-11      -1.169707869744e-15 
