# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.170909789688e-10       2.798079743828e-15       3.158741749897e-13       0.000000000000e+00       9.303203907239e-09       3.037987135634e-10      -1.542196942846e-12 
    3       1.144590789378e-10       3.758528027695e-15       3.475131387347e-13       0.000000000000e+00       5.877852926351e-09       2.253879341992e-10      -1.194967711014e-12 
    4       1.110435942736e-10       3.449315098931e-15       3.249449816214e-13       0.000000000000e+00       4.136299350768e-09       1.751895755776e-10      -8.172456447296e-13 
    5       1.083804462897e-10       2.460491475993e-15       2.798726425491e-13       0.000000000000e+00       3.113124859493e-09       1.409894695827e-10      -4.901663522486e-13 
    6       1.066137554497e-10       1.466005020842e-15       2.298511911762e-13       0.000000000000e+00       2.447095191648e-09       1.164252772216e-10      -2.384578585206e-13 
    7       1.055987302471e-10       8.137024591771e-16       1.851912238730e-13       0.000000000000e+00       1.984546252790e-09       9.803469325918e-11      -6.684883896239e-14 
    8       1.051924361140e-10       5.074848489930e-16       1.504769484143e-13       0.000000000000e+00       1.648900852069e-09       8.388537236764e-11       3.227180871198e-14 
    9       1.052546213364e-10       3.973026099419e-16       1.268972082981e-13       0.000000000000e+00       1.396533573220e-09       7.280594553138e-11       7.341505614155e-14 
   10       1.056424129162e-10       3.496050427775e-16       1.136888995495e-13       0.000000000000e+00       1.200658192974e-09       6.395429028360e-11       7.413135701433e-14 
   11       1.063011172416e-10       3.097565755125e-16       1.090371305109e-13       0.000000000000e+00       9.903527551206e-10       5.674546483174e-11       5.221918631763e-14 
   12       1.071884554421e-10       2.794399535226e-16       1.106970927569e-13       0.000000000000e+00       8.679560589129e-10       5.041138990914e-11       2.170779408966e-14 
   13       1.082101963395e-10       2.722024464287e-16       1.165314843845e-13       0.000000000000e+00       7.672873517795e-10       4.519225206531e-11      -6.148928861120e-15 
   14       1.093440851056e-10       2.899512227109e-16       1.248761127869e-13       0.000000000000e+00       6.833808801228e-10       4.084250919257e-11      -2.530497595505e-14 
   15       1.106357563526e-10       3.251922162326e-16       1.344769956748e-13       0.000000000000e+00       6.126325509861e-10       3.713054382636e-11      -3.391644348659e-14 
   16       1.119836460153e-10       3.721116958821e-16       1.445425037165e-13       0.000000000000e+00       5.523716521028e-10       3.388697162887e-11      -3.329783824830e-14 
   17       1.133874099956e-10       4.315971404914e-16       1.547604156686e-13       0.000000000000e+00       5.005834079653e-10       3.101437145928e-11      -2.660630919952e-14 
   18       1.148601699407e-10       5.085989870908e-16       1.650440622769e-13       0.000000000000e+00       4.555437698918e-10       2.846187503146e-11      -1.768201956427e-14 
   19       1.164026224100e-10       6.056732608592e-16       1.754772125338e-13       0.000000000000e+00       4.165866911202e-10       2.622344773388e-11      -9.276540407474e-15 
   20       1.179648073778e-10       7.237350999456e-16       1.861769876412e-13       0.000000000000e+00       3.822096384706e-10       2.424684028053e-11      -3.897896225215e-15 
   21       1.195666276874e-10       8.621778927718e-16       1.971456509481e-13       0.000000000000e+00       3.518882828229e-10       2.249415749812e-11      -2.104483494458e-15 
   22       1.212196292907e-10       1.019713138703e-15       2.083082101071e-13       0.000000000000e+00       3.249184938084e-10       2.090732477910e-11      -3.481223461402e-15 
   23       1.229183613037e-10       1.197191850747e-15       2.195034067945e-13       0.000000000000e+00       3.009400808278e-10       1.948665302047e-11      -6.869072850312e-15 
   24       1.246322449591e-10       1.395955551623e-15       2.305052077565e-13       0.000000000000e+00       2.794066117450e-10       1.822997715577e-11      -1.067710718819e-14 
   25       1.263621127626e-10       1.616427644546e-15       2.410883163475e-13       0.000000000000e+00       2.600725238307e-10       1.710886965904e-11      -1.389148798613e-14 
   26       1.281055052258e-10       1.858746730398e-15       2.510064790308e-13       0.000000000000e+00       2.425961849488e-10       1.607681339591e-11      -1.569362123072e-14 
   27       1.298697387115e-10       2.123874902440e-15       2.600484213682e-13       0.000000000000e+00       2.267749925552e-10       1.512323974338e-11      -1.588962451980e-14 
