# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.851235984935e-10       7.734798768357e-15       4.106765164989e-13       0.000000000000e+00       6.517330841723e-09       6.372471719676e-10      -2.417578111480e-12 
    3       1.649426439105e-10       9.086289439212e-15       4.838042279066e-13       0.000000000000e+00       4.009779121708e-09       4.369931325898e-10      -1.733075073951e-12 
    4       1.492217592203e-10       7.047627348899e-15       4.529991264412e-13       0.000000000000e+00       2.768712347614e-09       3.227230538727e-10      -1.028523402146e-12 
    5       1.380376936437e-10       4.184324862262e-15       3.782682678434e-13       0.000000000000e+00       2.051839818310e-09       2.498287399047e-10      -4.721687273832e-13 
    6       1.303341464087e-10       2.147122688070e-15       2.944860565630e-13       0.000000000000e+00       1.591036650276e-09       1.998680562831e-10      -9.936440225570e-14 
    7       1.251558637046e-10       1.188142064782e-15       2.214217168425e-13       0.000000000000e+00       1.273829378142e-09       1.639307743288e-10       1.032827833412e-13 
    8       1.217559756203e-10       8.465615744964e-16       1.671276963736e-13       0.000000000000e+00       1.045084691664e-09       1.371066956118e-10       1.735506904216e-13 
    9       1.196431318528e-10       6.844109690439e-16       1.324789593757e-13       0.000000000000e+00       8.742540886292e-10       1.165140231041e-10       1.581088659284e-13 
   10       1.184726223176e-10       5.399280124525e-16       1.143552876170e-13       0.000000000000e+00       7.428366111976e-10       1.003643824307e-10       1.013725698589e-13 
   11       1.180398289783e-10       4.225838931147e-16       1.079461644021e-13       0.000000000000e+00       6.323029287303e-10       8.809317317340e-11       3.861457995794e-14 
   12       1.181487588834e-10       3.560617621445e-16       1.084125454890e-13       0.000000000000e+00       5.497257973120e-10       7.729384811194e-11      -1.002918991075e-14 
   13       1.186429086040e-10       3.269397511716e-16       1.120245762605e-13       0.000000000000e+00       4.821341896052e-10       6.837535750613e-11      -3.557954874339e-14 
   14       1.194880654815e-10       3.124383953272e-16       1.164990097901e-13       0.000000000000e+00       4.260595870490e-10       6.088379689775e-11      -3.970107765871e-14 
   15       1.206889861769e-10       3.075562001597e-16       1.207786627393e-13       0.000000000000e+00       3.790080528591e-10       5.451578730329e-11      -2.980618343893e-14 
   16       1.220551729879e-10       3.209466305280e-16       1.248717466757e-13       0.000000000000e+00       3.391199517198e-10       4.906594304909e-11      -1.480507232194e-14 
   17       1.236383287407e-10       3.590696443640e-16       1.293466493330e-13       0.000000000000e+00       3.050075623199e-10       4.442104714737e-11      -1.887145418588e-15 
   18       1.254025184869e-10       4.202494311701e-16       1.348147957786e-13       0.000000000000e+00       2.754930170120e-10       4.031920831227e-11       4.562285566818e-15 
   19       1.273388266775e-10       5.014417547663e-16       1.415827775840e-13       0.000000000000e+00       2.500739271767e-10       3.673304685194e-11       4.435038031128e-15 
   20       1.294004538296e-10       5.986529970163e-16       1.496987666003e-13       0.000000000000e+00       2.277557470089e-10       3.363299628023e-11      -3.833878501765e-16 
   21       1.315787281418e-10       7.104941324223e-16       1.586529827173e-13       0.000000000000e+00       2.081714889331e-10       3.094259821179e-11      -7.151650898556e-15 
   22       1.338472276057e-10       8.359896507297e-16       1.676346309258e-13       0.000000000000e+00       1.908348917241e-10       2.852639170189e-11      -1.258538200267e-14 
   23       1.362242814273e-10       9.740086501001e-16       1.761093318144e-13       0.000000000000e+00       1.754953994682e-10       2.635707848621e-11      -1.529235750961e-14 
   24       1.387162008167e-10       1.123738493268e-15       1.836129837367e-13       0.000000000000e+00       1.617869575777e-10       2.441389501779e-11      -1.474082204413e-14 
   25       1.413078120719e-10       1.287524891570e-15       1.899261214559e-13       0.000000000000e+00       1.495394007695e-10       2.267056212283e-11      -1.184002770894e-14 
   26       1.439627026409e-10       1.468811871789e-15       1.949667652601e-13       0.000000000000e+00       1.385223212894e-10       2.108419995534e-11      -8.172458566836e-15 
   27       1.466813343666e-10       1.669558883812e-15       1.989259257808e-13       0.000000000000e+00       1.285971098735e-10       1.964411850299e-11      -5.044655592384e-15 
   28       1.494654622313e-10       1.891216345629e-15       2.020908755581e-13       0.000000000000e+00       1.195863462006e-10       1.833910076461e-11      -3.582509275938e-15 
   29       1.523237815151e-10       2.134719842489e-15       2.045452764264e-13       0.000000000000e+00       1.114394142122e-10       1.716209856094e-11      -3.689088051934e-15 
   30       1.552543685192e-10       2.400752521327e-15       2.063230780197e-13       0.000000000000e+00       1.040640389417e-10       1.609476908508e-11      -4.751130323702e-15 
   31       1.582440990547e-10       2.689880937473e-15       2.074307921038e-13       0.000000000000e+00       9.730408604509e-11       1.510992800991e-11      -6.042741304717e-15 
