# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509184e-26       4.634785000235e-09       2.157256292794e+22       1.552917706703e+04       1.552917706703e-10       1.552917706703e+18       2.676317464541e-09       2.751560535470e+44       2.490422367464e+33       1.002282124556e+34       3.864393411637e-08       1.902194177205e+44       4.653754712800e+44       4.653754712800e+44       1.551251570892e+44      -1.338578885205e+53       7.186439188563e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208851e-26       4.685716703534e-09       2.111374631017e+22       1.552917706703e+04       1.569700023026e-10       1.536314817110e+18       2.705240316120e-09       2.635761930281e+44       2.411394910978e+33       9.704771552383e+33       3.864393411637e-08       1.822140902098e+44       4.457902832501e+44       4.457902832501e+44       1.485967610793e+44      -1.268536174639e+53       7.340932972131e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675408e-26       4.736648406833e-09       2.066468804560e+22       1.552917706703e+04       1.586663705135e-10       1.519889435920e+18       2.734475734733e-09       2.524836674885e+44       2.334875197339e+33       9.396814387533e+33       3.864393411637e-08       1.745456645219e+44       4.270293320221e+44       4.270293320221e+44       1.423431106701e+44      -1.202158531076e+53       7.495426755682e-06       1.917553041712e+00 
       9.682674483178e+13       8.063126489100e-26       4.787580110133e-09       2.022518058846e+22       1.552917706703e+04       1.603810713044e-10       1.503639665317e+18       2.764027098849e-09       2.418579675807e+44       2.260783649468e+33       9.098629489333e+33       3.864393411637e-08       1.671999622440e+44       4.090579298360e+44       4.090579298360e+44       1.363526432749e+44      -1.139254175585e+53       7.649920539223e-06       1.878827146122e+00 
       9.579152979933e+13       8.238343922830e-26       4.838511813432e-09       1.979502080715e+22       1.552917706703e+04       1.621143027945e-10       1.487563627776e+18       2.793897823462e-09       2.316794470871e+44       2.189043215469e+33       8.809906758825e+33       3.864393411637e-08       1.601634016574e+44       3.918428487555e+44       3.918428487555e+44       1.306142829148e+44      -1.079641364294e+53       7.804414322767e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954598e-26       4.891262506135e-09       1.937400989037e+22       1.552917706703e+04       1.638662652444e-10       1.471659465843e+18       2.824091359704e-09       2.219292865953e+44       2.119579288499e+33       8.530345937285e+33       3.864393411637e-08       1.534229726263e+44       3.753522592322e+44       3.753522592322e+44       1.251174197405e+44      -1.023147863291e+53       7.958908106307e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325789e-26       4.944013198838e-09       1.896195325527e+22       1.552917706703e+04       1.656371610788e-10       1.455925341926e+18       2.854611196185e-09       2.125894587024e+44       2.052319629182e+33       8.259656293963e+33       3.864393411637e-08       1.469662125423e+44       3.595556712550e+44       3.595556712550e+44       1.198518904149e+44      -9.696104510045e+52       8.113401889846e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577833e-26       4.998582880944e-09       1.855866045747e+22       1.552917706703e+04       1.674271949100e-10       1.440359438077e+18       2.885460859278e-09       2.036426946831e+44       1.987194290481e+33       7.997556323737e+33       3.864393411637e-08       1.407811832824e+44       3.444238779755e+44       3.444238779755e+44       1.148079593218e+44      -9.188744466252e+52       8.267895673386e-06       1.738396194400e+00 
       9.176017181296e+13       8.978126095039e-26       5.051333573647e-09       1.816394510306e+22       1.552917706703e+04       1.692365735614e-10       1.424959955785e+18       2.916643913483e-09       1.950724525616e+44       1.924135544956e+33       7.743773454363e+33       3.864393411637e-08       1.348564491358e+44       3.299289017070e+44       3.299289017070e+44       1.099763005658e+44      -8.707932631977e+52       8.422389456924e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129504e-26       5.105903255753e-09       1.777762476248e+22       1.552917706703e+04       1.710655060919e-10       1.409725115768e+18       2.948163961697e-09       1.868628865258e+44       1.863077814332e+33       7.498043763007e+33       3.864393411637e-08       1.291810556602e+44       3.160439421954e+44       3.160439421954e+44       1.053479807287e+44      -8.252279841011e+52       8.576883240457e-06       1.675769387306e+00 
