# Matter power spectrum P(k) at redshift z=0
# for k=8.42511e-06 to 1.12372 h/Mpc,
# number of wavenumbers equal to 590
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.425110843408e-06       9.023141754142e+01 
       1.977068855522e-05       2.056922934047e+02 
       3.114561977678e-05       3.190625935534e+02 
       4.257363238206e-05       4.315063363266e+02 
       5.407874824044e-05       5.436440581588e+02 
       6.568544953105e-05       6.559201974839e+02 
       7.741884910785e-05       7.687015793792e+02 
       8.930486670737e-05       8.823164652610e+02 
       1.013704128059e-04       9.970735323598e+02 
       1.136435819509e-04       1.113272957768e+03 
       1.261538574097e-04       1.231213519247e+03 
       1.389323289837e-04       1.351197713739e+03 
       1.520119258226e-04       1.473535844260e+03 
       1.654276660235e-04       1.598549346176e+03 
       1.792169246889e-04       1.726573926952e+03 
       1.934197219316e-04       1.857962365092e+03 
       2.080790320063e-04       1.993087385971e+03 
       2.232411142834e-04       2.132344217041e+03 
       2.389558661015e-04       2.276153391734e+03 
       2.552771965749e-04       2.424963318251e+03 
       2.722634191044e-04       2.579252907995e+03 
       2.899776585578e-04       2.739534083603e+03 
       3.084882667191e-04       2.906353768965e+03 
       3.278692365592e-04       3.080296493920e+03 
       3.482006020095e-04       3.261985401518e+03 
       3.695688051467e-04       3.452083492476e+03 
       3.920670069541e-04       3.651293375654e+03 
       4.157953111591e-04       3.860356835152e+03 
       4.408608632485e-04       4.080051626530e+03 
       4.673777790408e-04       4.311187547950e+03 
       4.954668498966e-04       4.554599476320e+03 
       5.252549659053e-04       4.811137684314e+03 
       5.568741957997e-04       5.081656114859e+03 
       5.904604649930e-04       5.366995210504e+03 
       6.261517833384e-04       5.667962546451e+03 
       6.640859943219e-04       5.985309188107e+03 
       7.043980490935e-04       6.319702750205e+03 
       7.472168522642e-04       6.671697859504e+03 
       7.926617796476e-04       7.041705330178e+03 
       8.408390259132e-04       7.429962323906e+03 
       8.918379940423e-04       7.836504269658e+03 
       9.457279777924e-04       8.261143444162e+03 
       1.002555402069e-03       8.703454357242e+03 
       1.062341865888e-03       9.162769221659e+03 
       1.125083176070e-03       9.638182465051e+03 
       1.190749472310e-03       1.012853920457e+04 
       1.259286438855e-03       1.063255550141e+04 
       1.330617492440e-03       1.114875887116e+04 
       1.404646748460e-03       1.167555770946e+04 
       1.481262511191e-03       1.221128271023e+04 
       1.560341015094e-03       1.275422918347e+04 
       1.641750160659e-03       1.330269390104e+04 
       1.725353031283e-03       1.385501036725e+04 
       1.811011035590e-03       1.440957681116e+04 
       1.898586580985e-03       1.496488086188e+04 
       1.987945239970e-03       1.551950232518e+04 
       2.078957415559e-03       1.607214543539e+04 
       2.171499543743e-03       1.662162322241e+04 
       2.265454890151e-03       1.716686543196e+04 
       2.360714006594e-03       1.770691681050e+04 
       2.457174914073e-03       1.824093292220e+04 
       2.554743074378e-03       1.876817101876e+04 
       2.653331205174e-03       1.928798656393e+04 
       2.752858984868e-03       1.979982429266e+04 
       2.853252684934e-03       2.030320796976e+04 
       2.954444759365e-03       2.079773823113e+04 
       3.056373413884e-03       2.128308090390e+04 
       3.158982171650e-03       2.175897196400e+04 
       3.262219447396e-03       2.222518534970e+04 
       3.366038138151e-03       2.268156105053e+04 
       3.470395235751e-03       2.312796909520e+04 
       3.575251464188e-03       2.356432342864e+04 
       3.680570943183e-03       2.399057152271e+04 
       3.786320878253e-03       2.440668630349e+04 
       3.892471276719e-03       2.481213862899e+04 
       3.998994688584e-03       2.520799471190e+04 
       4.105865970879e-03       2.559379438173e+04 
       4.213062073899e-03       2.596944221799e+04 
       4.320561847649e-03       2.633512656793e+04 
       4.428345866856e-03       2.669116561158e+04 
       4.536396272907e-03       2.703754388506e+04 
       4.644696631174e-03       2.737420132359e+04 
       4.753231802273e-03       2.770117420402e+04 
       4.861987825911e-03       2.801868795788e+04 
       4.970951816078e-03       2.832676708178e+04 
       5.080111866459e-03       2.862568868645e+04 
       5.189456965028e-03       2.891542915793e+04 
       5.298976916901e-03       2.919602245152e+04 
       5.408662274609e-03       2.946810471894e+04 
       5.518504275022e-03       2.973150908177e+04 
       5.628494782269e-03       2.998636156436e+04 
       5.738626236019e-03       3.023278809332e+04 
       5.848891604601e-03       3.047150698766e+04 
       5.959284342459e-03       3.070144355168e+04 
       6.069798351515e-03       3.092336144117e+04 
       6.180427946043e-03       3.113737753424e+04 
       6.291167820712e-03       3.134363330114e+04 
       6.402013021477e-03       3.154228629112e+04 
       6.512958919041e-03       3.173348208057e+04 
       6.624001184651e-03       3.191727837490e+04 
       6.735135767975e-03       3.209387721925e+04 
       6.846358876889e-03       3.226334448349e+04 
       6.957666958980e-03       3.242570912835e+04 
       7.069056684593e-03       3.258129198495e+04 
       7.180524931309e-03       3.273015668971e+04 
       7.292068769680e-03       3.287234059491e+04 
       7.403685450147e-03       3.300802845496e+04 
       7.515372391005e-03       3.313735170326e+04 
       7.627127167331e-03       3.326032753630e+04 
       7.738947500790e-03       3.337715855715e+04 
       7.850831250247e-03       3.348795061680e+04 
       7.962776403096e-03       3.359281808152e+04 
       8.074781067269e-03       3.369166158443e+04 
       8.186843463846e-03       3.378485882568e+04 
       8.298961920228e-03       3.387239113166e+04 
       8.411134863819e-03       3.395437403916e+04 
       8.523360816178e-03       3.403092043886e+04 
       8.635638387601e-03       3.410214264226e+04 
       8.747966272101e-03       3.416816675187e+04 
       8.860343242747e-03       3.422879183904e+04 
       8.972768147341e-03       3.428449510976e+04 
       9.085239904404e-03       3.433533738648e+04 
       9.197757499444e-03       3.438106686391e+04 
       9.310319981487e-03       3.442214267449e+04 
       9.422926459851e-03       3.445705443597e+04 
       9.535576101145e-03       3.448993433909e+04 
       9.648268126473e-03       3.451704391102e+04 
       9.761001808829e-03       3.453966583952e+04 
       9.873776470676e-03       3.455787947640e+04 
       9.986591481683e-03       3.457183610662e+04 
       1.009944625662e-02       3.458157906076e+04 
       1.021234025339e-02       3.458715419032e+04 
       1.032527297121e-02       3.458866203707e+04 
       1.043824394887e-02       3.458609714948e+04 
       1.055125276318e-02       3.457956362493e+04 
       1.066429902746e-02       3.456916730125e+04 
       1.077738239016e-02       3.455501967068e+04 
       1.089050253356e-02       3.453720777884e+04 
       1.100365917257e-02       3.451569484258e+04 
       1.111685205361e-02       3.449059204184e+04 
       1.123008095355e-02       3.446190123571e+04 
       1.134334567874e-02       3.442984849665e+04 
       1.145664606412e-02       3.439433350420e+04 
       1.156998197233e-02       3.435554562048e+04 
       1.168335329298e-02       3.431347504952e+04 
       1.179675994187e-02       3.426830773832e+04 
       1.191020186035e-02       3.421988387048e+04 
       1.202367901468e-02       3.416840521526e+04 
       1.213719139545e-02       3.411381745961e+04 
       1.225073901703e-02       3.405635565727e+04 
       1.236432191710e-02       3.399594825695e+04 
       1.247794015620e-02       3.393285574367e+04 
       1.259159381729e-02       3.386676082532e+04 
       1.270528300537e-02       3.379805294488e+04 
       1.281900784717e-02       3.372660271441e+04 
       1.293276849081e-02       3.365253450952e+04 
       1.304656510552e-02       3.357602911451e+04 
       1.316039788137e-02       3.349682847772e+04 
       1.327426702911e-02       3.341520714330e+04 
       1.338817277988e-02       3.333121910720e+04 
       1.350211538514e-02       3.324481642938e+04 
       1.361609511644e-02       3.315611950181e+04 
       1.373011226533e-02       3.306518462110e+04 
       1.384416714329e-02       3.297195316377e+04 
       1.395826008161e-02       3.287664091655e+04 
       1.407239143136e-02       3.277916791468e+04 
       1.418656156334e-02       3.267973240493e+04 
       1.430077086808e-02       3.257811099402e+04 
       1.441501975586e-02       3.247455838013e+04 
       1.452930865669e-02       3.236911413591e+04 
       1.464363802042e-02       3.226180079190e+04 
       1.475800831673e-02       3.215256676710e+04 
       1.487242003528e-02       3.204044356949e+04 
       1.498687368574e-02       3.192882347270e+04 
       1.510136979798e-02       3.181431893413e+04 
       1.521590892213e-02       3.169816373253e+04 
       1.533049162879e-02       3.158039821780e+04 
       1.544511850914e-02       3.146108374958e+04 
       1.555979017518e-02       3.134013565050e+04 
       1.567450725989e-02       3.121771038060e+04 
       1.578927041743e-02       3.109379883242e+04 
       1.590408032342e-02       3.096858405384e+04 
       1.601893767515e-02       3.084061003030e+04 
       1.613384319187e-02       3.071398701927e+04 
       1.624879761502e-02       3.058467668667e+04 
       1.636380170857e-02       3.045400413465e+04 
       1.647885625931e-02       3.032221047728e+04 
       1.659396207720e-02       3.018802835655e+04 
       1.670911999566e-02       3.005501702618e+04 
       1.682433087199e-02       2.991977247930e+04 
       1.693959558769e-02       2.978198163506e+04 
       1.705491504890e-02       2.964595646165e+04 
       1.717029018677e-02       2.950749998965e+04 
       1.728572195791e-02       2.936808651649e+04 
       1.740121134482e-02       2.922768339344e+04 
       1.751675935633e-02       2.908563637931e+04 
       1.763236702813e-02       2.894430747706e+04 
       1.774803542323e-02       2.880032595289e+04 
       1.786376563244e-02       2.865751220507e+04 
       1.797955877499e-02       2.851165441392e+04 
       1.809541599900e-02       2.836631474096e+04 
       1.821133848207e-02       2.822148460478e+04 
       1.832732743192e-02       2.807349916254e+04 
       1.844338408693e-02       2.792604169904e+04 
       1.855950971681e-02       2.777816469179e+04 
       1.867570562325e-02       2.763066790695e+04 
       1.879197314057e-02       2.748145945744e+04 
       1.890831363647e-02       2.733061531081e+04 
       1.902472851268e-02       2.718030468302e+04 
       1.914121920576e-02       2.702968214284e+04 
       1.925778718783e-02       2.687851191304e+04 
       1.937443396740e-02       2.672700891906e+04 
       1.949116109013e-02       2.657492241123e+04 
