# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509130e-26       4.634785000235e-09       2.157256292810e+22       1.311521658274e+04       1.311521658274e-10       1.311521658274e+18       2.676317464522e-09       2.751560535470e+44       2.490422367464e+33       1.670470207593e+34       3.196205328600e-08       1.902194177205e+44       4.653754712867e+44       4.653754712867e+44       1.551251570892e+44      -1.338578885215e+53       4.323501175016e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208796e-26       4.685716703534e-09       2.111374631032e+22       1.311521658274e+04       1.325695217657e-10       1.297499634313e+18       2.705240316100e-09       2.635761930281e+44       2.411394910978e+33       1.617461925397e+34       3.196205328600e-08       1.822140902098e+44       4.457902832565e+44       4.457902832565e+44       1.485967610793e+44      -1.268536174648e+53       4.416447631149e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675352e-26       4.736648406833e-09       2.066468804576e+22       1.311521658274e+04       1.340021950100e-10       1.283627525648e+18       2.734475734713e-09       2.524836674885e+44       2.334875197339e+33       1.566135731256e+34       3.196205328600e-08       1.745456645219e+44       4.270293320284e+44       4.270293320284e+44       1.423431106701e+44      -1.202158531085e+53       4.509394087271e-06       1.917553041713e+00 
       9.682674483178e+13       8.063126489042e-26       4.787580110133e-09       2.022518058861e+22       1.311521658274e+04       1.354503510938e-10       1.269903729470e+18       2.764027098829e-09       2.418579675807e+44       2.260783649468e+33       1.516438248222e+34       3.196205328600e-08       1.671999622440e+44       4.090579298420e+44       4.090579298420e+44       1.363526432749e+44      -1.139254175594e+53       4.602340543388e-06       1.878827146123e+00 
       9.579152979933e+13       8.238343922771e-26       4.838511813432e-09       1.979502080730e+22       1.311521658274e+04       1.369141573395e-10       1.256326660110e+18       2.793897823442e-09       2.316794470871e+44       2.189043215469e+33       1.468317793137e+34       3.196205328600e-08       1.601634016574e+44       3.918428487613e+44       3.918428487613e+44       1.306142829148e+44      -1.079641364302e+53       4.695286999506e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954537e-26       4.891262506135e-09       1.937400989052e+22       1.311521658274e+04       1.383937828777e-10       1.242894748849e+18       2.824091359683e-09       2.219292865953e+44       2.119579288499e+33       1.421724322881e+34       3.196205328600e-08       1.534229726263e+44       3.753522592379e+44       3.753522592379e+44       1.251174197405e+44      -1.023147863299e+53       4.788233455622e-06       1.805885704714e+00 
       9.375418514718e+13       8.600284325727e-26       4.944013198838e-09       1.896195325541e+22       1.311521658274e+04       1.398893986668e-10       1.229606443743e+18       2.854611196164e-09       2.125894587024e+44       2.052319629182e+33       1.376609382327e+34       3.196205328600e-08       1.469662125423e+44       3.595556712605e+44       3.595556712605e+44       1.198518904149e+44      -9.696104510119e+52       4.881179911737e-06       1.771498388656e+00 
       9.275182012925e+13       8.787174577770e-26       4.998582880944e-09       1.855866045761e+22       1.311521658274e+04       1.414011775128e-10       1.216460209438e+18       2.885460859257e-09       2.036426946831e+44       1.987194290481e+33       1.332926053956e+34       3.196205328600e-08       1.407811832824e+44       3.444238779809e+44       3.444238779809e+44       1.148079593218e+44      -9.188744466324e+52       4.974126367852e-06       1.738396194401e+00 
       9.176017181296e+13       8.978126094974e-26       5.051333573647e-09       1.816394510320e+22       1.311521658274e+04       1.429292940893e-10       1.203454526996e+18       2.916643913462e-09       1.950724525616e+44       1.924135544956e+33       1.290628909060e+34       3.196205328600e-08       1.348564491358e+44       3.299289017122e+44       3.299289017122e+44       1.099763005658e+44      -8.707932632046e+52       5.067072823967e-06       1.706508402068e+00 
       9.077912562158e+13       9.173227129437e-26       5.105903255753e-09       1.777762476262e+22       1.311521658274e+04       1.444739249572e-10       1.190587893718e+18       2.948163961676e-09       1.868628865258e+44       1.863077814332e+33       1.249673960501e+34       3.196205328600e-08       1.291810556602e+44       3.160439422004e+44       3.160439422004e+44       1.053479807287e+44      -8.252279841077e+52       5.160019280078e-06       1.675769387306e+00 
