# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.257516488283e-10       3.364654240583e-15       3.326925037600e-13       0.000000000000e+00       8.788845329341e-09       3.746071216179e-10      -1.671595571566e-12 
    3       1.212161461531e-10       4.421902212374e-15       3.686920600815e-13       0.000000000000e+00       5.476192748727e-09       2.717954128817e-10      -1.283784558313e-12 
    4       1.163129910150e-10       3.952565804716e-15       3.446995394407e-13       0.000000000000e+00       3.836366238139e-09       2.083886699233e-10      -8.616308085359e-13 
    5       1.125606218515e-10       2.736268516368e-15       2.953998107461e-13       0.000000000000e+00       2.877078709845e-09       1.661072933850e-10      -5.004719452698e-13 
    6       1.100551287268e-10       1.583083450347e-15       2.404806494634e-13       0.000000000000e+00       2.256593383174e-09       1.361741557809e-10      -2.276927533812e-13 
    7       1.084644947821e-10       8.654250469741e-16       1.915024914444e-13       0.000000000000e+00       1.826871365934e-09       1.139665744426e-10      -4.692339367547e-14 
    8       1.076525231524e-10       5.461779798315e-16       1.535882964686e-13       0.000000000000e+00       1.514010313144e-09       9.699035290230e-11       5.231965574399e-14 
    9       1.074157179950e-10       4.327728707371e-16       1.279821189096e-13       0.000000000000e+00       1.278390979531e-09       8.377530027565e-11       8.812286319774e-14 
   10       1.075995484231e-10       3.758666787635e-16       1.136963115454e-13       0.000000000000e+00       1.096070240484e-09       7.326748270363e-11       8.148313626343e-14 
   11       1.081192757518e-10       3.248572848846e-16       1.085539616262e-13       0.000000000000e+00       9.157955966816e-10       6.471619040194e-11       5.275953149912e-14 
   12       1.088714568374e-10       2.877534344239e-16       1.099614256606e-13       0.000000000000e+00       8.016319033133e-10       5.759713700934e-11       1.820501668531e-14 
   13       1.098182679041e-10       2.780420997293e-16       1.155528902727e-13       0.000000000000e+00       7.078093666246e-10       5.145023798763e-11      -1.131508342399e-14 
   14       1.109320469328e-10       2.936479437406e-16       1.235121409697e-13       0.000000000000e+00       6.296563890278e-10       4.632222045772e-11      -2.974057721893e-14 
   15       1.121764952072e-10       3.246422471510e-16       1.325627694657e-13       0.000000000000e+00       5.638035725954e-10       4.195346407513e-11      -3.614039787943e-14 
   16       1.135285821297e-10       3.661122237684e-16       1.419558212435e-13       0.000000000000e+00       5.077521720483e-10       3.816184156335e-11      -3.293636420858e-14 
   17       1.149802522208e-10       4.209969866907e-16       1.513784041461e-13       0.000000000000e+00       4.596161646555e-10       3.486579814929e-11      -2.419189248401e-14 
   18       1.164869435219e-10       4.949583318362e-16       1.608691205230e-13       0.000000000000e+00       4.177871926332e-10       3.198092382184e-11      -1.427417645267e-14 
   19       1.180623153376e-10       5.897241773940e-16       1.705998212006e-13       0.000000000000e+00       3.816247365124e-10       2.944533602742e-11      -5.975624489235e-15 
   20       1.196900064848e-10       7.049012012910e-16       1.807412719050e-13       0.000000000000e+00       3.497385595691e-10       2.714568956023e-11      -1.591466716184e-15 
   21       1.213748648547e-10       8.396906616926e-16       1.912671017420e-13       0.000000000000e+00       3.216367171012e-10       2.508898889235e-11      -1.262732819774e-15 
   22       1.230994622285e-10       9.929766695611e-16       2.020332707983e-13       0.000000000000e+00       2.966577782612e-10       2.328542951188e-11      -4.029241022569e-15 
   23       1.248706050750e-10       1.165573367533e-15       2.128242880084e-13       0.000000000000e+00       2.744645202148e-10       2.169731568829e-11      -8.419411724818e-15 
   24       1.266806110766e-10       1.358662666014e-15       2.233531675632e-13       0.000000000000e+00       2.545489757691e-10       2.025358286810e-11      -1.260270214623e-14 
   25       1.285224726279e-10       1.572278969174e-15       2.333239483771e-13       0.000000000000e+00       2.366809839085e-10       1.894319933687e-11      -1.544781562509e-14 
   26       1.303777603657e-10       1.806228910393e-15       2.424411156222e-13       0.000000000000e+00       2.205413728092e-10       1.775942545531e-11      -1.617635143352e-14 
   27       1.322591452059e-10       2.061985574589e-15       2.505971162306e-13       0.000000000000e+00       2.059406712426e-10       1.668414174960e-11      -1.514751152772e-14 
   28       1.341781291082e-10       2.341572760876e-15       2.577554369651e-13       0.000000000000e+00       1.926314479799e-10       1.568947441708e-11      -1.316604313022e-14 
   29       1.361396943515e-10       2.646546656843e-15       2.639021226968e-13       0.000000000000e+00       1.805479706698e-10       1.477212726710e-11      -1.081385428328e-14 
   30       1.381329994693e-10       2.978371142777e-15       2.690481876628e-13       0.000000000000e+00       1.695623006864e-10       1.392873199328e-11      -8.724398892798e-15 
   31       1.401370669680e-10       3.338474684868e-15       2.732242016686e-13       0.000000000000e+00       1.594526109075e-10       1.314955072697e-11      -7.530436277984e-15 
   32       1.421571382019e-10       3.727898780300e-15       2.764553565585e-13       0.000000000000e+00       1.501684979847e-10       1.243369021365e-11      -7.264847567448e-15 
   33       1.441994126535e-10       4.147507323807e-15       2.787795073858e-13       0.000000000000e+00       1.416462105157e-10       1.177823579335e-11      -7.730756610935e-15 
   34       1.462629065973e-10       4.598101683844e-15       2.802126666401e-13       0.000000000000e+00       1.337686378105e-10       1.117573163079e-11      -8.656808976517e-15 
   35       1.483481014880e-10       5.080535014437e-15       2.806024656047e-13       0.000000000000e+00       1.264966342243e-10       1.062148543024e-11      -9.722899906640e-15 
   36       1.504495667303e-10       5.595627634603e-15       2.797202592242e-13       0.000000000000e+00       1.197728805035e-10       1.010792762829e-11      -1.053287806418e-14 
   37       1.525579598058e-10       6.144158590907e-15       2.773476834985e-13       0.000000000000e+00       1.135110580207e-10       9.625440739619e-12      -1.071655551666e-14 
   38       1.546780184715e-10       6.726957899261e-15       2.734512442529e-13       0.000000000000e+00       1.076957721056e-10       9.173419546962e-12      -1.032368851296e-14 
   39       1.568153742095e-10       7.344838493355e-15       2.680652747897e-13       0.000000000000e+00       1.023093192629e-10       8.752373623781e-12      -9.560770221065e-15 
   40       1.589710757893e-10       7.998567811617e-15       2.612470102431e-13       0.000000000000e+00       9.730127371708e-11       8.360717849409e-12      -8.690337792794e-15 
   41       1.611437432686e-10       8.688859958395e-15       2.530545675296e-13       0.000000000000e+00       9.260624492397e-11       7.995475931843e-12      -7.975142106825e-15 
   42       1.633381133617e-10       9.416356134550e-15       2.434688617846e-13       0.000000000000e+00       8.821097989209e-11       7.655133472787e-12      -7.479833117972e-15 
   43       1.655584076404e-10       1.018163292392e-14       2.324486532118e-13       0.000000000000e+00       8.410428956343e-11       7.337386653216e-12      -7.210993715730e-15 
   44       1.678055765505e-10       1.098520346618e-14       2.199515962325e-13       0.000000000000e+00       8.025689857740e-11       7.038194431446e-12      -7.170769052536e-15 
   45       1.700782591813e-10       1.182753686853e-14       2.059343688347e-13       0.000000000000e+00       7.663203149322e-11       6.753058165015e-12      -7.348350314034e-15 
   46       1.723767896438e-10       1.270913105263e-14       1.903535763331e-13       0.000000000000e+00       7.322434657779e-11       6.481628993061e-12      -7.692277844597e-15 
   47       1.746998218610e-10       1.363045613387e-14       1.731647788158e-13       0.000000000000e+00       7.003018662826e-11       6.224252429032e-12      -8.129216819420e-15 
   48       1.770428887924e-10       1.459193172919e-14       1.543220103016e-13       0.000000000000e+00       6.703582898713e-11       5.980625903864e-12      -8.570554229955e-15 
   49       1.793981438112e-10       1.559392499899e-14       1.337775983868e-13       0.000000000000e+00       6.421673506390e-11       5.749747556663e-12      -8.911553338607e-15 
   50       1.817577144675e-10       1.663671366515e-14       1.114893951193e-13       0.000000000000e+00       6.154501135974e-11       5.530316627204e-12      -9.061876117727e-15 
   51       1.841254369861e-10       1.772036777332e-14       8.744520191990e-14       0.000000000000e+00       5.901592117936e-11       5.322181564644e-12      -9.048879412165e-15 
   52       1.865078599206e-10       1.884483245173e-14       6.164466277848e-14       0.000000000000e+00       5.662727197579e-11       5.125196473107e-12      -8.940895775490e-15 
   53       1.889108236311e-10       2.000995660934e-14       3.409259689712e-14       0.000000000000e+00       5.437147739172e-11       4.938774617951e-12      -8.818931712547e-15 
   54       1.913393716560e-10       2.121548932962e-14       4.799167100705e-15       0.000000000000e+00       5.223519320486e-11       4.761858468309e-12      -8.777298274598e-15 
   55       1.937973759412e-10       2.246116280560e-14      -2.622712807334e-14       0.000000000000e+00       5.020343469655e-11       4.593267127383e-12      -8.898880528547e-15 
   56       1.962865065401e-10       2.374697353315e-14      -5.900290258386e-14       0.000000000000e+00       4.827396055402e-11       4.432908323830e-12      -9.172306992256e-15 
   57       1.988068507261e-10       2.507296465555e-14      -9.355196473139e-14       0.000000000000e+00       4.644582456793e-11       4.280815032201e-12      -9.555307845655e-15 
   58       2.013570791066e-10       2.643914531293e-14      -1.298987599581e-13       0.000000000000e+00       4.471502194684e-11       4.136779542339e-12      -9.997923515238e-15 
   59       2.039343458468e-10       2.784549040782e-14      -1.680684820343e-13       0.000000000000e+00       4.307429986352e-11       4.000338205328e-12      -1.044214717339e-14 
   60       2.065341888933e-10       2.929194037062e-14      -2.080871842447e-13       0.000000000000e+00       4.151296800110e-11       3.870756179454e-12      -1.082156723770e-14 
   61       2.091522477425e-10       3.077830484611e-14      -2.499745095908e-13       0.000000000000e+00       4.001989458294e-11       3.747233176120e-12      -1.107673849665e-14 
   62       2.117900930325e-10       3.230394902115e-14      -2.937197230298e-13       0.000000000000e+00       3.859370890616e-11       3.629609172912e-12      -1.120613602939e-14 
   63       2.144505343659e-10       3.386803615329e-14      -3.393004722334e-13       0.000000000000e+00       3.723456310922e-11       3.517790757732e-12      -1.122605609915e-14 
   64       2.171358769578e-10       3.546961421889e-14      -3.866895732754e-13       0.000000000000e+00       3.594106213811e-11       3.411536028131e-12      -1.115603551604e-14 
   65       2.198478795284e-10       3.710761263008e-14      -4.358548876255e-13       0.000000000000e+00       3.471017536556e-11       3.310446349427e-12      -1.101899319384e-14 
   66       2.225877121967e-10       3.878083895175e-14      -4.867591991424e-13       0.000000000000e+00       3.353714821026e-11       3.213958112817e-12      -1.084137170670e-14 
   67       2.253559143728e-10       4.048797561851e-14      -5.393600910675e-13       0.000000000000e+00       3.241541375605e-11       3.121334493497e-12      -1.065327884592e-14 
   68       2.281527575158e-10       4.222770262188e-14      -5.936159526106e-13       0.000000000000e+00       3.133836310377e-11       3.031859890411e-12      -1.048213806754e-14 
   69       2.309795128819e-10       4.399910177800e-14      -6.495056869789e-13       0.000000000000e+00       3.030527053707e-11       2.945487419085e-12      -1.033182940198e-14 
   70       2.338373661932e-10       4.580132885376e-14      -7.070127940875e-13       0.000000000000e+00       2.931641569640e-11       2.862308414620e-12      -1.019955682260e-14 
   71       2.367270043180e-10       4.763349478432e-14      -7.661196274526e-13       0.000000000000e+00       2.837129096384e-11       2.782358355108e-12      -1.008194136928e-14 
   72       2.396485835185e-10       4.949466561175e-14      -8.268074279518e-13       0.000000000000e+00       2.746856062030e-11       2.705613803424e-12      -9.974996692083e-15 
   73       2.426016976990e-10       5.138386242382e-14      -8.890563575850e-13       0.000000000000e+00       2.660602000259e-11       2.631989349007e-12      -9.874104595019e-15 
   74       2.455853466526e-10       5.330006129265e-14      -9.528455332344e-13       0.000000000000e+00       2.578055466059e-11       2.561334549657e-12      -9.773990579745e-15 
   75       2.485979043093e-10       5.524219321352e-14      -1.018153060425e-12       0.000000000000e+00       2.498809951439e-11       2.493430873318e-12      -9.668699389287e-15 
   76       2.516378167954e-10       5.720909329818e-14      -1.084953553489e-12       0.000000000000e+00       2.422465715682e-11       2.428051153011e-12      -9.553099952959e-15 
   77       2.547059137606e-10       5.919933779450e-14      -1.153210099356e-12       0.000000000000e+00       2.348965742499e-11       2.365157228715e-12      -9.427771112857e-15 
   78       2.578034628031e-10       6.121137709720e-14      -1.222880882850e-12       0.000000000000e+00       2.278313910588e-11       2.304732957731e-12      -9.294966540320e-15 
   79       2.609314605335e-10       6.324358277250e-14      -1.293921552782e-12       0.000000000000e+00       2.210472632527e-11       2.246723151281e-12      -9.157171166792e-15 
   80       2.640906157878e-10       6.529424645632e-14      -1.366285204171e-12       0.000000000000e+00       2.145360942350e-11       2.191031798176e-12      -9.017108089150e-15 
   81       2.672813328402e-10       6.736157875235e-14      -1.439922360459e-12       0.000000000000e+00       2.082852583122e-11       2.137520288496e-12      -8.877745475031e-15 
   82       2.705036946165e-10       6.944370813028e-14      -1.514780955728e-12       0.000000000000e+00       2.022774094521e-11       2.086005637250e-12      -8.742303468171e-15 
   83       2.737574459066e-10       7.153867982389e-14      -1.590806316918e-12       0.000000000000e+00       1.964902900409e-11       2.036258708057e-12      -8.614261093725e-15 
   84       2.770422511736e-10       7.364452731584e-14      -1.667942902502e-12       0.000000000000e+00       1.909021979014e-11       1.988059702658e-12      -8.496596298647e-15 
   85       2.803585538592e-10       7.575950282165e-14      -1.746139888639e-12       0.000000000000e+00       1.855098475939e-11       1.941379089913e-12      -8.389346192615e-15 
