# Matter power spectrum P(k) at redshift z=0
# for k=8.71417e-06 to 1.20217 h/Mpc,
# number of wavenumbers equal to 623
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.714170702637e-06       7.958598872820e+01 
       1.899074095970e-05       1.689124986095e+02 
       2.929097659653e-05       2.567179987407e+02 
       3.963250363814e-05       3.437984062251e+02 
       5.003313791446e-05       4.305847335198e+02 
       6.051098631205e-05       5.173832870164e+02 
       7.108455015171e-05       6.044436262853e+02 
       8.177283159172e-05       6.919858666163e+02 
       9.259544396310e-05       7.802143505515e+02 
       1.035727269533e-04       8.693252342302e+02 
       1.147258675651e-04       9.595114671223e+02 
       1.260770277862e-04       1.050966101382e+03 
       1.376494799056e-04       1.143885141578e+03 
       1.494677504081e-04       1.238469471209e+03 
       1.615577733507e-04       1.334926788687e+03 
       1.739470540780e-04       1.433473323384e+03 
       1.866648440510e-04       1.534335417408e+03 
       1.997423274332e-04       1.637751096365e+03 
       2.132128198859e-04       1.743971620267e+03 
       2.271119797522e-04       1.853263014257e+03 
       2.414780314247e-04       1.965907625135e+03 
       2.563520001784e-04       2.082205711769e+03 
       2.717779570620e-04       2.202476890471e+03 
       2.878032715443e-04       2.327061797304e+03 
       3.044788684640e-04       2.456323483195e+03 
       3.218594843783e-04       2.590648730633e+03 
       3.400039166086e-04       2.730449278257e+03 
       3.589752561026e-04       2.876162865653e+03 
       3.788410926360e-04       3.028253769265e+03 
       3.996736778880e-04       3.187212975103e+03 
       4.215500285807e-04       3.353557906447e+03 
       4.445519483062e-04       3.527831023244e+03 
       4.687659430922e-04       3.710598027157e+03 
       4.942830025355e-04       3.902444318191e+03 
       5.211982159560e-04       4.103970709292e+03 
       5.496101921670e-04       4.315787337557e+03 
       5.796202529453e-04       4.538505118630e+03 
       6.113313750380e-04       4.772727357139e+03 
       6.448468644564e-04       5.019036974613e+03 
       6.802687605976e-04       5.277983690205e+03 
       7.176959866038e-04       5.550068957191e+03 
       7.572222858198e-04       5.835729827022e+03 
       7.989340106547e-04       6.135322265603e+03 
       8.429078569101e-04       6.449105000328e+03 
       8.892086599210e-04       6.777223924872e+03 
       9.378873843489e-04       7.119699656709e+03 
       9.889794430287e-04       7.476418849137e+03 
       1.042503469048e-03       7.847127353849e+03 
       1.098460638552e-03       8.231402428213e+03 
       1.156834601800e-03       8.628718199859e+03 
       1.217592031587e-03       9.038443552625e+03 
       1.280683748073e-03       9.459813519747e+03 
       1.346046334455e-03       9.891969399827e+03 
       1.413604124853e-03       1.033397817780e+04 
       1.483271427897e-03       1.078485383982e+04 
       1.554954847500e-03       1.124357650689e+04 
       1.628555574213e-03       1.170911312730e+04 
       1.703971542537e-03       1.218043398886e+04 
       1.781099376962e-03       1.265652928906e+04 
       1.859836078030e-03       1.313642082880e+04 
       1.940080425832e-03       1.361917266172e+04 
       2.021734100040e-03       1.410389818707e+04 
       2.104702531740e-03       1.458976263686e+04 
       2.188895513069e-03       1.507599161723e+04 
       2.274227596586e-03       1.556186586273e+04 
       2.360618318400e-03       1.604672629860e+04 
       2.447992278382e-03       1.652996590088e+04 
       2.536279108273e-03       1.701103775758e+04 
       2.625413354930e-03       1.748944138973e+04 
       2.715334302003e-03       1.796473063225e+04 
       2.805985749330e-03       1.843649755090e+04 
       2.897315765607e-03       1.890438247337e+04 
       2.989276426578e-03       1.936806494376e+04 
       3.081823548125e-03       1.982725555308e+04 
       3.174916421243e-03       2.028170492244e+04 
       3.268517553937e-03       2.073118711325e+04 
       3.362592423539e-03       2.117551123074e+04 
       3.457109241702e-03       2.161450501349e+04 
       3.552038733404e-03       2.204802403506e+04 
       3.647353930605e-03       2.247594224019e+04 
       3.743029980667e-03       2.289815042097e+04 
       3.839043969285e-03       2.331456363134e+04 
       3.935374757415e-03       2.372508894698e+04 
       4.032002831541e-03       2.412926133945e+04 
       4.128910166492e-03       2.452792513633e+04 
       4.226080099975e-03       2.492052375427e+04 
       4.323497218002e-03       2.530697800520e+04 
       4.421147250347e-03       2.568729146519e+04 
       4.519016975246e-03       2.606172363269e+04 
       4.617094132546e-03       2.643019160043e+04 
       4.715367344592e-03       2.679253388774e+04 
       4.813826044157e-03       2.714879050692e+04 
       4.912460408799e-03       2.749895936916e+04 
       5.011261301039e-03       2.784297347679e+04 
       5.110220213856e-03       2.818098899565e+04 
       5.209329220986e-03       2.851291492480e+04 
       5.308580931592e-03       2.883905207030e+04 
       5.407968448895e-03       2.915909003537e+04 
       5.507485332399e-03       2.947302640686e+04 
       5.607125563384e-03       2.978137329296e+04 
       5.706883513346e-03       3.008401795026e+04 
       5.806753915135e-03       3.038084684038e+04 
       5.906731836525e-03       3.067193431469e+04 
       6.006812655995e-03       3.095710643566e+04 
       6.106992040537e-03       3.123766100386e+04 
       6.207265925275e-03       3.151176039484e+04 
       6.307630494770e-03       3.178030935556e+04 
       6.408082165821e-03       3.204332278286e+04 
       6.508617571662e-03       3.230087589238e+04 
       6.609233547411e-03       3.255307330648e+04 
       6.709927116671e-03       3.279989917775e+04 
       6.810695479175e-03       3.304146805462e+04 
       6.911535999393e-03       3.327775021399e+04 
       7.012446196015e-03       3.350882699499e+04 
       7.113423732232e-03       3.373475932106e+04 
       7.214466406756e-03       3.395549922048e+04 
       7.315572145508e-03       3.417126642131e+04 
       7.416738993926e-03       3.438200248610e+04 
       7.517965109838e-03       3.458788453211e+04 
       7.619248756856e-03       3.478876142767e+04 
       7.720588298246e-03       3.498485518205e+04 
       7.821982191244e-03       3.517610256867e+04 
       7.923428981769e-03       3.536261111136e+04 
       8.024927299515e-03       3.554443968157e+04 
       8.126475853388e-03       3.572158326872e+04 
       8.228073427259e-03       3.589419736616e+04 
       8.329718876006e-03       3.606218508440e+04 
       8.431411121840e-03       3.622569410922e+04 
       8.533149150869e-03       3.638489150038e+04 
       8.634932009904e-03       3.653942717517e+04 
       8.736758803474e-03       3.668967439590e+04 
       8.838628691044e-03       3.683569557405e+04 
       8.940540884422e-03       3.697741368819e+04 
       9.042494645332e-03       3.711497412211e+04 
       9.144489283150e-03       3.724848525312e+04 
       9.246524152789e-03       3.737755062081e+04 
       9.348598652726e-03       3.750270132016e+04 
       9.450712223153e-03       3.762387181640e+04 
       9.552864344249e-03       3.774099445703e+04 
       9.655054534571e-03       3.785437606553e+04 
       9.757282349545e-03       3.796352551871e+04 
       9.859547380052e-03       3.806897543215e+04 
       9.961849251115e-03       3.817067968251e+04 
       1.006418762067e-02       3.826855909895e+04 
       1.016656217839e-02       3.836275268100e+04 
       1.026897264467e-02       3.845330518593e+04 
       1.037141876953e-02       3.854020941115e+04 
       1.047390033179e-02       3.862350769112e+04 
       1.057641713808e-02       3.870322984745e+04 
       1.067896902212e-02       3.877949710524e+04 
       1.078155584391e-02       3.885241089025e+04 
       1.088417748902e-02       3.892167567992e+04 
       1.098683386796e-02       3.898766444770e+04 
       1.108952491557e-02       3.905025594258e+04 
       1.119225059041e-02       3.910960261296e+04 
       1.129501087429e-02       3.916580653485e+04 
       1.139780577174e-02       3.921857051278e+04 
       1.150063530960e-02       3.926822399888e+04 
       1.160349953660e-02       3.931477954987e+04 
       1.170639852296e-02       3.935819572232e+04 
       1.180933236007e-02       3.939860231253e+04 
       1.191230116018e-02       3.943594400798e+04 
       1.201530505610e-02       3.947021293198e+04 
       1.211834420094e-02       3.950169158873e+04 
       1.222141876791e-02       3.953021163522e+04 
       1.232452895011e-02       3.955582913369e+04 
       1.242767496033e-02       3.957858557220e+04 
       1.253085703091e-02       3.959863777009e+04 
       1.263407541362e-02       3.961575857352e+04 
       1.273733037955e-02       3.963018748261e+04 
       1.284062221901e-02       3.964205927994e+04 
       1.294395124148e-02       3.965116909781e+04 
       1.304731777556e-02       3.965773237913e+04 
       1.315072216892e-02       3.966166311151e+04 
       1.325416478835e-02       3.966297144459e+04 
       1.335764601973e-02       3.966178796534e+04 
       1.346116626804e-02       3.965810705508e+04 
       1.356472595747e-02       3.965203747971e+04 
       1.366832553143e-02       3.964357278903e+04 
       1.377196545268e-02       3.963272396491e+04 
       1.387564620337e-02       3.961944560018e+04 
       1.397936828520e-02       3.960395374552e+04 
       1.408313221955e-02       3.958611486419e+04 
