# Matter power spectrum P(k) at redshift z=0
# for k=1.00897e-05 to 1.08867 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008974305852e-05       5.311430996249e+01 
       2.222014050324e-05       1.138761558411e+02 
       3.438896882660e-05       1.736429350966e+02 
       4.662525875693e-05       2.330013374857e+02 
       5.895847190035e-05       2.922850492547e+02 
       7.141873382021e-05       3.517427769689e+02 
       8.403707381434e-05       4.115858555425e+02 
       9.684567424179e-05       4.720076342949e+02 
       1.098781322742e-04       5.331934408865e+02 
       1.231697369737e-04       5.953263785598e+02 
       1.367577646170e-04       6.585914019739e+02 
       1.506817951713e-04       7.231783602366e+02 
       1.649840527622e-04       7.892844581517e+02 
       1.797097728164e-04       8.571165427576e+02 
       1.949075982663e-04       9.268932477625e+02 
       2.106300067156e-04       9.988470150852e+02 
       2.269337696936e-04       1.073226171569e+03 
       2.438804439751e-04       1.150296995207e+03 
       2.615368932854e-04       1.230345752705e+03 
       2.799758363753e-04       1.313680901620e+03 
       2.992764142649e-04       1.400634940499e+03 
       3.195247651890e-04       1.491566571583e+03 
       3.408145902112e-04       1.586862337572e+03 
       3.632476853891e-04       1.686938018667e+03 
       3.869344076100e-04       1.792239951515e+03 
       4.119940307610e-04       1.903244951239e+03 
       4.385549369581e-04       2.020460214657e+03 
       4.667545747562e-04       2.144421217733e+03 
       4.967391037853e-04       2.275688286139e+03 
       5.286626350605e-04       2.414841900564e+03 
       5.626859711737e-04       2.562474597000e+03 
       5.989747544832e-04       2.719181222392e+03 
       6.376969487034e-04       2.885545453440e+03 
       6.790196143089e-04       3.062124859662e+03 
       7.231049939192e-04       3.249431249309e+03 
       7.701060001959e-04       3.447911706555e+03 
       8.201612906384e-04       3.657925696566e+03 
       8.733902094992e-04       3.879724893487e+03 
       9.298879592311e-04       4.113433671882e+03 
       9.897214114276e-04       4.359034020145e+03 
       1.052925961075e-03       4.616355970911e+03 
       1.119503757776e-03       4.885075039843e+03 
       1.189423517454e-03       5.164717188899e+03 
       1.262621947847e-03       5.454671006628e+03 
       1.339006642632e-03       5.754207279869e+03 
       1.418460146869e-03       6.062502173632e+03 
       1.500844798000e-03       6.378662216869e+03 
       1.586007914280e-03       6.701752916904e+03 
       1.673786932575e-03       7.030820891830e+03 
       1.764014173086e-03       7.364918033972e+03 
       1.856521007790e-03       7.703119243648e+03 
       1.951141310782e-03       8.044536812046e+03 
       2.047714156967e-03       8.388322994562e+03 
       2.146085802315e-03       8.733696128905e+03 
       2.246111022264e-03       9.079940236638e+03 
       2.347653907401e-03       9.426393758028e+03 
       2.450588221848e-03       9.772457008948e+03 
       2.554797425048e-03       1.011758831258e+04 
       2.660174446494e-03       1.046130354511e+04 
       2.766621288833e-03       1.080317108726e+04 
       2.874048520206e-03       1.114280775141e+04 
       2.982374703098e-03       1.147987609976e+04 
       3.091525795163e-03       1.181407954756e+04 
       3.201434547618e-03       1.214515859957e+04 
       3.312039918992e-03       1.247288747500e+04 
       3.423286515899e-03       1.279706958364e+04 
       3.535124067937e-03       1.311753793965e+04 
       3.647506940454e-03       1.343414748548e+04 
       3.760393686536e-03       1.374677533407e+04 
       3.873746637906e-03       1.405531895083e+04 
       3.987531533372e-03       1.435969305621e+04 
       4.101717182741e-03       1.465982689581e+04 
       4.216275163771e-03       1.495566353269e+04 
       4.331179549543e-03       1.524716005354e+04 
       4.446406663611e-03       1.553428094956e+04 
       4.561934860357e-03       1.581699899487e+04 
       4.677744328105e-03       1.609522207515e+04 
       4.793816912695e-03       1.636912447437e+04 
       4.910135959418e-03       1.663858179364e+04 
       5.026686171378e-03       1.690356773350e+04 
       5.143453482531e-03       1.716419451581e+04 
       5.260424943824e-03       1.742049318642e+04 
       5.377588621028e-03       1.767239182545e+04 
       5.494933502980e-03       1.791992640253e+04 
       5.612449419131e-03       1.816233825402e+04 
