# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       8.980856820338e+13       9.372567846737e-26       5.162291927263e-09       1.739952088607e+22       1.750373107763e+04       1.949004580275e-10       1.571985026299e+18       2.980024645740e-09       1.789988176302e+44       1.803957601300e+33       4.840074467855e+33       4.198487453156e-08       1.237445094279e+44       3.027433270647e+44       3.027433270647e+44       1.009144423527e+44      -7.820469616865e+52       1.268160088271e-05       1.646118170432e+00 
       8.884838741853e+13       9.576240376683e-26       5.216861609370e-09       1.702945872190e+22       1.750373107763e+04       1.970067390776e-10       1.555178280055e+18       3.012229646820e-09       1.714657057307e+44       1.746713423485e+33       4.686486554658e+33       4.198487453156e-08       1.185367586236e+44       2.900024643608e+44       2.900024643608e+44       9.666748811811e+43      -7.411254369321e+52       1.290599028842e-05       1.617498012608e+00 
       8.789847232612e+13       9.784338856467e-26       5.275069270283e-09       1.666726723452e+22       1.750373107763e+04       1.991357826185e-10       1.538551221731e+18       3.044782686009e-09       1.642496226007e+44       1.691285749500e+33       4.537772377854e+33       4.198487453156e-08       1.135481744601e+44       2.777977970670e+44       2.777977970670e+44       9.259926568692e+43      -7.023451789689e+52       1.313037969413e-05       1.589856053481e+00 
       8.695871317136e+13       9.996959463040e-26       5.329638952389e-09       1.631277902625e+22       1.750373107763e+04       2.012878346433e-10       1.522101930208e+18       3.077687524524e-09       1.573372261788e+44       1.637616937045e+33       4.393777281352e+33       4.198487453156e-08       1.087695333746e+44       2.661067595594e+44       2.661067595594e+44       8.870225318445e+43      -6.655941434999e+52       1.335476909982e-05       1.563142985410e+00 
       8.602900137289e+13       1.021420046252e-25       5.387846613303e-09       1.596583025970e+22       1.750373107763e+04       2.034631438038e-10       1.505828504908e+18       3.110947964218e-09       1.507157359005e+44       1.585651172954e+33       4.254351516691e+33       4.198487453156e-08       1.041919999751e+44       2.549077358814e+44       2.549077358814e+44       8.496924529186e+43      -6.307661490776e+52       1.357915850551e-05       1.537312759905e+00 
       8.510922951025e+13       1.043616225900e-25       5.446054274216e-09       1.562626058204e+22       1.750373107763e+04       2.056619614389e-10       1.489729065572e+18       3.144567848052e-09       1.443729090674e+44       1.535334415158e+33       4.119350087313e+33       4.198487453156e-08       9.980711070464e+43       2.441800197777e+44       2.441800197777e+44       8.139333992402e+43      -5.977605703230e+52       1.380354791119e-05       1.512322322707e+00 
       8.419929131143e+13       1.066294744236e-25       5.504261935130e-09       1.529391305093e+22       1.750373107763e+04       2.078845416036e-10       1.473801752042e+18       3.178551060558e-09       1.382970182115e+44       1.486614336480e+33       3.988632597770e+33       4.198487453156e-08       9.560675819248e+43       2.339037764094e+44       2.339037764094e+44       7.796792546798e+43      -5.664820471983e+52       1.402793731685e-05       1.488131374308e+00 
       8.329908164066e+13       1.089466082156e-25       5.566107574850e-09       1.496863406197e+22       1.750373107763e+04       2.101311410987e-10       1.458044724052e+18       3.212901528147e-09       1.324768294116e+44       1.439440270216e+33       3.862063107720e+33       4.198487453156e-08       9.158317626413e+43       2.240600056810e+44       2.240600056810e+44       7.468666855858e+43      -5.368402094916e+52       1.425232672250e-05       1.464702153153e+00 
       8.240849648618e+13       1.113140949350e-25       5.624315235764e-09       1.465027327767e+22       1.750373107763e+04       2.124020195001e-10       1.442456161006e+18       3.247623219769e-09       1.269015815230e+44       1.393763157448e+33       3.739509990555e+33       4.198487453156e-08       8.772892558222e+43       2.146305071104e+44       2.146305071104e+44       7.154350236842e+43      -5.087494157181e+52       1.447671612815e-05       1.441999238856e+00 
       8.152743294829e+13       1.137330287981e-25       5.686160875484e-09       1.433868355802e+22       1.750373107763e+04       2.146974391887e-10       1.427034261776e+18       3.282720147231e-09       1.215609662805e+44       1.349535496021e+33       3.620845796513e+33       4.198487453156e-08       8.403687989172e+43       2.055978461771e+44       2.055978461771e+44       6.853261539073e+43      -4.821285056846e+52       1.470110553380e-05       1.419989373601e+00 
       8.065578922741e+13       1.162045278029e-25       5.748006515205e-09       1.403372089247e+22       1.750373107763e+04       2.170176653814e-10       1.411777244491e+18       3.318196365717e-09       1.164451092389e+44       1.306711291147e+33       3.505947120142e+33       4.198487453156e-08       8.050021284391e+43       1.969453220876e+44       1.969453220876e+44       6.564844069427e+43      -4.569005659997e+52       1.492549493945e-05       1.398641299537e+00 
       7.979346461238e+13       1.187297342364e-25       5.809852154925e-09       1.373524433332e+22       1.750373107763e+04       2.193629661609e-10       1.396683346327e+18       3.354055974212e-09       1.115445515164e+44       1.265246007567e+33       3.394694471957e+33       4.198487453156e-08       7.711238537489e+43       1.886569368960e+44       1.886569368960e+44       6.288564563044e+43      -4.329927078558e+52       1.514988434510e-05       1.377925610714e+00 
       7.894035946874e+13       1.213098152002e-25       5.871697794646e-09       1.344311593066e+22       1.750373107763e+04       2.217336125073e-10       1.381750823312e+18       3.390303115999e-09       1.068502323054e+44       1.225096523241e+33       3.286972154180e+33       4.198487453156e-08       7.386713361536e+43       1.807173659253e+44       1.807173659253e+44       6.023912197359e+43      -4.103358564376e+52       1.537427375075e-05       1.357814617908e+00 
       7.809637522728e+13       1.239459631426e-25       5.937181413174e-09       1.315720066857e+22       1.750373107763e+04       2.241298783290e-10       1.366977950116e+18       3.426941979122e-09       1.023534721195e+44       1.186221084502e+33       3.182668140420e+33       4.198487453156e-08       7.075845730907e+43       1.731119294329e+44       1.731119294329e+44       5.770397647618e+43      -3.888645513504e+52       1.559866315640e-05       1.338282225161e+00 
