# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.302247530925e+04       1.302247530925e-10       1.302247530925e+18       2.676317464532e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       9.925528305631e-08       1.902194177205e+44       4.653754712833e+44       4.653754712833e+44       1.551251570892e+44      -1.338578885210e+53       6.614579407557e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208823e-26       4.685716703534e-09       2.111374631024e+22       1.302247530925e+04       1.316320865204e-10       1.288324660521e+18       2.705240316110e-09       2.635761930281e+44       2.411394910978e+33       1.293969540318e+34       9.925528305631e-08       1.822140902098e+44       4.457902832533e+44       4.457902832533e+44       1.485967610793e+44      -1.268536174643e+53       6.756779372320e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675380e-26       4.736648406833e-09       2.066468804568e+22       1.302247530925e+04       1.330546289415e-10       1.274550645319e+18       2.734475734723e-09       2.524836674885e+44       2.334875197339e+33       1.252908585004e+34       9.925528305631e-08       1.745456645219e+44       4.270293320253e+44       4.270293320253e+44       1.423431106701e+44      -1.202158531080e+53       6.898979337068e-06       1.917553041713e+00 
       9.682674483178e+13       8.063126489070e-26       4.787580110133e-09       2.022518058854e+22       1.302247530925e+04       1.344925447187e-10       1.260923893847e+18       2.764027098839e-09       2.418579675807e+44       2.260783649468e+33       1.213150598578e+34       9.925528305631e-08       1.671999622440e+44       4.090579298390e+44       4.090579298390e+44       1.363526432749e+44      -1.139254175590e+53       7.041179301806e-06       1.878827146123e+00 
       9.579152979933e+13       8.238343922800e-26       4.838511813432e-09       1.979502080722e+22       1.302247530925e+04       1.359459999911e-10       1.247442831647e+18       2.793897823452e-09       2.316794470871e+44       2.189043215469e+33       1.174654234510e+34       9.925528305631e-08       1.601634016574e+44       3.918428487584e+44       3.918428487584e+44       1.306142829148e+44      -1.079641364298e+53       7.183379266547e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954567e-26       4.891262506135e-09       1.937400989045e+22       1.302247530925e+04       1.374151626936e-10       1.234105901095e+18       2.824091359693e-09       2.219292865953e+44       2.119579288499e+33       1.137379458305e+34       9.925528305631e-08       1.534229726263e+44       3.753522592351e+44       3.753522592351e+44       1.251174197405e+44      -1.023147863295e+53       7.325579231284e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325758e-26       4.944013198838e-09       1.896195325534e+22       1.302247530925e+04       1.389002025756e-10       1.220911561218e+18       2.854611196175e-09       2.125894587024e+44       2.052319629182e+33       1.101287505862e+34       9.925528305631e-08       1.469662125423e+44       3.595556712578e+44       3.595556712578e+44       1.198518904149e+44      -9.696104510082e+52       7.467779196020e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577801e-26       4.998582880944e-09       1.855866045754e+22       1.302247530925e+04       1.404012912211e-10       1.207858287521e+18       2.885460859268e-09       2.036426946831e+44       1.987194290481e+33       1.066340843165e+34       9.925528305631e-08       1.407811832824e+44       3.444238779782e+44       3.444238779782e+44       1.148079593218e+44      -9.188744466288e+52       7.609979160757e-06       1.738396194401e+00 
       9.176017181296e+13       8.978126095006e-26       5.051333573647e-09       1.816394510313e+22       1.302247530925e+04       1.419186020684e-10       1.194944571807e+18       2.916643913472e-09       1.950724525616e+44       1.924135544956e+33       1.032503127248e+34       9.925528305631e-08       1.348564491358e+44       3.299289017096e+44       3.299289017096e+44       1.099763005658e+44      -8.707932632011e+52       7.752179125492e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129470e-26       5.105903255753e-09       1.777762476255e+22       1.302247530925e+04       1.434523104302e-10       1.182168922002e+18       2.948163961687e-09       1.868628865258e+44       1.863077814332e+33       9.997391684009e+33       9.925528305631e-08       1.291810556602e+44       3.160439421979e+44       3.160439421979e+44       1.053479807287e+44      -8.252279841044e+52       7.894379090223e-06       1.675769387306e+00 
       8.980856820338e+13       9.372567846669e-26       5.162291927263e-09       1.739952088621e+22       1.302247530925e+04       1.450025935138e-10       1.169529861988e+18       2.980024645718e-09       1.789988176302e+44       1.803957601300e+33       9.680148935709e+33       9.925528305631e-08       1.237445094279e+44       3.027433270696e+44       3.027433270696e+44       1.009144423527e+44      -7.820469616928e+52       8.036579054949e-06       1.646118170433e+00 
