# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509162e-26       4.634785000235e-09       2.157256292800e+22       1.437759884078e+04       1.437759884078e-10       1.437759884078e+18       2.676317464533e-09       2.751560535470e+44       1.867816775598e+33       1.336376166075e+34       3.592559929305e-08       1.902194177205e+44       4.653754712827e+44       4.653754712827e+44       1.551251570892e+44      -1.338578885209e+53       5.685032413543e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208829e-26       4.685716703534e-09       2.111374631023e+22       1.437759884078e+04       1.453297694656e-10       1.422388194700e+18       2.705240316112e-09       2.635761930281e+44       1.808546183233e+33       1.293969540318e+34       3.592559929305e-08       1.822140902098e+44       4.457902832527e+44       4.457902832527e+44       1.485967610793e+44      -1.268536174643e+53       5.807249014036e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675385e-26       4.736648406833e-09       2.066468804567e+22       1.437759884078e+04       1.469003421700e-10       1.407180850451e+18       2.734475734725e-09       2.524836674885e+44       1.751156398004e+33       1.252908585004e+34       3.592559929305e-08       1.745456645219e+44       4.270293320247e+44       4.270293320247e+44       1.423431106701e+44      -1.202158531079e+53       5.929465614515e-06       1.917553041713e+00 
       9.682674483178e+13       8.063126489076e-26       4.787580110133e-09       2.022518058852e+22       1.437759884078e+04       1.484878879875e-10       1.392136094250e+18       2.764027098841e-09       2.418579675807e+44       1.695587737101e+33       1.213150598578e+34       3.592559929305e-08       1.671999622440e+44       4.090579298384e+44       4.090579298384e+44       1.363526432749e+44      -1.139254175589e+53       6.051682214987e-06       1.878827146123e+00 
       9.579152979933e+13       8.238343922806e-26       4.838511813432e-09       1.979502080721e+22       1.437759884078e+04       1.500925903459e-10       1.377252187799e+18       2.793897823454e-09       2.316794470871e+44       1.641782411601e+33       1.174654234510e+34       3.592559929305e-08       1.601634016574e+44       3.918428487578e+44       3.918428487578e+44       1.306142829148e+44      -1.079641364298e+53       6.173898815461e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954573e-26       4.891262506135e-09       1.937400989043e+22       1.437759884078e+04       1.517146346552e-10       1.362527411388e+18       2.824091359695e-09       2.219292865953e+44       1.589684466374e+33       1.137379458305e+34       3.592559929305e-08       1.534229726263e+44       3.753522592346e+44       3.753522592346e+44       1.251174197405e+44      -1.023147863294e+53       6.296115415931e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325763e-26       4.944013198838e-09       1.896195325533e+22       1.437759884078e+04       1.533542083290e-10       1.347960063690e+18       2.854611196177e-09       2.125894587024e+44       1.539239721887e+33       1.101287505862e+34       3.592559929305e-08       1.469662125423e+44       3.595556712572e+44       3.595556712572e+44       1.198518904149e+44      -9.696104510075e+52       6.418332016401e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577807e-26       4.998582880944e-09       1.855866045752e+22       1.437759884078e+04       1.550115008066e-10       1.333548461571e+18       2.885460859270e-09       2.036426946831e+44       1.490395717861e+33       1.066340843165e+34       3.592559929305e-08       1.407811832824e+44       3.444238779777e+44       3.444238779777e+44       1.148079593218e+44      -9.188744466281e+52       6.540548616872e-06       1.738396194401e+00 
       9.176017181296e+13       8.978126095012e-26       5.051333573647e-09       1.816394510312e+22       1.437759884078e+04       1.566867035743e-10       1.319290939888e+18       2.916643913475e-09       1.950724525616e+44       1.443101658717e+33       1.032503127248e+34       3.592559929305e-08       1.348564491358e+44       3.299289017091e+44       3.299289017091e+44       1.099763005658e+44      -8.707932632005e+52       6.662765217341e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129476e-26       5.105903255753e-09       1.777762476253e+22       1.437759884078e+04       1.583800101877e-10       1.305185851304e+18       2.948163961689e-09       1.868628865258e+44       1.397308360749e+33       9.997391684009e+33       3.592559929305e-08       1.291810556602e+44       3.160439421974e+44       3.160439421974e+44       1.053479807287e+44      -8.252279841038e+52       6.784981817806e-06       1.675769387306e+00 
