# Matter power spectrum P(k) at redshift z=0
# for k=1.05807e-05 to 1.07626 h/Mpc,
# number of wavenumbers equal to 598
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.058071540719e-05       4.623042483891e+01 
       2.381962954398e-05       1.012461726623e+02 
       3.710726873585e-05       1.553667687387e+02 
       5.048140277549e-05       2.091608656632e+02 
       6.398045686730e-05       2.629581478226e+02 
       7.764387348292e-05       3.170100226735e+02 
       9.151248635010e-05       3.715345716930e+02 
       1.056289118085e-04       4.267350420423e+02 
       1.200379628033e-04       4.828094863334e+02 
       1.347870908235e-04       5.399565611278e+02 
       1.499268610830e-04       5.983799181580e+02 
       1.655114661448e-04       6.582913583253e+02 
       1.815992829157e-04       7.199138862924e+02 
       1.982534774021e-04       7.834843971780e+02 
       2.155426606713e-04       8.492563983259e+02 
       2.335415979269e-04       9.175024771026e+02 
       2.523319702449e-04       9.885173134442e+02 
       2.720031850114e-04       1.062620108689e+03 
       2.926532260880e-04       1.140157255738e+03 
       3.143895277351e-04       1.221505416925e+03 
       3.373298468441e-04       1.307073280930e+03 
       3.616030955505e-04       1.397304423069e+03 
       3.873500803765e-04       1.492678406891e+03 
       4.147240745185e-04       1.593711707542e+03 
       4.438911270776e-04       1.700957331019e+03 
       4.750299881651e-04       1.815002743830e+03 
       5.083315044973e-04       1.936465530148e+03 
       5.439973208263e-04       2.065986649770e+03 
       5.822377150949e-04       2.204220172644e+03 
       6.232684085579e-04       2.351819483830e+03 
       6.673062365512e-04       2.509419247758e+03 
       7.145636503592e-04       2.677613885722e+03 
       7.652421500582e-04       2.856932555802e+03 
       8.195249166255e-04       3.047812207827e+03 
       8.775690987624e-04       3.250570181795e+03 
       9.394983796707e-04       3.465379957680e+03 
       1.005396554506e-03       3.692250709275e+03 
       1.075302845424e-03       3.931015178973e+03 
       1.149209542737e-03       4.181326961751e+03 
       1.227062297425e-03       4.442633316160e+03 
       1.308763050889e-03       4.714271854251e+03 
       1.394175247512e-03       4.995459283253e+03 
       1.483130711207e-03       5.285295253531e+03 
       1.575437430399e-03       5.582814435649e+03 
       1.670887499167e-03       5.887018288218e+03 
       1.769264579986e-03       6.196904154156e+03 
       1.870350437984e-03       6.511489407960e+03 
       1.973930297119e-03       6.829830066813e+03 
       2.079796946090e-03       7.151036392958e+03 
       2.187753654644e-03       7.474279587687e+03 
       2.297616044141e-03       7.798798270463e+03 
       2.409213095673e-03       8.123902925442e+03 
       2.522387485855e-03       8.448969313593e+03 
       2.636995426289e-03       8.773437933347e+03 
       2.752906157741e-03       9.096811800751e+03 
       2.870001221395e-03       9.418652751864e+03 
       2.988173601683e-03       9.738571900032e+03 
       3.107326810648e-03       1.005622992736e+04 
       3.227373963414e-03       1.037132951914e+04 
       3.348236878270e-03       1.068361192562e+04 
       3.469845222662e-03       1.099285150676e+04 
       3.592135717401e-03       1.129885445881e+04 
       3.715051405013e-03       1.160145425796e+04 
       3.838540983784e-03       1.190050491246e+04 
       3.962558206136e-03       1.219588774183e+04 
       4.087061338199e-03       1.248749761444e+04 
       4.212012676382e-03       1.277524842607e+04 
       4.337378116275e-03       1.305907069843e+04 
       4.463126769044e-03       1.333890523417e+04 
       4.589230620616e-03       1.361470480025e+04 
       4.715664229143e-03       1.388643521511e+04 
       4.842404456578e-03       1.415403707223e+04 
       4.969430230545e-03       1.441755420426e+04 
       5.096722333032e-03       1.467693531553e+04 
       5.224263212807e-03       1.493217159242e+04 
       5.352036818788e-03       1.518325146687e+04 
       5.480028451913e-03       1.543028339240e+04 
       5.608224633320e-03       1.567317027202e+04 
       5.736612986935e-03       1.591121683507e+04 
       5.865182134773e-03       1.614586858921e+04 
       5.993921603466e-03       1.637646643000e+04 
       6.122821740708e-03       1.660296049661e+04 
       6.251873640481e-03       1.682544241656e+04 
       6.381069076045e-03       1.704408695419e+04 
       6.510400439816e-03       1.725892046635e+04 
       6.639860689341e-03       1.746940891257e+04 
       6.769443298708e-03       1.767591967836e+04 
       6.899142214764e-03       1.787848397677e+04 
       7.028951817639e-03       1.807730056640e+04 
       7.158866885079e-03       1.827235829928e+04 
       7.288882560207e-03       1.846357331667e+04 
       7.418994322323e-03       1.865093932215e+04 
       7.549197960442e-03       1.883432266334e+04 
       7.679489549266e-03       1.901448751086e+04 
       7.809865427359e-03       1.919126151774e+04 
       7.940322177282e-03       1.936393122613e+04 
       8.070856607503e-03       1.953297906226e+04 
       8.201465735899e-03       1.969845832838e+04 
       8.332146774697e-03       1.986045183321e+04 
       8.462897116706e-03       2.001893698605e+04 
